id	name	type	direction	parent_system_id	language_ids	origin_date	origin_region	character_count	sample_characters	unicode_block	is_active	wikidata_qid	source_url	retrieved_at	confidence	sources
ancient-egyptian-writing-systems	Ancient Egyptian writing systems											Q387875	http://www.wikidata.org/entity/Q387875	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
anga-lipi	Aṅga-lipi					800						Q3530287	http://www.wikidata.org/entity/Q3530287	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
arebica	Arebica											Q3393238	http://www.wikidata.org/entity/Q3393238	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
batak	Batak					1300						Q51592	http://www.wikidata.org/entity/Q51592	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
beria-erfe	Beria Erfe					1950	Chad					Q140323	http://www.wikidata.org/entity/Q140323	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
celtiberian	Celtiberian					-200						Q779471	http://www.wikidata.org/entity/Q779471	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
chinese-bronze-inscriptions	Chinese bronze inscriptions											Q917520	http://www.wikidata.org/entity/Q917520	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
chinese-characters	Chinese characters					-1250	China					Q8201	http://www.wikidata.org/entity/Q8201	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
cjk	CJK											Q1198450	http://www.wikidata.org/entity/Q1198450	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
cuneiform	cuneiform					-2999						Q401	http://www.wikidata.org/entity/Q401	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
cursive-hieroglyphs	Cursive hieroglyphs											Q3138753	http://www.wikidata.org/entity/Q3138753	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
egyptian-hieratic	Egyptian hieratic					-2999						Q208111	http://www.wikidata.org/entity/Q208111	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
elbasan	Elbasan					1750						Q1036714	http://www.wikidata.org/entity/Q1036714	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
english-orthography	English orthography											Q3491268	http://www.wikidata.org/entity/Q3491268	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
garshuni	Garshuni											Q1494558	http://www.wikidata.org/entity/Q1494558	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
glagolitic	Glagolitic					862						Q145625	http://www.wikidata.org/entity/Q145625	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
hanja	Hanja					-400	Korea					Q485619	http://www.wikidata.org/entity/Q485619	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
iberian-scripts	Iberian scripts											Q16481835	http://www.wikidata.org/entity/Q16481835	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
idu	Idu											Q706344	http://www.wikidata.org/entity/Q706344	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
incung	Incung											Q108662512	http://www.wikidata.org/entity/Q108662512	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
international-alphabet-of-sanskrit-transliteration	International Alphabet of Sanskrit Transliteration											Q194486	http://www.wikidata.org/entity/Q194486	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
japanese-script	Japanese					400	Japan					Q190502	http://www.wikidata.org/entity/Q190502	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
jawi	Jawi											Q83942	http://www.wikidata.org/entity/Q83942	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
jurchen	Jurchen					1119						Q912240	http://www.wikidata.org/entity/Q912240	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
kawi	Kawi					800						Q975802	http://www.wikidata.org/entity/Q975802	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
kazakh-script	Kazakh											Q913703	http://www.wikidata.org/entity/Q913703	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
kyujitai	kyūjitai						Japan					Q1147857	http://www.wikidata.org/entity/Q1147857	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
libyc	Libyc					-300	Kingdom of Numidia					Q1823174	http://www.wikidata.org/entity/Q1823174	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
linear-elamite	Linear Elamite					-2999						Q2475275	http://www.wikidata.org/entity/Q2475275	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
naxi-dongba	Naxi Dongba					700						Q1190953	http://www.wikidata.org/entity/Q1190953	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
nushu	Nüshu					800						Q56436	http://www.wikidata.org/entity/Q56436	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
oduduwa	Oduduwa											Q119856835	http://www.wikidata.org/entity/Q119856835	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ol-chiki	Ol Chiki					1925						Q201688	http://www.wikidata.org/entity/Q201688	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
old-mon	Old Mon					600						Q4301931	http://www.wikidata.org/entity/Q4301931	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
oracle-bone	oracle bone					-1499						Q7476695	http://www.wikidata.org/entity/Q7476695	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
pahawh-hmong	Pahawh Hmong					1959						Q365954	http://www.wikidata.org/entity/Q365954	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
pahlavi-scripts	Pahlavi scripts											Q1771716	http://www.wikidata.org/entity/Q1771716	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
paleohispanic-scripts	Paleohispanic scripts											Q1816166	http://www.wikidata.org/entity/Q1816166	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
pegon	Pegon											Q116451	http://www.wikidata.org/entity/Q116451	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
peh-oe-ji	Pe̍h-ōe-jī					1830						Q559173	http://www.wikidata.org/entity/Q559173	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
rasm	Rasm											Q1260436	http://www.wikidata.org/entity/Q1260436	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
russian-orthography-before-1918	Russian orthography before 1918											Q2442696	http://www.wikidata.org/entity/Q2442696	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
second-round-of-simplified-chinese-characters	second round of simplified Chinese characters											Q906650	http://www.wikidata.org/entity/Q906650	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
shahmukhi	Shahmukhi											Q133800	http://www.wikidata.org/entity/Q133800	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
shan	Shan											Q4520090	http://www.wikidata.org/entity/Q4520090	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
shinjitai	shinjitai					1949	Japan					Q1055887	http://www.wikidata.org/entity/Q1055887	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
simplified-chinese	Simplified Chinese					1956	People's Republic of China					Q13414913	http://www.wikidata.org/entity/Q13414913	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
standard-form-of-national-characters	standard form of national characters					1982	Taiwan					Q906019	http://www.wikidata.org/entity/Q906019	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
tai-viet	Tai Viet					1600						Q11818517	http://www.wikidata.org/entity/Q11818517	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
taiwanese-taigi-romanization-system	Taiwanese Taigi Romanization System					2006						Q56929	http://www.wikidata.org/entity/Q56929	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
tajik-cyrillic	Tajik Cyrillic											Q2311554	http://www.wikidata.org/entity/Q2311554	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
turkmen-script	Turkmen											Q543617	http://www.wikidata.org/entity/Q543617	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ukrainian-latin	Ukrainian Latin											Q2322215	http://www.wikidata.org/entity/Q2322215	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
wylie-transliteration	Wylie transliteration											Q844833	http://www.wikidata.org/entity/Q844833	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
zapotec-writing	Zapotec writing					-499						Q11681575	http://www.wikidata.org/entity/Q11681575	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
