id	name	family_id	source_language_id	target_language_id	change_rule	environment	date_range	examples	related_changes
sc001	Grimm's Law (Voiceless stops)	indo_european__germanic	lat	got	p → f	word-initial and medial	-500 to -100	[{"before":"pater","after":"fadar","meaning":"father"},{"before":"piscis","after":"fisks","meaning":"fish"},{"before":"pes","after":"fotus","meaning":"foot"},{"before":"pellis","after":"fill","meaning":"skin"}]	["sc002","sc003"]
sc002	Grimm's Law (Voiced stops)	indo_european__germanic	lat	got	b → p	word-initial and medial	-500 to -100	[{"before":"labium","after":"lippa","meaning":"lip"},{"before":"decem","after":"taihun","meaning":"ten"},{"before":"duo","after":"twai","meaning":"two"},{"before":"genu","after":"kniu","meaning":"knee"}]	["sc001","sc003"]
sc003	Grimm's Law (Voiced aspirates)	indo_european__germanic	san	got	bʰ → b	word-initial and medial	-500 to -100	[{"before":"bhrātar","after":"broþar","meaning":"brother"},{"before":"dhā","after":"dōn","meaning":"to do"},{"before":"ghostis","after":"gasts","meaning":"guest"}]	["sc001","sc002"]
sc004	Verner's Law	indo_european__germanic	lat	got	f → β (when not initial or after stressed syllable)	medial, after unstressed syllable	-500 to -100	[{"before":"pater","after":"fadar","meaning":"father (voiced d not t)"},{"before":"septem","after":"sibun","meaning":"seven"},{"before":"*wérd-","after":"warþ/wurdum","meaning":"became/words (alternation)"}]	["sc001"]
sc005	Great Vowel Shift (ī raising)	indo_european__germanic	ang	eng	iː → aɪ	all positions	1400 to 1700	[{"before":"līf","after":"life","meaning":"life"},{"before":"mīn","after":"mine","meaning":"mine"},{"before":"wīs","after":"wise","meaning":"wise"},{"before":"tīme","after":"time","meaning":"time"}]	["sc006","sc007","sc008"]
sc006	Great Vowel Shift (uː raising)	indo_european__germanic	ang	eng	uː → aʊ	all positions	1400 to 1700	[{"before":"hūs","after":"house","meaning":"house"},{"before":"mūs","after":"mouse","meaning":"mouse"},{"before":"ūt","after":"out","meaning":"out"},{"before":"cū","after":"cow","meaning":"cow"}]	["sc005","sc007","sc008"]
sc007	Great Vowel Shift (eː raising)	indo_european__germanic	ang	eng	eː → iː	all positions	1400 to 1700	[{"before":"mēte","after":"meet","meaning":"meet"},{"before":"fēt","after":"feet","meaning":"feet"},{"before":"grēne","after":"green","meaning":"green"}]	["sc005","sc006","sc008"]
sc008	Great Vowel Shift (oː raising)	indo_european__germanic	ang	eng	oː → uː	all positions	1400 to 1700	[{"before":"gōs","after":"goose","meaning":"goose"},{"before":"mōna","after":"moon","meaning":"moon"},{"before":"fōd","after":"food","meaning":"food"}]	["sc005","sc006","sc007"]
sc009	High German Consonant Shift (p → pf/ff)	indo_european__germanic	ang	goh	p → pf / ff	word-initial p→pf, medial/final p→ff	500 to 700	[{"before":"pound","after":"pfund","meaning":"pound"},{"before":"plough","after":"pflug","meaning":"plough"},{"before":"open","after":"offan","meaning":"open"},{"before":"ship","after":"skif","meaning":"ship"}]	["sc010","sc011"]
sc010	High German Consonant Shift (t → ts/ss)	indo_european__germanic	ang	goh	t → ts / ss	word-initial t→ts, medial/final t→ss	500 to 700	[{"before":"ten","after":"zehn","meaning":"ten"},{"before":"tongue","after":"zunga","meaning":"tongue"},{"before":"eat","after":"ezzan","meaning":"eat"},{"before":"water","after":"wazzar","meaning":"water"}]	["sc009","sc011"]
sc011	High German Consonant Shift (k → kx/xx)	indo_european__germanic	ang	goh	k → kx / xx	word-initial k→kx, medial/final k→xx	500 to 700	[{"before":"make","after":"mahhon","meaning":"make"},{"before":"break","after":"brehhan","meaning":"break"},{"before":"cake","after":"kuocho","meaning":"cake"}]	["sc009","sc010"]
sc012	Grassmann's Law (Greek)	indo_european__hellenic	san	grc	Cʰ...Cʰ → C...Cʰ	when two aspirated consonants in adjacent syllables	-800 to -400	[{"before":"*dʰi-dʰe-","after":"tithēmi","meaning":"I place"},{"before":"*tʰrikʰ-","after":"thríks (gen. trikhós)","meaning":"hair"},{"before":"*bʰeudʰ-","after":"peúthomai","meaning":"I inquire"}]	["sc013"]
sc013	Grassmann's Law (Sanskrit)	indo_european__indo_iranian	san	san	Cʰ...Cʰ → C...Cʰ	when two aspirated consonants in adjacent syllables	-1500 to -800	[{"before":"*dʰi-dʰā-","after":"dadhāti","meaning":"he places"},{"before":"*bʰodʰ-","after":"bodhati","meaning":"he awakens"},{"before":"*bʰandʰ-","after":"badhnāti","meaning":"he binds"}]	["sc012"]
sc014	Latin to Spanish: Intervocalic voicing	indo_european__romance	lat	spa	p,t,k → b,d,g	intervocalic	100 to 500	[{"before":"vita","after":"vida","meaning":"life"},{"before":"lupus","after":"lobo","meaning":"wolf"},{"before":"focus","after":"fuego","meaning":"fire"},{"before":"ripa","after":"riba","meaning":"bank"}]	["sc015","sc016"]
sc015	Latin to French: Palatalization of /k/ before /a/	indo_european__romance	lat	fra	ka → tʃa → ʃa	before /a/	200 to 800	[{"before":"canis","after":"chien","meaning":"dog"},{"before":"cantare","after":"chanter","meaning":"to sing"},{"before":"campus","after":"champ","meaning":"field"},{"before":"caballus","after":"cheval","meaning":"horse"}]	["sc014","sc016"]
sc016	Latin to Italian: Geminate preservation	indo_european__romance	lat	ita	pp,tt,kk → pp,tt,kk (preserved)	all positions	100 to 600	[{"before":"gutta","after":"gotta","meaning":"drop"},{"before":"bella","after":"bella","meaning":"beautiful"},{"before":"anno","after":"anno","meaning":"year"},{"before":"terra","after":"terra","meaning":"earth"}]	["sc014","sc015"]
sc017	Latin to Portuguese: Intervocalic /l/ loss	indo_european__romance	lat	por	l → ∅	intervocalic	200 to 800	[{"before":"dolore","after":"dor","meaning":"pain"},{"before":"salute","after":"saúde","meaning":"health"},{"before":"color","after":"cor","meaning":"color"},{"before":"palu","after":"pau","meaning":"stick"}]	["sc014"]
sc018	Latin to Romanian: Slavic influence on vowels	indo_european__romance	lat	ron	a → ə (schwa)	unstressed positions	600 to 1000	[{"before":"camera","after":"cameră","meaning":"room"},{"before":"aqua","after":"apă","meaning":"water"},{"before":"terra","after":"țară","meaning":"country"},{"before":"lingua","after":"limbă","meaning":"language"}]	[]
sc019	Rhotacism in Latin	indo_european__italic	lat	lat	s → r	intervocalic	-500 to -200	[{"before":"*genesis","after":"generis","meaning":"of the kind"},{"before":"*honosis","after":"honoris","meaning":"of the honor"},{"before":"*flosis","after":"floris","meaning":"of the flower"},{"before":"*esos","after":"eris","meaning":"you will be"}]	[]
sc020	Proto-Slavic First Palatalization	indo_european__slavic	lat	rus	k,g,x → tʃ,ʒ,ʃ	before front vowels (e, i)	400 to 600	[{"before":"*kena","after":"cena","meaning":"price"},{"before":"*kelovek","after":"chelovek","meaning":"person"},{"before":"*gena","after":"zhena","meaning":"wife"},{"before":"*xoditi","after":"shodit","meaning":"to walk"}]	["sc021","sc022"]
sc021	Proto-Slavic Second Palatalization	indo_european__slavic	lat	ces	k,g,x → ts,dz,s	before new front vowels from diphthongs	500 to 700	[{"before":"*kaina","after":"cena","meaning":"price"},{"before":"*kaiser","after":"císař","meaning":"emperor"},{"before":"*gaila","after":"zelný","meaning":"zealous"}]	["sc020","sc022"]
sc022	Proto-Slavic Yer Fall	indo_european__slavic	lat	rus	ь,ъ → e,o / ∅	weak yers lost, strong yers vocalized	900 to 1200	[{"before":"*dьnь","after":"den'","meaning":"day"},{"before":"*sъnъ","after":"son","meaning":"sleep/dream"},{"before":"*pьsъ","after":"pyos","meaning":"dog"}]	["sc020","sc021"]
sc023	Celtic Lenition	indo_european__celtic	lat	gle	p,t,k → f,h,x	word-initial after certain particles	400 to 800	[{"before":"*katu","after":"cath [kah]","meaning":"battle"},{"before":"*penno","after":"ceann [k'aun]","meaning":"head"},{"before":"*tegos","after":"teach [t'ax]","meaning":"house"}]	[]
sc024	Armenian Consonant Shift	indo_european__armenian	san	hye	p,t,k → pʰ,tʰ,kʰ	all positions	-600 to -200	[{"before":"*ped-","after":"otn (otk')","meaning":"foot"},{"before":"*dwo","after":"erku","meaning":"two"},{"before":"*genu","after":"cunr","meaning":"knee"},{"before":"*bher-","after":"berem","meaning":"I carry"}]	[]
sc025	Sanskrit Retroflexion	indo_european__indo_iranian	san	hin	n → ɳ, t → ʈ	after r, ṣ (retroflex context)	-1500 to -500	[{"before":"*rn → ","after":"ṇ (retroflex nasal)","meaning":"retroflex nasal"},{"before":"*krt-","after":"kṛt","meaning":"cut"},{"before":"*mrt-","after":"mṛt","meaning":"dead"},{"before":"*vartana","after":"vartaṇa","meaning":"turning"}]	[]
sc026	Bantu Spirantization	niger_congo__bantu	swa	zul	p → f, t → s	before high vowels i, u	-500 to 500	[{"before":"*-pika","after":"-fika","meaning":"to arrive"},{"before":"*-tuma","after":"-suma","meaning":"to sew"},{"before":"*-pimba","after":"-fimba","meaning":"to dig"},{"before":"*-tito","after":"-siso","meaning":"foundation"}]	["sc027"]
sc027	Bantu Nasal Prefix Hardening	niger_congo__bantu	swa	zul	n+b → mb, n+d → nd	after nasal prefix	-500 to 500	[{"before":"*n-bogo","after":"mbogo","meaning":"buffalo"},{"before":"*n-dege","after":"ndege","meaning":"bird"},{"before":"*n-goma","after":"ngoma","meaning":"drum"}]	["sc026"]
sc028	Austronesian *p Lenition	austronesian__polynesian	tgl	haw	p → ∅	word-initial and medial	-1000 to 500	[{"before":"*pitu","after":"hiku","meaning":"seven"},{"before":"*pua","after":"hua","meaning":"flower/fruit"},{"before":"*pongi","after":"pō","meaning":"night"}]	["sc029"]
sc029	Austronesian *k Loss in Polynesian	austronesian__polynesian	tgl	smo	k → ʔ / ∅	all positions	-1000 to 500	[{"before":"*kutu","after":"'utu","meaning":"louse"},{"before":"*kani","after":"'ani","meaning":"to eat"},{"before":"*kai","after":"'ai","meaning":"food"}]	["sc028"]
sc030	Turkish Vowel Harmony Development	turkic__oghuz	tur	tur	V → [+back]/[+front] harmony	suffixal vowels	800 to 1300	[{"before":"*ev-ler","after":"evler","meaning":"houses (front harmony)"},{"before":"*at-lar","after":"atlar","meaning":"horses (back harmony)"},{"before":"*göz-ler","after":"gözler","meaning":"eyes (front rounded harmony)"},{"before":"*kol-lar","after":"kollar","meaning":"arms (back rounded harmony)"}]	[]
sc031	Umlaut in Germanic	indo_european__germanic	goh	deu	a → e, u → y, o → ø	before /i/ or /j/ in following syllable	500 to 900	[{"before":"gast","after":"geste","meaning":"guests"},{"before":"mūs","after":"mǖse","meaning":"mice"},{"before":"*fulljan","after":"füllen","meaning":"to fill"},{"before":"*gold","after":"göld","meaning":"gold (dialectal)"}]	["sc009"]
sc032	Old English i-Mutation	indo_european__germanic	ang	eng	a → e, o → e, u → y	before /i/ or /j/ in following syllable	450 to 700	[{"before":"*mūsi","after":"mȳs (mice)","meaning":"mice"},{"before":"*fōti","after":"fēt (feet)","meaning":"feet"},{"before":"*gōsi","after":"gēs (geese)","meaning":"geese"},{"before":"*mann-iz","after":"menn (men)","meaning":"men"}]	["sc031"]
sc033	Ingvaeonic Nasal Spirant Law	indo_european__germanic	got	ang	VnC → V̄C (nasal loss with vowel lengthening)	before fricatives	300 to 600	[{"before":"*munþ","after":"mūþ","meaning":"mouth"},{"before":"*tanþ","after":"tōþ","meaning":"tooth"},{"before":"*gans","after":"gōs","meaning":"goose"},{"before":"*fimf","after":"fīf","meaning":"five"}]	[]
sc034	Greek Psi/Xi Cluster Simplification	indo_european__hellenic	grc	grc	ps → ps (ψ), ks → ks (ξ)	all positions	-800 to -400	[{"before":"*bhegw-","after":"phépsō (future of péphō)","meaning":"I will cook"},{"before":"*leg-s-","after":"léxis","meaning":"word/speech"},{"before":"*op-s-","after":"ópsis","meaning":"sight/view"}]	[]
sc035	Sino-Tibetan Tone Genesis	sino_tibetan__chinese	cmn	cmn	voiced → low tone, voiceless → high tone	tonal split from consonant voicing	500 to 1000	[{"before":"*da (voiced)","after":"dà (falling tone)","meaning":"big"},{"before":"*ta (voiceless)","after":"tā (high tone)","meaning":"he/she"},{"before":"*ba (voiced)","after":"bà (falling tone)","meaning":"father"},{"before":"*pa (voiceless)","after":"pā (high tone)","meaning":"eight"}]	[]
sc036	Norse Influence on English	indo_european__germanic	non	eng	sk- preserved (vs OE sc- → ʃ-)	word-initial	800 to 1100	[{"before":"skinn","after":"skin","meaning":"skin (vs OE scinn→shin)"},{"before":"skirt","after":"skirt","meaning":"skirt (vs OE scyrte→shirt)"},{"before":"skip","after":"skip","meaning":"skip"},{"before":"sky","after":"sky","meaning":"sky"}]	[]
sc037	Lithuanian Accentual Conservation	indo_european__baltic	lit	lit	preserved PIE accent patterns	all positions	-1500 to present	[{"before":"*suHnús","after":"sūnùs","meaning":"son (preserved acute accent)"},{"before":"*duktḗr","after":"duktė̃","meaning":"daughter"},{"before":"*wĺ̥kʷos","after":"vilkas","meaning":"wolf"}]	[]
sc038	Albanian Rhotacism	indo_european__albanian	lat	sqi	n → r	intervocalic	500 to 1000	[{"before":"*feminine","after":"femër","meaning":"woman"},{"before":"*venena","after":"vrer","meaning":"poison"},{"before":"*ranuncula","after":"rërë","meaning":"sand"}]	["sc019"]
sc039	Finnish Consonant Gradation	uralic__finnic	fin	fin	pp → p, tt → t, kk → k	in closed syllable	-500 to 500	[{"before":"katto","after":"katon","meaning":"roof / of the roof"},{"before":"kukka","after":"kukan","meaning":"flower / of the flower"},{"before":"pata","after":"padan","meaning":"pot / of the pot"},{"before":"jalka","after":"jalan","meaning":"foot / of the foot"}]	[]
