Language Name,Direct Parent,Substrata,Superstrata,Adstrata
Human Language,,,,
Proto-World (hypothetical),Human Language,,,
Nostratic (hypothetical),Proto-World (hypothetical),,,
Dene-Caucasian (hypothetical),Proto-World (hypothetical),,,
Austric (hypothetical),Proto-World (hypothetical),,,
Amerind (hypothetical),Proto-World (hypothetical),,,
Indo-European,Nostratic (hypothetical),,,
Proto-Indo-European,Indo-European,,,
Pre-Proto-Indo-European,Proto-Indo-European,,,
Proto-Indo-Anatolian,Pre-Proto-Indo-European,,,
Anatolian,Proto-Indo-Anatolian,,,
Proto-Anatolian,Anatolian,,,
Hittite,Proto-Anatolian,,,
Cuneiform Hittite,Hittite,,,
Hieroglyphic Hittite,Hittite,,,
Luwian,Proto-Anatolian,,,
Cuneiform Luwian,Luwian,,,
Hieroglyphic Luwian,Luwian,,,
Lycian,Luwian,,,
Milyan,Luwian,,,
Palaic,Proto-Anatolian,,,
Lydian,Proto-Anatolian,,,
Carian,Proto-Anatolian,,,
Pisidian,Proto-Anatolian,,,
Sidetic,Proto-Anatolian,,,
Core Indo-European,Proto-Indo-Anatolian,,,
Proto-Indo-Hittite,Core Indo-European,,,
Tocharian,Proto-Indo-Hittite,,,
Proto-Tocharian,Tocharian,,,
Tocharian A (Agnean),Proto-Tocharian,,,
Tocharian B (Kuchean),Proto-Tocharian,,,
Tocharian C (hypothetical),Proto-Tocharian,,,
Late Proto-Indo-European,Proto-Indo-Hittite,,,
Italic,Late Proto-Indo-European,,,
Proto-Italic,Italic,,,
Latino-Faliscan,Proto-Italic,,,
Latin,Latino-Faliscan,,,
Archaic Latin,Latin,,,
Old Latin,Latin,,,
Classical Latin,Latin,,,
Vulgar Latin,Classical Latin,,,
Proto-Romance,Vulgar Latin,,,
Italo-Western Romance,Proto-Romance,,,
Western Romance,Italo-Western Romance,,,
Gallo-Iberian,Western Romance,,,
Ibero-Romance,Gallo-Iberian,,,
West Iberian,Ibero-Romance,,,
Portuguese-Galician,West Iberian,,,
Old Portuguese,Portuguese-Galician,,,
Portuguese,Old Portuguese,Lusitanian; Celtic,Arabic; Germanic (Visigothic),Galician; Spanish
European Portuguese,Portuguese,,,
Brazilian Portuguese,Portuguese,,,
African Portuguese,Portuguese,,,
Angolan Portuguese,African Portuguese,,,
Mozambican Portuguese,African Portuguese,,,
Galician,Portuguese-Galician,,,
Old Galician,Galician,,,
Modern Galician,Old Galician,,,
Asturo-Leonese,West Iberian,,,
Asturian,Asturo-Leonese,,,
Leonese,Asturo-Leonese,,,
Mirandese,Asturo-Leonese,,,
Castilian (Spanish),West Iberian,,,
Old Spanish,Castilian (Spanish),,,
Middle Spanish,Old Spanish,,,
Modern Spanish,Middle Spanish,,,
Peninsular Spanish,Modern Spanish,,,
Latin American Spanish,Modern Spanish,,,
Mexican Spanish,Latin American Spanish,,,
Rioplatense Spanish,Latin American Spanish,,,
Caribbean Spanish,Latin American Spanish,,,
Andean Spanish,Latin American Spanish,,,
Judaeo-Spanish (Ladino),Middle Spanish,,,
East Iberian,Ibero-Romance,,,
Catalan-Valencian-Balearic,East Iberian,,,
Old Catalan,Catalan-Valencian-Balearic,,,
Catalan,Old Catalan,Iberian; Basque,Arabic,Spanish; Occitan; French
Valencian,Catalan,,,
Balearic,Catalan,,,
Aragonese,East Iberian,,,
Old Aragonese,Aragonese,,,
Modern Aragonese,Old Aragonese,,,
Occitano-Romance,Gallo-Iberian,,,
Occitan,Occitano-Romance,,,
Old Occitan,Occitan,,,
Modern Occitan,Old Occitan,,,
Languedocian,Modern Occitan,,,
Provençal,Modern Occitan,,,
Gascon,Modern Occitan,,,
Limousin,Modern Occitan,,,
Auvergnat,Modern Occitan,,,
Vivaro-Alpine,Modern Occitan,,,
Catalan (also in East Iberian),Occitano-Romance,,,
Gallo-Romance,Gallo-Iberian,,,
Oïl languages,Gallo-Romance,,,
Old French,Oïl languages,,,
Middle French,Old French,,,
French,Middle French,Gaulish (Celtic); Aquitanian,Frankish (Germanic),Occitan; Italian; Spanish
Metropolitan French,French,,,
Quebec French,French,,,
African French,French,,,
Acadian French,French,,,
Belgian French,French,,,
Swiss French,French,,,
Norman,Oïl languages,,,
Picard,Oïl languages,,,
Walloon,Oïl languages,,,
Lorrain,Oïl languages,,,
Champenois,Oïl languages,,,
Burgundian,Oïl languages,,,
Poitevin-Saintongeais,Oïl languages,,,
Gallo,Oïl languages,,,
Arpitan (Franco-Provençal),Gallo-Romance,,,
Italo-Dalmatian,Italo-Western Romance,,,
Italian,Italo-Dalmatian,Etruscan; Oscan; Umbrian; Venetic,Lombardic; Frankish (northern),Spanish; French; Venetian
Old Italian,Italian,,,
Tuscan Italian,Old Italian,,,
Standard Italian,Tuscan Italian,,,
Northern Italian dialects,Italian,,,
Lombard,Northern Italian dialects,,,
Piedmontese,Northern Italian dialects,,,
Ligurian,Northern Italian dialects,,,
Emilian-Romagnol,Northern Italian dialects,,,
Venetian,Northern Italian dialects,,,
Friulian,Northern Italian dialects,,,
Central Italian dialects,Italian,,,
Tuscan,Central Italian dialects,,,
Umbrian,Central Italian dialects,,,
Marchigiano,Central Italian dialects,,,
Southern Italian dialects,Italian,,,
Neapolitan,Southern Italian dialects,,,
Sicilian,Southern Italian dialects,,,
Calabrian,Southern Italian dialects,,,
Apulian,Southern Italian dialects,,,
Corsican,Italian,,,
Dalmatian,Italo-Dalmatian,,,
Vegliote,Dalmatian,,,
Ragusan,Dalmatian,,,
Sardinian,Proto-Romance,,,
Logudorese,Sardinian,,,
Campidanese,Sardinian,,,
Sassarese,Sardinian,,,
Gallurese,Sardinian,,,
Eastern Romance,Proto-Romance,,,
Romanian,Eastern Romance,Dacian; Thracian,Slavic (major); Hungarian; Turkish,Slavic; Hungarian
Daco-Romanian,Romanian,,,
Old Romanian,Daco-Romanian,,,
Modern Romanian,Old Romanian,,,
Moldovan,Modern Romanian,,,
Aromanian,Eastern Romance,,,
Megleno-Romanian,Eastern Romance,,,
Istro-Romanian,Eastern Romance,,,
Faliscan,Latino-Faliscan,,,
Osco-Umbrian (Sabellic),Proto-Italic,,,
Oscan,Osco-Umbrian (Sabellic),,,
Umbrian,Osco-Umbrian (Sabellic),,,
South Picene,Osco-Umbrian (Sabellic),,,
Sabine,Osco-Umbrian (Sabellic),,,
Marsian,Osco-Umbrian (Sabellic),,,
Paelignian,Osco-Umbrian (Sabellic),,,
Marrucinian,Osco-Umbrian (Sabellic),,,
Vestinian,Osco-Umbrian (Sabellic),,,
Volscian,Osco-Umbrian (Sabellic),,,
Celtic,Late Proto-Indo-European,,,
Proto-Celtic,Celtic,,,
Continental Celtic,Proto-Celtic,,,
Celtiberian,Continental Celtic,,,
Gaulish,Continental Celtic,,,
Cisalpine Gaulish,Gaulish,,,
Transalpine Gaulish,Gaulish,,,
Galatian,Continental Celtic,,,
Lepontic,Continental Celtic,,,
Noric,Continental Celtic,,,
Insular Celtic,Proto-Celtic,,,
Proto-Insular Celtic,Insular Celtic,,,
Goidelic (Q-Celtic),Proto-Insular Celtic,,,
