id	name	style_period	origin_date	end_date	origin_coordinates	region	description	associated_civilizations	associated_languages	key_features	notable_examples	building_types	wikidata_qid	source_url	retrieved_at	confidence	sources
arch-001	Egyptian Monumental	Ancient Egyptian	-3100	-30	{"lat":29.98,"lng":31.13}	North Africa	Massive stone architecture characterized by geometric precision, symbolic proportions, and enduring monumentality	Egyptian	["egy","cop","arb"]	["colossal scale","post-and-lintel construction","precise geometric alignment","symbolic proportions","hieroglyphic decoration"]	["Great Pyramid of Giza","Temple of Karnak","Abu Simbel","Luxor Temple"]	["pyramid","temple","tomb","obelisk"]					
arch-002	Greek Classical	Classical	-700	-31	{"lat":37.97,"lng":23.72}	Southern Europe	Architecture emphasizing mathematical proportions, column orders, and harmonious spatial design	Greek	["grc","ell"]	["Doric/Ionic/Corinthian orders","entasis columns","mathematical proportions","pediment sculpture","marble construction"]	["Parthenon","Temple of Hephaestus","Erechtheion","Temple of Zeus at Olympia"]	["temple","theater","agora","stoa"]					
arch-003	Roman Imperial	Roman Imperial	-27	476	{"lat":41.90,"lng":12.50}	Southern Europe	Engineering-driven architecture featuring arches, concrete construction, and monumental public buildings	Roman	["lat","ita"]	["concrete construction","arches and vaults","domes","triumphal arches","aqueduct engineering"]	["Pantheon","Colosseum","Baths of Caracalla","Roman Forum"]	["basilica","amphitheater","bath","aqueduct","triumphal-arch"]					
arch-004	Byzantine	Byzantine	330	1453	{"lat":41.01,"lng":28.98}	Eastern Europe	Religious architecture featuring massive domes, rich mosaic decoration, and centralized plans	Byzantine	["grc","ell"]	["pendentive domes","mosaic interiors","centralized plans","gold backgrounds","cross-in-square layout"]	["Hagia Sophia","Church of the Holy Apostles","San Vitale Ravenna","Chora Church"]	["church","cathedral","monastery"]					
arch-005	Romanesque	Medieval	1000	1200	{"lat":46.23,"lng":2.21}	Western Europe	European style featuring rounded arches, thick walls, and fortress-like solidity	Western European	["lat","fra","deu","ita","spa"]	["rounded arches","barrel vaults","thick walls","decorative arcading","tympanum sculpture"]	["Cluny Abbey","Santiago de Compostela","Durham Cathedral","Pisa Cathedral"]	["church","monastery","castle","cathedral"]					
arch-006	Gothic	Medieval	1140	1500	{"lat":49.22,"lng":2.55}	Western Europe	Soaring architecture defined by pointed arches, ribbed vaults, flying buttresses, and luminous stained glass	Western European	["fra","deu","eng","ita","spa"]	["pointed arches","ribbed vaults","flying buttresses","stained glass windows","verticality"]	["Notre-Dame de Paris","Chartres Cathedral","Cologne Cathedral","Sainte-Chapelle"]	["cathedral","church","town-hall","university"]					
arch-007	Islamic	Islamic Golden Age	700	1700	{"lat":33.31,"lng":44.37}	Middle East	Architecture featuring geometric decoration, muqarnas vaulting, courtyards, and calligraphic ornamentation	Islamic Caliphates	["arb","fas","tur"]	["geometric tessellation","muqarnas vaulting","horseshoe arches","courtyard plans","minaret towers"]	["Alhambra","Great Mosque of Cordoba","Dome of the Rock","Sheikh Lotfollah Mosque"]	["mosque","madrasa","palace","caravanserai"]					
arch-008	Indian Temple	Hindu-Buddhist	-300	1700	{"lat":13.00,"lng":80.20}	South Asia	Monumental religious architecture with elaborately carved stone temples and towering superstructures	Indian	["san","tam","tel","hin","kan"]	["shikhara tower","mandapa hall","gopuram gateway","carved sculpture","cosmic symbolism"]	["Khajuraho temples","Brihadeeswarar Temple","Konark Sun Temple","Angkor Wat"]	["temple","stupa","monastery","step-well"]					
arch-009	Chinese Traditional	Imperial Chinese	-221	1912	{"lat":39.92,"lng":116.39}	East Asia	Timber-frame architecture emphasizing harmony with nature, axial symmetry, and elaborate rooflines	Chinese	["cmn","lzh"]	["timber frame construction","bracket sets (dougong)","curved rooflines","axial symmetry","feng shui orientation"]	["Forbidden City","Temple of Heaven","Hanging Monastery","Hall of Supreme Harmony"]	["palace","temple","pagoda","garden","gate-tower"]					
arch-010	Japanese Traditional	Japanese Traditional	538	1868	{"lat":34.97,"lng":135.77}	East Asia	Architecture emphasizing natural materials, spatial simplicity, and integration with nature	Japanese	["jpn"]	["post-and-beam timber","tatami module","sliding screens (shoji)","engawa veranda","natural material palette"]	["Kinkaku-ji","Ise Grand Shrine","Himeji Castle","Katsura Imperial Villa"]	["shrine","temple","castle","tea-house"]					
