id	name	motif_type	atu_index	description	examples	associated_religion_ids	associated_deity_ids	geographic_distribution	time_depth	sources	confidence	wikidata_qid	source_url	retrieved_at
axis-mundi	Axis Mundi	cosmology		A world centre or cosmic axis — mountain, pillar, or tree — connecting sky, earth, and underworld and orienting sacred space.				["Global"]	-3000	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q1421259	http://www.wikidata.org/entity/Q1421259	2026-07-08T00:00:00Z
basilisk	The Basilisk	creature		A legendary reptile called the king of serpents, whose lethal gaze and venom made it a lethal-glance motif of European mythology.				["Mediterranean","Europe"]	-100	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q152519	http://www.wikidata.org/entity/Q152519	2026-07-08T00:00:00Z
changeling	The Changeling	creature		A fairy or spirit substituted for a human infant, explaining sudden change in a child and prompting rituals to recover the stolen original.				["Europe"]	800	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q1127246	http://www.wikidata.org/entity/Q1127246	2026-07-08T00:00:00Z
cockatrice	The Cockatrice	creature		A serpentine beast said to kill with a glance or breath, hatched from a cock's egg — a lethal-gaze motif of European bestiaries.				["Europe"]	1200	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q1371084	http://www.wikidata.org/entity/Q1371084	2026-07-08T00:00:00Z
cornucopia	The Cornucopia	object		The horn of plenty overflowing with produce, a classical symbol of inexhaustible abundance and nourishment.				["Mediterranean"]	-700	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q332682	http://www.wikidata.org/entity/Q332682	2026-07-08T00:00:00Z
cosmic-ocean	The Cosmic Ocean	cosmology		A primeval sea of formless water from which the ordered world emerges, a widespread creation setting preceding the making of land and sky.				["Global"]	-2500	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q5174141	http://www.wikidata.org/entity/Q5174141	2026-07-08T00:00:00Z
doppelganger	The Doppelgänger	double		A ghostly or supernatural double of a living person, whose appearance is often an omen of misfortune or death.				["Europe"]	1500	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q461363	http://www.wikidata.org/entity/Q461363	2026-07-08T00:00:00Z
evil-eye	The Evil Eye	curse		A malevolent glare believed to cause misfortune, illness, or death, warded off by amulets and gestures across the Mediterranean and beyond.				["Mediterranean","Near East","South Asia"]	-2000	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q1020115	http://www.wikidata.org/entity/Q1020115	2026-07-08T00:00:00Z
fountain-of-youth	Fountain of Youth	object		A magical spring or water that restores youth and health to those who drink from or bathe in it, sought by heroes and explorers across many traditions.				["Global"]	-500	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q775332	http://www.wikidata.org/entity/Q775332	2026-07-08T00:00:00Z
golem	The Golem	creature		An animated anthropomorphic being formed from clay and brought to life by sacred words, protector and cautionary figure of Jewish folklore.				["Central Europe","Near East"]	1200	["Wikidata","Stith Thompson Motif-Index"]	0.8	Q215085	http://www.wikidata.org/entity/Q215085	2026-07-08T00:00:00Z
