id	source_language_id	target_language_id	contact_type	time_period	region	features_transferred	example_features	intensity
lc-001	fra	eng	superstrate	1066-1400	British Isles	{"lexical": ["legal terminology", "culinary terms", "court vocabulary"], "phonological": ["French vowel sounds"], "grammatical": ["word order influences"]}	~40% English vocabulary from Norman French; words like 'beef/cow', 'court', 'justice'	heavy
lc-002	non	eng	adstrate	800-1100	British Isles	{"lexical": ["everyday vocabulary"], "phonological": ["th-sounds reinforced"], "grammatical": ["pronoun borrowing they/them/their"]}	Norse everyday words: sky, egg, window, take, get; pronoun system replacement	heavy
lc-003	lat	eng	superstrate	600-1600	British Isles	{"lexical": ["ecclesiastical terms", "academic vocabulary"], "phonological": [], "grammatical": []}	Church Latin: altar, candle, bishop; Renaissance Latin: education, library, science	moderate
lc-004	arb	spa	superstrate	711-1492	Iberian Peninsula	{"lexical": ["agriculture", "architecture", "science"], "phonological": [], "grammatical": []}	~8% Spanish vocabulary from Arabic: algebra, alcalde, aceite, almohada, azulejo	heavy
lc-005	lat	fra	superstrate	100BCE-500CE	Gaul	{"lexical": ["core vocabulary replacement"], "phonological": ["vowel system restructuring"], "grammatical": ["case system loss"]}	Latin replaced Gaulish; French is descended from Vulgar Latin with Gaulish substrate	heavy
lc-006	tur	bul	superstrate	1396-1878	Balkans	{"lexical": ["administrative terms", "food vocabulary"], "phonological": [], "grammatical": []}	Turkish loanwords in Bulgarian: чорба (soup), кьопоолу, мезе; Ottoman administrative terms	moderate
lc-007	ell	sqi	adstrate	500BCE-present	Balkans	{"lexical": ["shared vocabulary"], "phonological": ["vowel harmony loss"], "grammatical": ["postposed article"]}	Balkan Sprachbund features: postposed definite article, loss of infinitive, future with 'want'	heavy
lc-008	arb	swa	superstrate	800-1500	East African coast	{"lexical": ["trade vocabulary", "religious terms", "nautical terms"], "phonological": [], "grammatical": []}	~35% Swahili vocabulary from Arabic: safari, biashara, kitabu, dini, wakati	heavy
lc-009	san	khm	superstrate	100-1400	Southeast Asia	{"lexical": ["royal vocabulary", "religious terms", "literary terms"], "phonological": [], "grammatical": []}	Sanskrit loanwords in Khmer: raja (king), dharma, vihara; Indic court culture	heavy
lc-010	san	tha	superstrate	100-1400	Southeast Asia	{"lexical": ["royal register", "religious vocabulary"], "phonological": [], "grammatical": []}	Sanskrit/Pali in Thai royal register: racha (king), thep (deity), satsana (religion)	heavy
lc-011	cmn	jpn	superstrate	400-present	East Asia	{"lexical": ["writing system", "scholarly vocabulary", "compound words"], "phonological": ["tonal influence minimal"], "grammatical": []}	Massive Chinese loanwords in Japanese (kango): 学校 gakkō, 電話 denwa; kanji writing system	heavy
lc-012	cmn	kor	superstrate	100-present	East Asia	{"lexical": ["scholarly vocabulary", "compound words"], "phonological": [], "grammatical": []}	~60% Korean vocabulary of Chinese origin (hanja): 학교 hakgyo, 대학 daehak, 문화 munhwa	heavy
