id	name	cuisine_id	origin_region	coordinates	time_origin	time_end	native_name	description	wikidata_qid	source_url	retrieved_at	confidence	sources
agar	agar		Asia	{"lat":35,"lng":108}				thickening agent used in microbiology and food	Q177998	http://www.wikidata.org/entity/Q177998	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
almond	almond							edible seed of the almond tree	Q184357	http://www.wikidata.org/entity/Q184357	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
almond-milk	almond milk							plant milk manufactured from almonds	Q975953	http://www.wikidata.org/entity/Q975953	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
alpinia-galanga	Alpinia galanga							species of plant	Q402971	http://www.wikidata.org/entity/Q402971	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
aquafaba	aquafaba		France	{"lat":47,"lng":2}				residual water from cooking chickpea	Q19820584	http://www.wikidata.org/entity/Q19820584	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
arenga-pinnata	Arenga pinnata							species of plant	Q227984	http://www.wikidata.org/entity/Q227984	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
baker-s-yeast	baker's yeast							strains of yeast commonly used as a leavening agent in baking	Q911712	http://www.wikidata.org/entity/Q911712	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
baking-powder	baking powder							dry chemical leavening agent	Q29476	http://www.wikidata.org/entity/Q29476	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
barley-malt-syrup	barley malt syrup							food additive	Q3485291	http://www.wikidata.org/entity/Q3485291	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
bean	bean							seed of several plants in the legume family	Q379813	http://www.wikidata.org/entity/Q379813	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
bleak	bleak							species of fish	Q200473	http://www.wikidata.org/entity/Q200473	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
boiled-egg	boiled egg							egg dish	Q1062531	http://www.wikidata.org/entity/Q1062531	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
carp	carp							species of fish	Q2751223	http://www.wikidata.org/entity/Q2751223	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
carrageenan	carrageenan							binding food additive made from seaweed	Q421991	http://www.wikidata.org/entity/Q421991	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
chicken-egg	chicken egg							egg from chicken	Q15260613	http://www.wikidata.org/entity/Q15260613	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
chocolate-liquor	chocolate liquor							pure cocoa mass in liquid, semi-liquid, solid or semi-solid form	Q1721876	http://www.wikidata.org/entity/Q1721876	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
cinnamon	cinnamon							spice obtained from the inner bark of several tree species from the genus Cinnamomum	Q28165	http://www.wikidata.org/entity/Q28165	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
