id	name	alternate_names	water_type	coordinates	length_km	region	time_start	time_end	historical_importance	associated_civilizations	associated_languages	modern_name	description
nile	Nile	["Iteru","Hapi"]	river	[[31.5,31.2],[31.4,30.0],[31.2,27.2],[32.5,24.1],[32.9,21.9],[33.9,18.5],[32.5,15.6]]	6650	Northeast Africa	-10000		settlement-hub	["ancient-egypt","kush","nubia"]	["egy","cop"]	Nile	Longest river in Africa; cradle of Egyptian civilization
tigris	Tigris	["Idiglat","Dijlah"]	river	[[39.4,38.3],[41.2,37.1],[43.3,35.5],[44.4,33.3],[45.4,31.0],[47.4,31.0]]	1900	Mesopotamia	-10000		settlement-hub	["sumerian","akkadian","babylonian-empire","assyrian"]	["sux","akk","arc"]	Tigris	Eastern river of Mesopotamia; supported earliest urban civilizations
euphrates	Euphrates	["Purattu","Buranun"]	river	[[38.0,39.7],[38.3,37.1],[38.8,35.9],[40.3,34.5],[42.0,33.4],[44.0,32.5],[46.5,31.0],[47.4,31.0]]	2800	Mesopotamia	-10000		settlement-hub	["sumerian","akkadian","babylonian-empire"]	["sux","akk","arc"]	Euphrates	Western river of Mesopotamia; crucial for irrigation agriculture
indus	Indus	["Sindhu","Mehran"]	river	[[76.5,34.0],[73.9,32.5],[71.1,28.7],[68.3,25.4],[67.3,24.0]]	3180	South Asia	-8000		settlement-hub	["indus-valley"]	["san","snd"]	Indus	Supported Indus Valley Civilization; one of the oldest urban cultures
ganges	Ganges	["Ganga"]	river	[[78.9,30.9],[80.2,29.2],[82.0,25.3],[85.2,25.6],[88.1,24.2],[88.4,22.1]]	2525	South Asia	-5000		boundary	["maurya","gupta"]	["san","hin","ben"]	Ganges	Sacred river; central to Indian civilization and culture
yellow-river	Yellow River	["Huang He"]	river	[[96.0,35.5],[100.0,35.8],[103.0,36.0],[107.0,37.0],[110.0,38.0],[112.0,38.0],[114.5,37.0],[116.5,37.5],[118.0,37.0],[119.0,37.5]]	5464	East Asia	-7000		settlement-hub	["shang","zhou","han"]	["lzh","cmn"]	Yellow River	Cradle of Chinese civilization; frequent devastating floods
yangtze	Yangtze	["Chang Jiang"]	river	[[97.0,33.4],[102.0,29.0],[106.0,29.5],[110.0,30.4],[113.5,30.5],[117.0,30.5],[120.0,31.4],[121.5,31.3]]	6300	East Asia	-8000		settlement-hub	["shang","han"]	["lzh","cmn","wuu"]	Yangtze	Longest river in Asia; divided north and south China culturally
danube	Danube	["Donau","Dunav","Duna"]	river	[[8.2,48.1],[12.1,48.3],[15.0,48.2],[17.1,48.1],[18.7,47.5],[19.0,47.5],[21.0,47.0],[24.0,44.3],[26.0,44.4],[29.0,45.3]]	2860	Europe	-5000		boundary	["roman-empire","byzantine","ottoman"]	["lat","deu","hun","ron","bul"]	Danube	Major European boundary river; frontier of the Roman Empire
rhine	Rhine	["Rhenus","Rhin"]	river	[[9.0,46.8],[8.2,47.6],[7.6,48.5],[7.8,49.0],[6.9,50.9],[6.1,51.8],[4.5,51.9]]	1230	Europe	-3000		boundary	["roman-empire","frankish"]	["lat","deu","fra","nld"]	Rhine	Major European trade route; Roman frontier (limes)
amazon	Amazon	["Amazonas"]	river	[[-73.4,-4.3],[-70.0,-4.0],[-65.0,-3.2],[-60.0,-3.1],[-55.0,-2.1],[-50.0,-1.5]]	6400	South America	-8000		trade-route	[]	["que","tup"]	Amazon	Largest river by volume; heart of Amazonian cultures
mediterranean	Mediterranean Sea	["Mare Nostrum","Mare Internum"]	sea	[[5.5,43.3],[5.0,38.0],[10.0,35.0],[15.0,37.0],[20.0,35.0],[25.0,35.0],[30.0,32.0],[35.0,35.0]]	-1	Mediterranean	-10000		trade-route	["phoenician","greek","roman-empire","byzantine","ottoman"]	["lat","grc","arb","tur"]	Mediterranean Sea	Center of ancient Western civilization; connected three continents
red-sea	Red Sea	["Erythra Thalassa","Bahr al-Ahmar"]	sea	[[32.5,28.0],[34.5,27.0],[36.5,24.0],[38.0,20.0],[40.0,16.0],[43.0,12.5]]	-1	Middle East	-5000		trade-route	["ancient-egypt","aksumite"]	["egy","arb"]	Red Sea	Ancient trade corridor connecting Egypt to India and East Africa
persian-gulf	Persian Gulf	["Arabian Gulf"]	sea	[[48.5,29.5],[50.5,27.0],[52.0,26.5],[54.0,25.0],[56.0,26.5]]	-1	Middle East	-7000		trade-route	["sumerian","akkadian","persian-empire"]	["sux","akk","peo","arb"]	Persian Gulf	Maritime trade hub connecting Mesopotamia to the Indus Valley
bosporus	Bosporus	["Bosphorus"]	strait	[[29.0,41.2],[29.0,41.1],[29.0,41.0]]	-1	Mediterranean	-5000		boundary	["byzantine","ottoman"]	["grc","tur"]	Bosporus	Strategic strait dividing Europe and Asia; controlled by Constantinople
nile-delta	Nile Delta	["Lower Egypt"]	lake	[[30.0,31.5],[31.5,31.5],[32.0,31.0],[30.5,30.5],[29.5,30.8]]	-1	Northeast Africa	-6000		settlement-hub	["ancient-egypt"]	["egy","cop","arb"]	Nile Delta	Fertile delta; agricultural heartland of ancient Egypt
dead-sea	Dead Sea	["Sea of Salt","Yam HaMelach"]	lake	[[35.5,31.5],[35.5,31.3],[35.5,31.2],[35.4,31.5]]	-1	Levant	-10000		boundary	["israelite"]	["heb","arb"]	Dead Sea	Lowest point on Earth; historically significant salt source
lake-titicaca	Lake Titicaca	["Titiqaqa"]	lake	[[-69.5,-15.5],[-69.0,-16.0],[-70.0,-16.5],[-69.5,-15.5]]	-1	South America	-3000		settlement-hub	["inca"]	["que","aym"]	Lake Titicaca	Highest navigable lake; birthplace of Inca creation mythology
suez-canal	Suez Canal	["Qanat al-Suways"]	canal	[[32.3,31.3],[32.3,30.6],[32.5,30.0]]	193	Middle East	1859	 	trade-route	[]	["arb","fra","eng"]	Suez Canal	Artificial waterway connecting Mediterranean to Red Sea
mekong	Mekong	["Mae Nam Khong","Lancang"]	river	[[99.0,28.0],[100.5,21.5],[102.5,18.0],[105.0,15.5],[105.5,11.5],[106.5,10.0]]	4350	Southeast Asia	-5000		settlement-hub	["khmer"]	["tha","lao","khm","vie"]	Mekong	Major Southeast Asian river; supported Khmer Empire
congo	Congo River	["Zaire"]	river	[[25.5,-2.5],[20.0,-4.3],[18.5,-2.0],[16.5,-4.3],[14.5,-4.5],[12.5,-6.0]]	4700	Central Africa	-5000		trade-route	[]	["kon","lin","swa"]	Congo River	Second longest river in Africa; central to Bantu expansion
mississippi	Mississippi	["Misi-ziibi"]	river	[[-90.0,47.0],[-91.5,43.0],[-91.0,39.0],[-90.5,36.5],[-91.0,33.0],[-90.0,30.0],[-89.0,29.0]]	3730	North America	-5000		trade-route	["mississippian"]	["oji","mch"]	Mississippi	Major North American waterway; Mississippian mound-builder cultures
