id	name	route_type	waypoints	start_date	end_date	traded_goods	key_cities	controlling_powers	associated_languages	description	economic_impact	confidence	sources	wikidata_qid	source_url	retrieved_at
tr-026	Persian Royal Road	land	{"type":"LineString","coordinates":[[52,37],[48,36],[44,38],[40,39],[35,39],[30,38],[27,38]]}	-500	-330	["royal dispatches","textiles","silver"]	["Susa","Arbela","Sardis"]	["Achaemenid Empire"]	["peo","arc"]	The Achaemenid highway from Susa to Sardis, with relay stations enabling rapid royal courier and caravan travel across the Persian Empire.	Integrated the Persian economy; model for later imperial road systems	0.8	["Wikidata","Wikipedia"]	Q220796	http://www.wikidata.org/entity/Q220796	2026-07-08T00:00:00Z
tr-027	Via Egnatia	land	{"type":"LineString","coordinates":[[19.5,41.3],[21,41],[22.9,40.6],[24.5,40.9],[28.9,41]]}	-146	1400	["grain","wine","slaves","textiles"]	["Dyrrachium","Thessalonica","Constantinople"]	["Roman Republic","Roman Empire","Byzantine Empire"]	["lat","grc"]	The Roman road across the southern Balkans linking the Adriatic to Byzantium, extending the Appian Way eastward.	Principal overland artery between Rome and the East; military and commercial spine of the Balkans	0.8	["Wikidata","Wikipedia"]	Q273783	http://www.wikidata.org/entity/Q273783	2026-07-08T00:00:00Z
tr-028	Via Maris	land	{"type":"LineString","coordinates":[[31,31],[34,31.3],[35,32.7],[36,34],[37,36]]}	-2000	1500	["spices","grain","metals","cedar"]	["Gaza","Megiddo","Damascus"]	["Egypt","Assyria","Rome"]	["egy","arc"]	The coastal 'way of the sea' linking Egypt with the Levant and Mesopotamia, one of the oldest trade and military roads of the Near East.	Connected the great Bronze Age economies; contested by every regional power	0.8	["Wikidata","Wikipedia"]	Q546068	http://www.wikidata.org/entity/Q546068	2026-07-08T00:00:00Z
tr-029	Appian Way	land	{"type":"LineString","coordinates":[[12.5,41.9],[13.2,41.3],[14.8,40.9],[16,40.6],[17.9,40.6]]}	-312	500	["marble","wine","oil","grain"]	["Rome","Capua","Brundisium"]	["Roman Republic","Roman Empire"]	["lat"]	The 'queen of roads' from Rome to Brundisium, Rome's principal southeastern land route to Greece and the East.	Backbone of Roman commercial and military movement in southern Italy	0.8	["Wikidata","Wikipedia"]	Q189417	http://www.wikidata.org/entity/Q189417	2026-07-08T00:00:00Z
tr-030	Steppe Route	land	{"type":"LineString","coordinates":[[35,48],[55,50],[75,50],[95,48],[110,45]]}	-1000	1300	["furs","horses","metalwork","gold"]	["Panticapaeum","Otrar","Karakorum"]	["Scythians","Xiongnu","Mongol Empire"]	[]	The ancient overland corridor across the Eurasian steppe, precursor to the Silk Road, carrying goods between the Black Sea and Mongolia.	Earliest trans-Eurasian exchange; diffusion of metallurgy and horse culture	0.8	["Wikidata","Wikipedia"]	Q30592581	http://www.wikidata.org/entity/Q30592581	2026-07-08T00:00:00Z
tr-031	Manila Galleon Route	maritime	{"type":"LineString","coordinates":[[120.9,14.6],[145,15],[180,25],[-160,30],[-125,35],[-99,19]]}	1565	1815	["silver","silk","porcelain","spices"]	["Manila","Acapulco"]	["Spanish Empire"]	["spa","cmn"]	The Spanish trans-Pacific trade linking Manila to Acapulco, exchanging American silver for Chinese silk and porcelain.	First sustained trans-Pacific trade; funnelled New World silver into the Chinese economy	0.8	["Wikidata","Wikipedia"]	Q683846	http://www.wikidata.org/entity/Q683846	2026-07-08T00:00:00Z
tr-032	El Camino Real de Tierra Adentro	land	{"type":"LineString","coordinates":[[-99.1,19.4],[-100.4,20.6],[-104.9,21.9],[-106.5,31.8],[-106,35.7]]}	1598	1882	["silver","livestock","textiles","hides"]	["Mexico City","Zacatecas","Santa Fe"]	["Spanish Empire","Mexico"]	["spa"]	The royal road of the interior linking Mexico City to the silver-mining north and the New Mexican frontier.	Lifeline of the northern silver economy and Spanish colonisation of the Southwest	0.8	["Wikidata","Wikipedia"]	Q911953	http://www.wikidata.org/entity/Q911953	2026-07-08T00:00:00Z
tr-033	Via Regia	land	{"type":"LineString","coordinates":[[8.7,50],[11,51],[13.7,51.1],[17,51.1],[24,50]]}	1000	1700	["cloth","salt","metal goods","wine"]	["Frankfurt","Leipzig","Wrocław","Kraków"]	["Holy Roman Empire","Poland"]	["deu","pol"]	The medieval 'royal highway' crossing Central Europe from the Rhineland to Silesia and beyond, a protected imperial road.	Principal east-west trade and pilgrimage axis of medieval Central Europe	0.8	["Wikidata","Wikipedia"]	Q836028	http://www.wikidata.org/entity/Q836028	2026-07-08T00:00:00Z
tr-034	Way of the Patriarchs	land	{"type":"LineString","coordinates":[[35.3,32.2],[35.2,31.9],[35.2,31.7],[35.1,31.5]]}	-1800	1500	["grain","wool","oil"]	["Shechem","Jerusalem","Hebron","Beersheba"]	["Judah","Rome"]	["hbo","arc"]	The central ridge route through the highlands of ancient Israel connecting the patriarchal towns from Shechem to Beersheba.	Internal spine of highland Judea's economy and pilgrimage	0.8	["Wikidata","Wikipedia"]	Q259222	http://www.wikidata.org/entity/Q259222	2026-07-08T00:00:00Z
tr-035	Uttarapatha (Northern Road)	land	{"type":"LineString","coordinates":[[91,23],[88,25],[83,25.3],[77,28.6],[72,31],[71,34]]}	-500	1500	["textiles","spices","gems","horses"]	["Pataliputra","Varanasi","Mathura","Taxila"]	["Maurya Empire","Gupta Empire"]	["san","pra"]	The great northern route of ancient India across the Gangetic plain toward the northwest, ancestor of the Grand Trunk Road.	Commercial and cultural artery of northern India; carrier of Buddhism northwestward	0.8	["Wikidata","Wikipedia"]	Q3321347	http://www.wikidata.org/entity/Q3321347	2026-07-08T00:00:00Z
tr-036	Dakshinapatha (Southern Road)	land	{"type":"LineString","coordinates":[[78,25],[77,21],[75,18],[74,16],[77,12]]}	-500	1500	["gems","gold","cotton","spices"]	["Ujjain","Pratishthana","Kanchipuram"]	["Satavahana dynasty","Chalukya"]	["san","tel","tam"]	The southern route of ancient India from the Gangetic north into the Deccan and the Tamil south.	Linked the Deccan and peninsular economies to northern India and the sea trade	0.8	["Wikidata","Wikipedia"]	Q5210091	http://www.wikidata.org/entity/Q5210091	2026-07-08T00:00:00Z
