Language Name,Language Family,Substrata,Superstrata,Adstrata,Notes
English,Germanic,Celtic (Brittonic); Pre-Germanic European,Norman French; Latin (ecclesiastical),Norse; French; Dutch,"Celtic place names; French 40% vocabulary; Norse everyday words"
French,Romance,Gaulish (Celtic); Aquitanian,Frankish (Germanic),Occitan; Italian; Spanish,"Gaulish substrate in phonology; Frankish superstrate minimal; major Romance adstrate"
Spanish,Romance,Iberian; Basque; Tartessian,Arabic (711-1492); Germanic (Visigothic),Portuguese; Catalan; Italian,"Arabic ~8% of vocabulary; Basque phonology in north; pre-Roman substrate"
Portuguese,Romance,Lusitanian; Celtic,Arabic; Germanic (Visigothic),Galician; Spanish,"Strong Celtic-Lusitanian substrate; Arabic in south; close Galician relationship"
Italian,Romance,Etruscan; Oscan; Umbrian; Venetic,Lombardic; Frankish (northern),Spanish; French; Venetian,"Etruscan substrate in Tuscany; minimal Germanic impact; dialect continuum"
Romanian,Romance,Dacian; Thracian,Slavic (major); Hungarian; Turkish,Slavic; Hungarian,"Massive Slavic superstrate ~20% vocabulary; Dacian substrate debated"
Catalan,Romance,Iberian; Basque,Arabic,Spanish; Occitan; French,"Transitional between Ibero-Romance and Gallo-Romance"
German,Germanic,Celtic (southern); Slavic (eastern),French (17th-18th c. prestige),Dutch; Czech; Polish; Yiddish,"Celtic substrates in south; Slavic loanwords east; French cultural influence"
Dutch,Germanic,Pre-Germanic; Frisian,French; Spanish (Flanders),German; English; Flemish,"Low Franconian base; French influence in Flanders"
Swedish,Germanic,Finnic; Sami,Low German (Hanseatic),Danish; Norwegian,"Finnic substrate in vocabulary; Hanseatic trade influence; North Germanic convergence"
Danish,Germanic,Unknown pre-Germanic,Low German (Hanseatic),Swedish; Norwegian; German,"Strong Low German influence; Scandinavian convergence"
Norwegian,Germanic,Sami; Finnic (minor),Danish (union period),Swedish; Danish,"Danish literary influence; Sami loanwords in north"
Icelandic,Germanic,Irish (minimal),Danish (union period; minimal)  ,Faroese,"Conservative; minimal outside influence"
Afrikaans,Germanic,Khoekhoe; Malay; Bantu,Dutch,English; Xhosa; Zulu,"Khoekhoe phonology; Malay vocabulary; African language contact"
Yiddish,Germanic,Hebrew; Aramaic; Slavic,German (Standard),Polish; Russian; Hebrew,"Semitic liturgical layer; Slavic substrate; German superstrate"
Greek,Greek,Pre-Greek (Minoan; Pelasgian; Anatolian),Latin; Turkish; Venetian,Albanian; Slavic; Romance,"Pre-Greek substrate ~40% non-IE vocabulary; Turkish rule; Balkan Sprachbund"
Albanian,Albanian,Illyrian; Thracian; Dacian,Latin; Slavic; Turkish; Italian,Greek; Romance; Slavic,"Paleo-Balkan substrate unclear; heavy Latin/Romance; Balkan Sprachbund"
Armenian,Armenian,Hurro-Urartian; unknown Caucasian,Iranian; Greek; Arabic; Turkish,Georgian; Kurdish; Persian,"Hurro-Urartian ~30-40% substrate; Iranian superstrate; long Turkic influence"
Irish,Celtic,Unknown pre-Celtic,Old Norse; Norman French; English,Scottish Gaelic; English,"Norse in coastal areas; Norman French minimal; heavy English influence"
