id	name	region	origin_date	end_date	origin_coordinates	associated_language_ids	genre_focus	key_themes	description	notable_authors	influences	wikidata_qid	source_url	retrieved_at	confidence	sources
age-of-enlightenment	Age of Enlightenment								period of European history and cultural movement of the 17th and 18th centuries			Q12539	http://www.wikidata.org/entity/Q12539	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
agitprop	agitprop	Russian Socialist Federative Soviet Republic							political art from Soviet Russia			Q374278	http://www.wikidata.org/entity/Q374278	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
arabic-literature	Arabic literature								written literature in Arabic language			Q194380	http://www.wikidata.org/entity/Q194380	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ars-nova	ars nova		1310						musical style of the late Middle Ages			Q210854	http://www.wikidata.org/entity/Q210854	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
baroque	Baroque								cultural movement, starting around 1600			Q37853	http://www.wikidata.org/entity/Q37853	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
chinoiserie	chinoiserie								European interpretation and imitation of Chinese and East Asian artistic traditions, especially in the decorative arts, garden design, architecture, literature, theatre, and music			Q863679	http://www.wikidata.org/entity/Q863679	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
croatian-spring	Croatian Spring								cultural and political movement in the late 1960s; opposed unitarization in Yugoslavia; called for economic, cultural, political reforms and more rights for Croatia within Yugoslavia; in 1971, forcefully suppressed by the Yugoslav government			Q616146	http://www.wikidata.org/entity/Q616146	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
dada	Dada		1910						avant-garde art movement in the early 20th century			Q6034	http://www.wikidata.org/entity/Q6034	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
deism	deism								belief in God without revelation			Q620629	http://www.wikidata.org/entity/Q620629	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
dogme-95	Dogme 95		1995						1995 Manifesto by Lars von Trier, Thomas Vinterberg, Kristian Levring and Søren Kragh-Jacobsen			Q211481	http://www.wikidata.org/entity/Q211481	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
encyclopedistes	encyclopédistes								contributors to the development of the Encyclopédie from June 1751 to December 1765			Q744738	http://www.wikidata.org/entity/Q744738	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
existentialism	existentialism								philosophical and literary current			Q38066	http://www.wikidata.org/entity/Q38066	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
fin-de-siecle	fin de siècle								late 19th-century cultural phenomenon in Europe			Q265581	http://www.wikidata.org/entity/Q265581	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
french-renaissance	French Renaissance								cultural movement from the 15th to 17th century			Q2349908	http://www.wikidata.org/entity/Q2349908	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
gilded-age	Gilded Age								era in the history of the USA between the late 1860's and the 1890's			Q1753636	http://www.wikidata.org/entity/Q1753636	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
guardianship-of-the-islamic-jurists	Guardianship of the Islamic Jurists								theory in Shia Islam which holds that Islam gives a faqīh (Islamic jurist) custodianship over people			Q1780396	http://www.wikidata.org/entity/Q1780396	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
haskalah	Haskalah								period of Jewish enlightenment (1770-1890)			Q472670	http://www.wikidata.org/entity/Q472670	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
islamic-philosophy	Islamic philosophy								Academic study of philosophy derived from the tradition and teachings of Islam			Q193104	http://www.wikidata.org/entity/Q193104	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
italian-renaissance	Italian Renaissance								cultural movement from the 14th to 17th century			Q1404472	http://www.wikidata.org/entity/Q1404472	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
japonisme	Japonisme								European imitation of Japanese art during the 19th and 20th centuries			Q751880	http://www.wikidata.org/entity/Q751880	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
kinetic-art	kinetic art								art genre of artworks that contains movement			Q466521	http://www.wikidata.org/entity/Q466521	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
lost-generation	Lost Generation								generation that came of age during World War I, born from 1883 to 1900			Q234105	http://www.wikidata.org/entity/Q234105	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
macedonian-renaissance	Macedonian Renaissance								Byzantine empire cultural movement during the reign of the Macedonian dynasty			Q1400430	http://www.wikidata.org/entity/Q1400430	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
mannerism-movement	Mannerism								style of European art			Q131808	http://www.wikidata.org/entity/Q131808	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
manosphere	manosphere								umbrella term for masculist, male autonomy and misogynistic online platforms such as MGTOW, PUA, passport bro's, NoFap etc.			Q17068342	http://www.wikidata.org/entity/Q17068342	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
modernism	modernism								movement of art, culture, philosophy and architecture			Q878985	http://www.wikidata.org/entity/Q878985	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
nahda	Nahda								cultural movement in the Arabic-speaking world, especially Egypt and the Ottoman-ruled Levant			Q1520921	http://www.wikidata.org/entity/Q1520921	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
northern-renaissance-movement	Northern Renaissance								Renaissance that occurred in the European countries north of the Alps			Q610877	http://www.wikidata.org/entity/Q610877	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
objectivism	objectivism	United States							philosophy created by Ayn Rand			Q74950	http://www.wikidata.org/entity/Q74950	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
orientalism	Orientalism								imitation or depiction of aspects of Middle Eastern and East Asian cultures			Q42865	http://www.wikidata.org/entity/Q42865	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
philhellenism	Philhellenism								19th century intellectual movement supporting Greek national development			Q695274	http://www.wikidata.org/entity/Q695274	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
postfeminism	postfeminism								reactions against contradictions and absences in feminism			Q143823	http://www.wikidata.org/entity/Q143823	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
postmodernism	Postmodernism								philosophical and artistic movement			Q47783	http://www.wikidata.org/entity/Q47783	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
praxeology	praxeology								deductive study of human action			Q1162708	http://www.wikidata.org/entity/Q1162708	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
punk-subculture	punk subculture								anti-establishment culture			Q153946	http://www.wikidata.org/entity/Q153946	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
rangaku	rangaku								Japanese study of Dutch tech (1639–1867)			Q877637	http://www.wikidata.org/entity/Q877637	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
renaissance	Renaissance								cultural movement that spanned the period roughly from the 14th to the 17th century			Q4692	http://www.wikidata.org/entity/Q4692	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
renaissance-humanism	renaissance humanism								revival in the study of classical antiquity			Q846933	http://www.wikidata.org/entity/Q846933	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
romanticism-movement	Romanticism								artistic, literary, musical, and intellectual movement			Q37068	http://www.wikidata.org/entity/Q37068	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
surrealism	surrealism		1920						international cultural movement that began in the early 1920s			Q39427	http://www.wikidata.org/entity/Q39427	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
swinging-london	Swinging London								youth-driven cultural revolution centered in London in the 1960s			Q2037910	http://www.wikidata.org/entity/Q2037910	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
symbolism	Symbolism		1857						late nineteenth-century art movement of French, Russian and Belgian origin seeking to represent absolute truths symbolically through language and metaphorical images			Q164800	http://www.wikidata.org/entity/Q164800	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
transhumanism	transhumanism		1980						ideology that advocates for the transformation of the human condition by developing and making widely available technologies to enhance human intellect and physiology			Q194100	http://www.wikidata.org/entity/Q194100	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
trecento	Trecento								14th century in Italian cultural history			Q856643	http://www.wikidata.org/entity/Q856643	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
tropicalia	tropicália	Brazil	1967						Brazilian music genre and cultural movement			Q1413061	http://www.wikidata.org/entity/Q1413061	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
voluntary-human-extinction-movement	Voluntary Human Extinction Movement		1991						environmental movement that calls for people to abstain from reproduction to cause the gradual voluntary extinction of humankind			Q559127	http://www.wikidata.org/entity/Q559127	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
vormarz	Vormärz								Period of German history before the 1848 revolution			Q700923	http://www.wikidata.org/entity/Q700923	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
weimar-classicism	Weimar Classicism								German literary and cultural movement, whose practitioners established a new humanism			Q694408	http://www.wikidata.org/entity/Q694408	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
young-germany	Young Germany								disestablishmentarian think tank consiting of young German artists from 1830-1850			Q1713406	http://www.wikidata.org/entity/Q1713406	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
young-poland	Young Poland		1890	1918					1890–1918 modernist arts movement in Poland			Q1133329	http://www.wikidata.org/entity/Q1133329	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
