id	cuisine_id	name	food_type	time_origin	time_end
chinese-peking-duck	chinese	Peking Duck	Main Dish	-500	null
chinese-kung-pao-chicken	chinese	Kung Pao Chicken	Stir-Fry	-500	null
chinese-sweet-and-sour-pork	chinese	Sweet and Sour Pork	Main Dish	-500	null
chinese-mapo-tofu	chinese	Mapo Tofu	Main Dish	-500	null
chinese-dim-sum	chinese	Dim Sum	Appetizer	-500	null
chinese-xiaolongbao	chinese	Xiaolongbao	Dumpling	-500	null
chinese-dumplings	chinese	Dumplings	Dumpling	-500	null
chinese-spring-rolls	chinese	Spring Rolls	Appetizer	-500	null
chinese-fried-rice	chinese	Fried Rice	Rice Dish	-500	null
chinese-chow-mein	chinese	Chow Mein	Noodle Dish	-500	null
chinese-lo-mein	chinese	Lo Mein	Noodle Dish	-500	null
chinese-dan-dan-noodles	chinese	Dan Dan Noodles	Noodle Dish	-500	null
chinese-wonton-soup	chinese	Wonton Soup	Soup	-500	null
chinese-hot-and-sour-soup	chinese	Hot and Sour Soup	Soup	-500	null
chinese-egg-drop-soup	chinese	Egg Drop Soup	Soup	-500	null
chinese-congee	chinese	Congee	Rice Porridge	-500	null
chinese-char-siu	chinese	Char Siu	Grilled Meat	-500	null
chinese-general-tsos-chicken	chinese	General Tso's Chicken	Main Dish	1950	null
chinese-orange-chicken	chinese	Orange Chicken	Main Dish	1950	null
chinese-mongolian-beef	chinese	Mongolian Beef	Main Dish	-500	null
chinese-beef-and-broccoli	chinese	Beef and Broccoli	Stir-Fry	-500	null
chinese-moo-shu-pork	chinese	Moo Shu Pork	Main Dish	-500	null
chinese-twice-cooked-pork	chinese	Twice Cooked Pork	Main Dish	-500	null
chinese-hong-shao-rou	chinese	Hong Shao Rou	Stew	-500	null
chinese-dongpo-pork	chinese	Dongpo Pork	Main Dish	-500	null
chinese-sichuan-hot-pot	chinese	Sichuan Hot Pot	Hot Pot	-500	null
chinese-chongqing-chicken	chinese	Chongqing Chicken	Stir-Fry	-500	null
chinese-fish-fragrant-eggplant	chinese	Fish Fragrant Eggplant	Stir-Fry	-500	null
chinese-gong-bao-shrimp	chinese	Gong Bao Shrimp	Stir-Fry	-500	null
chinese-salt-and-pepper-squid	chinese	Salt and Pepper Squid	Fried Food	-500	null
chinese-steamed-fish	chinese	Steamed Fish	Main Dish	-500	null
chinese-braised-abalone	chinese	Braised Abalone	Main Dish	-500	null
chinese-sea-cucumber	chinese	Sea Cucumber	Main Dish	-500	null
chinese-birds-nest-soup	chinese	Bird's Nest Soup	Soup	-500	null
chinese-shark-fin-soup	chinese	Shark Fin Soup	Soup	-500	null
chinese-buddhas-delight	chinese	Buddha's Delight	Vegetable Dish	-500	null
chinese-ma-la-xiang-guo	chinese	Ma La Xiang Guo	Stir-Fry	-500	null
chinese-chuan-chuan	chinese	Chuan Chuan	Street Food	-500	null
chinese-jianbing	chinese	Jianbing	Street Food	-500	null
chinese-roujiamo	chinese	Roujiamo	Sandwich	-500	null
chinese-baozi	chinese	Baozi	Steamed Bun	-500	null
chinese-mantou	chinese	Mantou	Steamed Bun	-500	null
chinese-scallion-pancake	chinese	Scallion Pancake	Flatbread	-500	null
chinese-ramen-chinese-style	chinese	Ramen (Chinese style)	Noodle Soup	-500	null
chinese-lanzhou-beef-noodles	chinese	Lanzhou Beef Noodles	Noodle Soup	-500	null
chinese-guilin-rice-noodles	chinese	Guilin Rice Noodles	Noodle Dish	-500	null
chinese-zhajiangmian	chinese	Zhajiangmian	Noodle Dish	-500	null
chinese-biang-biang-noodles	chinese	Biang Biang Noodles	Noodle Dish	-500	null
chinese-shengjianbao	chinese	Shengjianbao	Fried Bun	-500	null
chinese-guotie	chinese	Guotie	Dumpling	-500	null
chinese-shumai	chinese	Shumai	Dumpling	-500	null
chinese-har-gow	chinese	Har Gow	Dumpling	-500	null
chinese-cheung-fun	chinese	Cheung Fun	Rice Roll	-500	null
chinese-turnip-cake	chinese	Turnip Cake	Dim Sum	-500	null
chinese-taro-cake	chinese	Taro Cake	Dim Sum	-500	null
chinese-egg-tart	chinese	Egg Tart	Dessert	-500	null
chinese-pineapple-bun	chinese	Pineapple Bun	Bread	-500	null
chinese-coconut-bun	chinese	Coconut Bun	Bread	-500	null
chinese-bbq-pork-bun	chinese	BBQ Pork Bun	Steamed Bun	-500	null
chinese-custard-bun	chinese	Custard Bun	Steamed Bun	-500	null
chinese-zongzi	chinese	Zongzi	Rice Dumpling	-500	null
chinese-nian-gao	chinese	Nian Gao	Rice Cake	-500	null
chinese-tangyuan	chinese	Tangyuan	Dessert	-500	null
chinese-mooncake	chinese	Mooncake	Dessert	-500	null
chinese-sesame-balls	chinese	Sesame Balls	Dessert	-500	null
chinese-almond-cookie	chinese	Almond Cookie	Cookie	-500	null
chinese-fortune-cookie	chinese	Fortune Cookie	Cookie	1950	null
chinese-dragons-beard-candy	chinese	Dragon's Beard Candy	Candy	-500	null
chinese-white-rabbit-candy	chinese	White Rabbit Candy	Candy	-500	null
chinese-haw-flakes	chinese	Haw Flakes	Candy	-500	null
chinese-century-egg	chinese	Century Egg	Appetizer	-500	null
chinese-tea-egg	chinese	Tea Egg	Snack	-500	null
chinese-soy-sauce-egg	chinese	Soy Sauce Egg	Side Dish	-500	null
chinese-preserved-vegetables	chinese	Preserved Vegetables	Pickle	-500	null
chinese-pickled-cucumber	chinese	Pickled Cucumber	Pickle	-500	null
chinese-wood-ear-mushroom	chinese	Wood Ear Mushroom	Side Dish	-500	null
chinese-bok-choy	chinese	Bok Choy	Side Dish	-500	null
chinese-chinese-broccoli	chinese	Chinese Broccoli	Side Dish	-500	null
chinese-water-spinach	chinese	Water Spinach	Side Dish	-500	null
chinese-lotus-root	chinese	Lotus Root	Side Dish	-500	null
chinese-bamboo-shoots	chinese	Bamboo Shoots	Side Dish	-500	null
chinese-baby-corn	chinese	Baby Corn	Side Dish	-500	null
chinese-snow-peas	chinese	Snow Peas	Side Dish	-500	null
chinese-edamame	chinese	Edamame	Snack	-500	null
chinese-roasted-chestnuts	chinese	Roasted Chestnuts	Snack	-500	null
chinese-sunflower-seeds	chinese	Sunflower Seeds	Snack	-500	null
chinese-tofu-pudding	chinese	Tofu Pudding	Dessert	-500	null
chinese-soy-milk	chinese	Soy Milk	Beverage	-500	null
chinese-grass-jelly	chinese	Grass Jelly	Dessert	-500	null
chinese-bubble-tea	chinese	Bubble Tea	Beverage	-500	null
chinese-chrysanthemum-tea	chinese	Chrysanthemum Tea	Beverage	-500	null
chinese-pu-erh-tea	chinese	Pu-erh Tea	Beverage	-500	null
chinese-oolong-tea	chinese	Oolong Tea	Beverage	-500	null
chinese-jasmine-tea	chinese	Jasmine Tea	Beverage	-500	null
chinese-longjing-tea	chinese	Longjing Tea	Beverage	-500	null
chinese-baijiu	chinese	Baijiu	Beverage	-500	null
chinese-huangjiu	chinese	Huangjiu	Beverage	-500	null
chinese-tsingtao-beer	chinese	Tsingtao Beer	Beverage	-500	null
chinese-sour-plum-drink	chinese	Sour Plum Drink	Beverage	-500	null
chinese-herbal-tea	chinese	Herbal Tea	Beverage	-500	null
