id	name	parent_id	description	taxonomic_level	region	total_speakers	language_count
sino_tibetan__sino_tibetan	Sino-Tibetan	sino_tibetan	One of the largest language families in the world, primarily spoken in East Asia, Southeast Asia, and the Himalayas.	Family	East Asia, Southeast Asia, South Asia		
sino_tibetan__sinitic	Sinitic	sino_tibetan	The branch containing the Chinese languages (dialects), characterized by SVO word order and tonality.	Subfamily	Greater China, Southeast Asia		
sino_tibetan__tibeto_burman	Tibeto-Burman	sino_tibetan	A diverse branch containing hundreds of languages including Tibetan and Burmese, often SOV word order.	Subfamily	Himalayas, Myanmar, Northeast India, Southwest China		
sino_tibetan__lolo_burmese	Lolo-Burmese	sino_tibetan	A major subgroup of Tibeto-Burman that includes Burmese and the Yi languages.	Genus	Myanmar, Southwest China		
sino_tibetan__bodish	Bodish	sino_tibetan	A subgroup containing the Tibetic languages.	Genus	Tibet, Bhutan, Nepal, Northern India		
sino_tibetan__karenic	Karenic	sino_tibetan	A distinct branch of Tibeto-Burman spoken by the Karen peoples.	Genus	Myanmar, Thailand		
sino_tibetan__kuki_chin_naga	Kuki-Chin-Naga	sino_tibetan	A cluster of languages spoken in the border regions of India and Myanmar.	Geographical Grouping	Northeast India, Western Myanmar		
sino_tibetan__sal	Sal	sino_tibetan	Also known as Brahmaputran, a major branch including Bodo-Garo, Jingpho-Luish, and Konyak languages.	Subfamily	Northeast India, Northern Myanmar, Southwest China		
sino_tibetan__bodo_garo	Bodo-Garo	sino_tibetan	Also known as Baric, part of the Sal branch spoken in Northeast India.	Genus	Northeast India, Bangladesh		
sino_tibetan__jingpho_luish	Jingpho-Luish	sino_tibetan	Also known as Kachinic, part of the Sal branch including Jingpho (Kachin).	Genus	Myanmar, China, India		
niger_congo__niger_congo	Niger-Congo	niger_congo	The largest language family in Africa and one of the largest in the world by number of languages.	Family	Sub-Saharan Africa		
niger_congo__benue_congo	Benue-Congo	niger_congo	The largest branch of Niger-Congo, covering most of Sub-Saharan Africa.	Subfamily	Central and Southern Africa		
niger_congo__bantu	Bantu	niger_congo	A major branch of the Benue-Congo family, comprising hundreds of languages.	Branch	Central, Southern, and East Africa		
niger_congo__volta_niger	Volta-Niger	niger_congo	Includes major languages of southern Nigeria and Benin.	Subfamily	West Africa		
niger_congo__atlantic	Atlantic	niger_congo	Spoken primarily along the Atlantic coast from Senegal to Liberia.	Subfamily	West Africa		
niger_congo__mande	Mande	niger_congo	Spoken in several countries in West Africa by the Mandé peoples.	Subfamily	West Africa		
niger_congo__kwa	Kwa	niger_congo	Spoken along the Ivory Coast, Ghana, Togo, and Benin.	Subfamily	West Africa		
niger_congo__gur	Gur	niger_congo	Spoken in Burkina Faso, Mali, Ghana, and Togo.	Subfamily	Sahel and Savanna regions of West Africa		
austronesian__austronesian	Austronesian	austronesian	One of the world's largest language families, widely dispersed throughout the islands of Southeast Asia and the Pacific, with a few members on continental Asia.	Family	Maritime Southeast Asia, Oceania, Madagascar, Taiwan		
austronesian__malayo_polynesian	Malayo-Polynesian	austronesian	The largest subgroup of the Austronesian language family, comprising all Austronesian languages spoken outside Taiwan.	Subfamily	Maritime Southeast Asia, Oceania, Madagascar		
austronesian__formosan	Formosan	austronesian	The indigenous languages of Taiwan, which form several distinct primary branches of the Austronesian family.	Group	Taiwan		
austronesian__philippine	Philippine	austronesian	A proposed subgroup of Western Malayo-Polynesian affecting most languages in the Philippines and northern Sulawesi.	Subfamily	Philippines, Northern Sulawesi		
austronesian__malayic	Malayic	austronesian	A branch of Malayo-Polynesian that includes the Malay language, Minangkabau, and Iban.	Subfamily	Sumatra, Malay Peninsula, Borneo, Coastal Southeast Asia		
austronesian__javanese	Javanese	austronesian	A branch consisting primarily of the Javanese language.	Subfamily	Java		
austronesian__greater_barito	Greater Barito	austronesian	A group of languages in Borneo and including Malagasy in Madagascar.	Subfamily	Borneo, Madagascar		
austronesian__oceanic	Oceanic	austronesian	A branch containing approximately 450 languages, including Polynesian, Micronesian, and Fijian languages.	Subfamily	Oceania		
austronesian__polynesian	Polynesian	austronesian	A subgroup of Oceanic languages spoken in the Polynesian Triangle.	Subfamily	Polynesia		
austronesian__south_sulawesi	South Sulawesi	austronesian	A group including Buginese and Makassarese.	Subfamily	Sulawesi		
trans_new_guinea__trans_new_guinea	Trans-New Guinea	trans_new_guinea	One of the largest language families in the world, covering most of the interior of New Guinea.	Family	New Guinea		
trans_new_guinea__engan	Engan	trans_new_guinea	A major branch located in the highlands of PNG, containing the populous Enga and Huli languages.	Subfamily	Papua New Guinea Highlands		
trans_new_guinea__chimbu_wahgi	Chimbu-Wahgi	trans_new_guinea	Located in the Chimbu and Western Highlands provinces.	Subfamily	Papua New Guinea Highlands		
trans_new_guinea__dani	Dani	trans_new_guinea	Located in the Baliem Valley and surrounding areas of Highland Papua, Indonesia.	Subfamily	Indonesian Papua Highlands		
trans_new_guinea__paniai_lakes	Paniai Lakes	trans_new_guinea	Centered around the Paniai Lakes in Indonesia.	Subfamily	Indonesian Papua		
trans_new_guinea__finisterre_huon	Finisterre-Huon	trans_new_guinea	A large family located on the Huon Peninsula.	Subfamily	Morobe Province, Papua New Guinea		
trans_new_guinea__madang	Madang	trans_new_guinea	A diverse group located on the north coast and hinterlands.	Subfamily	Madang Province, Papua New Guinea		
trans_new_guinea__ok	Ok	trans_new_guinea	Spans the border between Indonesia and Papua New Guinea in the Star Mountains.	Subfamily	Central Cordillera		
trans_new_guinea__asmat_kamoro	Asmat-Kamoro	trans_new_guinea	Located in the southern swampy lowlands.	Subfamily	Southern Papua, Indonesia		
trans_new_guinea__binandere	Binandere	trans_new_guinea	Located in the 'Bird's Tail' of New Guinea.	Subfamily	Oro Province, Papua New Guinea		
trans_new_guinea__mek	Mek	trans_new_guinea	Located in the eastern highlands of Indonesian Papua.	Subfamily	Indonesian Papua Highlands		
