id	name	date	coordinates	belligerents	outcome	casualties_estimate	significance	associated_language_changes	war_name
battle-thermopylae	Battle of Thermopylae	-480	[38.7956,22.5367]	[{"name":"Greek city-states","civilization_id":"ancient-greece"},{"name":"Achaemenid Empire","civilization_id":"persian-empire"}]	Greek strategic defeat, Persian advance delayed	~20000	Delayed Persian advance, allowed Greek naval victory at Salamis	Greek maintained as dominant language in region	Greco-Persian Wars
battle-salamis	Battle of Salamis	-480	[37.9608,23.5833]	[{"name":"Greek city-states","civilization_id":"ancient-greece"},{"name":"Achaemenid Empire","civilization_id":"persian-empire"}]	Decisive Greek victory	~40000	Ended Persian invasion of Greece, preserved Greek independence	Greek preserved as language of Mediterranean culture	Greco-Persian Wars
battle-gaugamela	Battle of Gaugamela	-331	[36.5583,43.4333]	[{"name":"Macedonian Empire","civilization_id":"ancient-greece"},{"name":"Achaemenid Empire","civilization_id":"persian-empire"}]	Decisive Macedonian victory	~50000	Ended the Achaemenid Empire, began Hellenistic era	Greek became lingua franca across Near East and Central Asia (Koine Greek)	Wars of Alexander the Great
battle-zama	Battle of Zama	-202	[36.3000,8.3333]	[{"name":"Roman Republic","civilization_id":"roman-empire"},{"name":"Carthage","civilization_id":"carthage"}]	Decisive Roman victory	~30000	Ended Second Punic War, established Roman dominance in western Mediterranean	Latin displaced Punic in North Africa	Second Punic War
battle-pydna	Battle of Pydna	-168	[40.4000,22.5833]	[{"name":"Roman Republic","civilization_id":"roman-empire"},{"name":"Macedon","civilization_id":"ancient-greece"}]	Decisive Roman victory	~25000	End of Macedonian kingdom, Roman control of Greece	Latin administrative language imposed alongside Greek	Third Macedonian War
battle-alesia	Battle of Alesia	-52	[47.5369,4.5006]	[{"name":"Roman Republic","civilization_id":"roman-empire"},{"name":"Gallic tribes","civilization_id":"celtic-territories"}]	Decisive Roman victory	~60000	Completed Roman conquest of Gaul	Celtic Gaulish gradually replaced by Vulgar Latin, leading to French	Gallic Wars
battle-teutoburg	Battle of Teutoburg Forest	9	[52.4042,8.1303]	[{"name":"Roman Empire","civilization_id":"roman-empire"},{"name":"Germanic tribes","civilization_id":null}]	Decisive Germanic victory	~20000	Halted Roman expansion into Germania	Germanic languages preserved east of Rhine instead of being Latinized	Roman-Germanic Wars
battle-actium	Battle of Actium	-31	[38.9500,20.7167]	[{"name":"Octavian (Rome)","civilization_id":"roman-empire"},{"name":"Mark Antony & Cleopatra","civilization_id":"ancient-egypt"}]	Decisive Octavian victory	~10000	End of Roman Republic, beginning of Roman Empire; annexation of Egypt	Coptic began decline as Latin/Greek became administrative languages in Egypt	Roman Civil Wars
battle-adrianople	Battle of Adrianople	378	[41.6700,26.5700]	[{"name":"Roman Empire","civilization_id":"roman-empire"},{"name":"Visigoths","civilization_id":null}]	Decisive Gothic victory	~20000	Beginning of the fall of the Western Roman Empire	Gothic and Germanic languages spread into former Roman territories	Gothic War
battle-catalaunian-plains	Battle of the Catalaunian Plains	451	[48.2500,3.5000]	[{"name":"Western Roman Empire & Visigoths","civilization_id":"roman-empire"},{"name":"Hunnic Empire","civilization_id":null}]	Roman-Visigothic strategic victory	~50000	Halted Hunnic advance into Western Europe	Preserved Latin-derived languages in Gaul	Hunnic Invasions
battle-yarmouk	Battle of Yarmouk	636	[32.8333,36.1667]	[{"name":"Rashidun Caliphate","civilization_id":"umayyad-caliphate"},{"name":"Byzantine Empire","civilization_id":"byzantine-empire"}]	Decisive Arab victory	~50000	Arab conquest of the Levant, end of Byzantine rule in Syria	Arabic replaced Aramaic and Greek as dominant language in the Levant	Muslim Conquest of the Levant
battle-qadisiyyah	Battle of al-Qadisiyyah	636	[32.0500,44.8167]	[{"name":"Rashidun Caliphate","civilization_id":"umayyad-caliphate"},{"name":"Sasanian Empire","civilization_id":"sasanian-empire"}]	Decisive Arab victory	~40000	Led to fall of Sasanian Empire	Arabic gradually replaced Middle Persian; Persian later reemerged with heavy Arabic loanwords (Modern Persian)	Muslim Conquest of Persia
