id	name	native_name	pantheon	domain	gender	syncretism_links	associated_religion_ids	associated_language_ids	time_origin	time_end	coordinates	description	wikidata_qid	source_url	retrieved_at	confidence	sources
abellio	Abellio				male							god worshipped in Gallia Aquitania	Q318682	http://www.wikidata.org/entity/Q318682	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
abraxas	Abraxas											mystical word of Gnostic origins that carries many meanings, including as a proper name	Q207730	http://www.wikidata.org/entity/Q207730	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
adramelech	Adramelech				male							god of Sepharvaim	Q366515	http://www.wikidata.org/entity/Q366515	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ahura-mazda	Ahura Mazda					["god-the-father","god"]						highest deity and creator deity of Zoroastrianism	Q179575	http://www.wikidata.org/entity/Q179575	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
al-qaum	Al-Qaum											Nabataean god of war	Q47552	http://www.wikidata.org/entity/Q47552	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
am-heh	Am-heh											ancient Egyptian deity	Q2840771	http://www.wikidata.org/entity/Q2840771	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
angra-mainyu	Angra Mainyu											personification of the "destructive spirit" in Zoroastrianism	Q223805	http://www.wikidata.org/entity/Q223805	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
anshar	Anshar				male							Babylonian deity	Q771497	http://www.wikidata.org/entity/Q771497	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
anu	Anu				female							deity	Q612156	http://www.wikidata.org/entity/Q612156	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
baal	Baal				male							Canaanite storm deity	Q590467	http://www.wikidata.org/entity/Q590467	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
baal-berith	Baal-berith				male							God(s) worshipped in ancient Canaan	Q1757445	http://www.wikidata.org/entity/Q1757445	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
baalshamin	Baalshamin				male							northwest Semitic sky god	Q2737631	http://www.wikidata.org/entity/Q2737631	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
beelzebub	Beelzebub											Philistine god, formerly worshipped in Ekron, later adopted in Judaism and Christianity as a demon	Q202492	http://www.wikidata.org/entity/Q202492	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
belphegor	Belphegor											one of the seven princes of Hell	Q816170	http://www.wikidata.org/entity/Q816170	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
bennu	Bennu				male							heron-like deity of Ancient Egyptian mythology	Q818378	http://www.wikidata.org/entity/Q818378	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
bhagiratha	Bhagiratha											king in Hindu tradition	Q2426607	http://www.wikidata.org/entity/Q2426607	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
bhavani	Bhavānī				female							Forms of Hindu goddess Parvati	Q2232493	http://www.wikidata.org/entity/Q2232493	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
brahmacarini	Brahmacāriṇī											Hindu goddess of devotion and penance	Q2766571	http://www.wikidata.org/entity/Q2766571	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
cai-shen	Cai Shen											Chinese god of prosperity	Q1322674	http://www.wikidata.org/entity/Q1322674	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
cian	Cian				male							mythical character	Q1091393	http://www.wikidata.org/entity/Q1091393	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
coronis	Coronis				female							goddess from Greek mythology: princess, daughter of Phlegyas, lover of Ischys and Apollo, mother of Asclepius; killed by Apollon and Artemis	Q725286	http://www.wikidata.org/entity/Q725286	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
damgalnuna	Damgalnuna				female							mesopotamian goddess	Q3275417	http://www.wikidata.org/entity/Q3275417	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
deva	deva											the male form of God	Q211258	http://www.wikidata.org/entity/Q211258	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
devi	Devi											goddess in Hinduism, supreme feminine principle	Q494511	http://www.wikidata.org/entity/Q494511	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
dhruva	Dhruva											ascetic follower of Vishnu	Q1207769	http://www.wikidata.org/entity/Q1207769	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
dhu-l-khalasa	Dhu'l-Khalasa				male							pre-Islamic Arabian shrine and deity	Q978802	http://www.wikidata.org/entity/Q978802	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
dian-cecht	Dian Cecht				male							Irish mythological god of healing	Q1194924	http://www.wikidata.org/entity/Q1194924	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
dosojin	Dōsojin											type of Shinto kami	Q269515	http://www.wikidata.org/entity/Q269515	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
dushara	Dushara				male							deity	Q1267598	http://www.wikidata.org/entity/Q1267598	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
el	El				male							Northwest Semitic word for "god"	Q1316633	http://www.wikidata.org/entity/Q1316633	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
el-shaddai	El Shaddai											one of the names of the God of Israel	Q3234403	http://www.wikidata.org/entity/Q3234403	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
el-tio	El Tío											Bolivian mine spirit	Q14406445	http://www.wikidata.org/entity/Q14406445	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
elder-zhang-guo	Elder Zhang Guo				male							Chinese mythological figure	Q197181	http://www.wikidata.org/entity/Q197181	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
elohim	Elohim				male							Hebrew divine name used in the Tanakh	Q868915	http://www.wikidata.org/entity/Q868915	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ennead	Ennead											group of nine deities in Egyptian mythology worshipped at Heliopolis	Q233458	http://www.wikidata.org/entity/Q233458	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
flins	Flins											god of death in Wendish mythology	Q3297038	http://www.wikidata.org/entity/Q3297038	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
god	God					["jehovah","god-in-judaism","god-in-islam","ahura-mazda"]						principal object of faith in monotheistic religions, a divine entity that created and typically supervises all existence	Q190	http://www.wikidata.org/entity/Q190	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
god-in-islam	God in Islam					["god-in-judaism","yahweh","god"]						Islamic conception of God	Q2095353	http://www.wikidata.org/entity/Q2095353	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
god-in-judaism	God in Judaism					["jehovah","god-in-islam","yahweh","god"]						Jewish conception of God	Q2155501	http://www.wikidata.org/entity/Q2155501	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
god-in-the-baha-i-faith	God in the Bahá'í Faith					["god"]						Baháʼí conception of God	Q2407554	http://www.wikidata.org/entity/Q2407554	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
god-the-father	God the Father				male	["ahura-mazda"]						in Christianity, the first of the three persons of the Trinity, who begets the Son and from whom the Holy Spirit proceeds	Q186350	http://www.wikidata.org/entity/Q186350	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
