id	empire_id	empire_name	year	event_type	territory_change	capital	population_estimate	ruler	government_type	vassal_states	rival_empires	associated_language_ids	description
et-001	roman-empire	Roman Empire	-27	founding	expansion	Rome	45000000	Augustus	Empire	["Egypt","Judaea","Galatia"]	["Parthian Empire"]	["latin","ancient-greek"]	Octavian becomes Augustus, establishing the Roman Empire after the fall of the Republic
et-002	roman-empire	Roman Empire	117	peak_extent	peak	Rome	60000000	Trajan	Empire	["Dacia","Armenia","Mesopotamia","Nabataea"]	["Parthian Empire"]	["latin","ancient-greek"]	Maximum territorial extent under Emperor Trajan, spanning from Britain to Mesopotamia
et-003	roman-empire	Roman Empire	285	administrative_change	stable	Nicomedia	55000000	Diocletian	Tetrarchy	["Egypt","Syria","Britannia"]	["Sassanid Empire"]	["latin","ancient-greek"]	Diocletian divides the empire into Eastern and Western administrative units
et-004	roman-empire	Roman Empire	395	split	contraction	Rome/Constantinople	50000000	Honorius/Arcadius	Divided Empire	["Gaul","Hispania","Africa"]	["Sassanid Empire","Visigoths"]	["latin","ancient-greek"]	Permanent division into Western and Eastern Roman Empires
et-005	roman-empire	Roman Empire	476	fall	collapse	Ravenna	20000000	Romulus Augustulus	Empire	[]	["Ostrogoths","Vandals"]	["latin"]	Fall of the Western Roman Empire when Odoacer deposes the last emperor
et-006	akkadian-empire	Akkadian Empire	-2334	founding	expansion	Akkad	1000000	Sargon of Akkad	Empire	["Sumer","Elam"]	["Gutians"]	["akk","sux"]	Sargon unifies Mesopotamia, creating the first known empire in history
et-007	akkadian-empire	Akkadian Empire	-2250	peak_extent	peak	Akkad	1500000	Naram-Sin	Empire	["Sumer","Elam","Magan"]	["Gutians","Lullubi"]	["akk","sux"]	Empire reaches peak under Naram-Sin who declares himself god-king
et-008	akkadian-empire	Akkadian Empire	-2154	fall	collapse	Akkad	500000	Shu-turul	Empire	[]	["Gutians"]	["akk"]	Collapse under Gutian invasions and internal rebellion
et-009	mongol-empire	Mongol Empire	1206	founding	expansion	Karakorum	2000000	Genghis Khan	Khanate	["Tangut","Khwarezm"]	["Jin Dynasty","Song Dynasty"]	["mon","trk"]	Temüjin unites Mongol tribes and is proclaimed Genghis Khan
et-010	mongol-empire	Mongol Empire	1279	peak_extent	peak	Khanbaliq	110000000	Kublai Khan	Khanate	["Korea","Tibet","Burma"]	["Mamluk Sultanate","Japan"]	["mon","cmn","fas"]	Largest contiguous land empire in history at its greatest extent
et-011	mongol-empire	Mongol Empire	1368	contraction	contraction	Khanbaliq	80000000	Toghon Temür	Khanate	[]	["Ming Dynasty"]	["mon"]	Loss of China to the Ming Dynasty marks major decline
et-012	mongol-empire	Mongol Empire	1405	fragmentation	collapse	Samarkand	40000000	Various khans	Fragmented Khanates	[]	["Ming Dynasty","Timurids"]	["mon","trk"]	Empire fully fragmented into successor khanates after Timur's death
