id	system_type	language_ids	terminology	descent_rule	residence_rule	associated_civilizations
kin-001	Eskimo	["eng","deu","fra","nld","spa"]	{"mother":"mother","father":"father","aunt":"aunt","uncle":"uncle","cousin":"cousin","brother":"brother","sister":"sister"}	bilateral	neolocal	Western European
kin-002	Eskimo	["dan","nor","swe"]	{"mother":"mor","father":"far","aunt":"tante/moster/faster","uncle":"onkel/morbror/farbror","cousin":"fætter/kusine","brother":"bror","sister":"søster"}	bilateral	neolocal	Scandinavian
kin-003	Eskimo	["fin","smn","sme"]	{"mother":"äiti","father":"isä","aunt":"täti","uncle":"setä/eno","cousin":"serkku","brother":"veli","sister":"sisko"}	bilateral	neolocal	Finnish/Sami
kin-004	Eskimo	["ess","esu","ikt"]	{"mother":"aana","father":"aapa","aunt":"aana","uncle":"aapa","cousin":"cousin-term","brother":"ani/nuka","sister":"nayak/nuka"}	bilateral	neolocal	Inuit/Yupik
kin-005	Eskimo	["hun"]	{"mother":"anya","father":"apa","aunt":"nagynéni","uncle":"nagybácsi","cousin":"unokatestvér","brother":"fivér","sister":"nővér"}	bilateral	neolocal	Hungarian
kin-006	Hawaiian	["haw"]	{"mother":"makuahine","father":"makuakane","parent_sibling":"makua","cousin":"hoahanau","brother":"kaikuaana/kaikaina","sister":"kaikuahine"}	bilateral	neolocal	Hawaiian
kin-007	Hawaiian	["mri"]	{"mother":"whaea","father":"matua","parent_gen":"matua","cousin":"tungane/tuahine","brother":"tungane/teina","sister":"tuahine/teina"}	bilateral	patrilocal	Maori
kin-008	Hawaiian	["smo","ton","fij"]	{"mother":"tina","father":"tama","parent_sibling":"same as parent","cousin":"uso/tuagane/tuafafine","brother":"uso/tuagane","sister":"uso/tuafafine"}	bilateral	patrilocal	Polynesian/Fijian
kin-009	Hawaiian	["ilo","tgl","ceb"]	{"mother":"ina","father":"ama","parent_sibling":"merged with parent terms","cousin":"pinsan","brother":"kuya/kapatid","sister":"ate/kapatid"}	bilateral	neolocal	Filipino/Austronesian
kin-010	Sudanese	["tur"]	{"mother":"anne","father":"baba","father_brother":"amca","mother_brother":"dayı","father_sister":"hala","mother_sister":"teyze","parallel_cousin_m":"amca oğlu","cross_cousin_m":"dayı oğlu"}	patrilineal	patrilocal	Turkish/Ottoman
kin-011	Sudanese	["arb"]	{"mother":"umm","father":"ab","father_brother":"amm","mother_brother":"khal","father_sister":"amma","mother_sister":"khala","FBS":"ibn amm","MBS":"ibn khal"}	patrilineal	patrilocal	Arab/Islamic
kin-012	Sudanese	["hau"]	{"mother":"uwa","father":"uba","father_brother":"baffa","mother_brother":"kawu","father_sister":"baba","mother_sister":"inna","FBS":"dan baffa","MBS":"dan kawu"}	patrilineal	patrilocal	Hausa
kin-013	Sudanese	["pes"]	{"mother":"madar","father":"pedar","father_brother":"amu","mother_brother":"dayi","father_sister":"amme","mother_sister":"khale","FBS":"pesar amu","MBS":"pesar dayi"}	patrilineal	patrilocal	Persian/Iranian
kin-014	Omaha	["oma"]	{"mother":"ihon","father":"indadi","MB":"itini","FZ":"ihon","MBS":"itini","FZS":"isannga","cross_gen_skewing":"yes"}	patrilineal	patrilocal	Omaha Nation
kin-015	Omaha	["win"]	{"mother":"iina","father":"jaaji","MB":"deega","FZ":"ina-type","MBS":"deega","FZS":"parallel-merged","cross_gen_skewing":"yes"}	patrilineal	patrilocal	Winnebago/Ho-Chunk
kin-016	Omaha	["yor"]	{"mother":"iya","father":"baba","MB":"uncle_term","FZ":"anti","MBS":"merged_with_MB_line","cross_gen_skewing":"yes"}	patrilineal	patrilocal	Yoruba
kin-017	Omaha	["zul","xho"]	{"mother":"umama","father":"ubaba","MB":"umalume","FZ":"udadewethu","MBS":"merged_down","cross_gen_skewing":"yes"}	patrilineal	patrilocal	Zulu/Xhosa/Nguni
kin-018	Crow	["cro"]	{"mother":"mother_term","father":"father_term","FZ":"elevated","MB":"lowered","FZD":"merged_with_FZ","MBS":"merged_with_MB_child","cross_gen_skewing":"matrilateral"}	matrilineal	matrilocal	Crow Nation
kin-019	Crow	["chr"]	{"mother":"etsi","father":"edoda","FZ":"elevated_generation","MB":"lowered_generation","FZD":"merged_with_FZ","cross_gen_skewing":"matrilateral"}	matrilineal	matrilocal	Cherokee
kin-020	Crow	["hop"]	{"mother":"yu","father":"na","FZ":"kyaa","MB":"taaha","FZD":"merged_with_FZ_gen","cross_gen_skewing":"matrilateral"}	matrilineal	matrilocal	Hopi
kin-021	Iroquois	["moh","cay","one","tus","sek"]	{"mother":"ista","father":"rake","FB":"rake","MZ":"ista","MB":"raken","FZ":"ake","parallel_cousin":"same_as_sibling","cross_cousin":"different_term"}	matrilineal	matrilocal	Haudenosaunee/Iroquois
kin-022	Iroquois	["tam"]	{"mother":"amma","father":"appa","FB":"periyappa/chithappa","MZ":"periyamma/chithhi","MB":"mama","FZ":"athai","parallel_cousin":"same_as_sibling","cross_cousin":"different_term"}	patrilineal	patrilocal	Tamil
kin-023	Iroquois	["cre"]	{"mother":"nikâwiy","father":"nôhtâwiy","FB":"father_term","MZ":"mother_term","MB":"uncle_term","FZ":"aunt_term","parallel_cousin":"sibling_term","cross_cousin":"distinct"}	bilateral	patrilocal	Cree
kin-024	Dravidian	["mal","kan","tel"]	{"mother":"amma","father":"achan/appa","MB":"mama/mother_husband_equiv","FZ":"atte/mother_equiv","parallel_cousin":"sibling","cross_cousin":"marriageable","MB_daughter":"preferred_spouse"}	patrilineal	patrilocal	South Indian/Dravidian
kin-025	Dravidian	["tam"]	{"mother":"amma","father":"appa","MB":"mama","FZ":"athai","MBD":"manaivi_candidate","FZS":"manaivi_candidate","parallel_cousin":"sibling_equiv","cross_cousin":"spouse_category"}	patrilineal	patrilocal	Tamil Dravidian
kin-026	Dravidian	["tiw"]	{"mother":"mother_term","father":"father_term","MB":"spouse_father_equiv","FZ":"spouse_mother_equiv","cross_cousin":"marriageable","parallel_cousin":"sibling_class"}	matrilineal	matrilocal	Tiwi/Aboriginal Australian
kin-027	Dravidian	["wbp","aly"]	{"mother":"ngalyji","father":"kirda","MB":"ngamirni","FZ":"marriageable_parent","cross_cousin":"spouse_class","parallel_cousin":"sibling_class"}	patrilineal	patrilocal	Warlpiri/Aboriginal Australian
kin-028	Sudanese	["hin","san"]	{"mother":"mata","father":"pita","FB":"tau/chacha","MB":"mama","FZ":"bua","MZ":"mausi","FBS":"chachera_bhai","MBS":"mamera_bhai"}	patrilineal	patrilocal	Hindi/Sanskrit/North Indian
kin-029	Eskimo	["por","ita","ron"]	{"mother":"mãe/madre/mamă","father":"pai/padre/tată","aunt":"tia/zia/mătușă","uncle":"tio/zio/unchi","cousin":"primo/cugino/văr","brother":"irmão/fratello/frate","sister":"irmã/sorella/soră"}	bilateral	neolocal	Romance-speaking European
kin-030	Hawaiian	["ban","jav","sun"]	{"mother":"meme/ibu/ambu","father":"bapa/bapak/bapa","parent_sibling":"merged_generational","cousin":"same_as_sibling","brother":"beli/kakak/lanceuk","sister":"embok/mbakyu/teteh"}	bilateral	neolocal	Indonesian/Javanese/Balinese
