id	name	food_item	origin_region	origin_coordinates	destination_region	destination_coordinates	date	mechanism	associated_route_id	description	cultural_impact
ce-tomato	Tomato to Europe	tomato	Mesoamerica	[-99.13,19.43]	Southern Europe	[12.50,41.90]	1521	colonization	european-atlantic	Spanish conquistadors brought tomatoes from the Aztec Empire to Europe after the conquest of Mexico	Transformed Italian, Spanish, and Mediterranean cuisine; became foundational ingredient in sauces, soups, and salads worldwide
ce-potato	Potato to Europe	potato	Andes	[-76.00,-13.50]	Northern Europe	[-3.70,40.42]	1570	colonization	european-atlantic	Spanish brought potatoes from Peru to Europe; became staple crop in Ireland, Germany, and Eastern Europe	Enabled population growth in Northern Europe; Irish dependence led to Great Famine (1845-1852); became global staple
ce-maize	Maize to Europe	maize	Mesoamerica	[-96.73,17.07]	Southern Europe	[-3.70,40.42]	1493	colonization	european-atlantic	Columbus brought maize back from the Caribbean on his return voyage to Spain	Became staple in Southern Europe, Africa; polenta in Italy; foundation of animal feed globally
ce-cacao	Cacao to Europe	cacao	Mesoamerica	[-90.53,14.64]	Western Europe	[-3.70,40.42]	1528	colonization	european-atlantic	Hernán Cortés introduced cacao and chocolate preparation to the Spanish court	Created global chocolate industry; transformed European confectionery; became major plantation crop
ce-peppers	Chili Peppers to Asia	chili pepper	Mesoamerica	[-99.13,19.43]	South and East Asia	[78.96,20.59]	1542	trade	portuguese-maritime	Portuguese traders introduced chili peppers from the Americas to India, Southeast Asia, and China	Revolutionized Indian, Thai, Sichuan, and Korean cuisines; replaced or supplemented black pepper and other native spices
ce-wheat-americas	Wheat to the Americas	wheat	Fertile Crescent	[44.00,33.00]	Americas	[-99.13,19.43]	1520	colonization	european-atlantic	Spanish colonists brought wheat cultivation to Mexico and subsequently throughout the Americas	Became major crop in temperate Americas; foundation of bread culture in Latin America and North America
ce-cattle-americas	Cattle to the Americas	cattle	Iberia	[-3.70,40.42]	Americas	[-58.38,-34.60]	1493	colonization	european-atlantic	Columbus brought cattle on his second voyage; ranching spread across the Americas	Created gaucho and cowboy cultures; transformed grasslands; major economic driver in Argentina, Brazil, US
ce-horse-americas	Horse to the Americas	horse	Iberia	[-3.70,40.42]	Americas	[-99.13,19.43]	1519	colonization	european-atlantic	Spanish reintroduced horses to the Americas (extinct since Pleistocene); Cortés brought them to Mexico	Transformed Plains Indian cultures; enabled new forms of warfare, hunting, and transportation across the Americas
ce-sugarcane	Sugarcane to the Americas	sugarcane	South Asia	[78.96,20.59]	Caribbean	[-66.10,18.47]	1493	colonization	european-atlantic	Columbus brought sugarcane to Hispaniola; plantation system expanded across Caribbean and Brazil	Drove Atlantic slave trade; created plantation economies; transformed global diet and economics
ce-coffee-arabia	Coffee from Ethiopia to Arabia	coffee	Ethiopia	[38.75,9.00]	Arabian Peninsula	[44.21,15.35]	1400	trade		Sufi monks in Yemen began cultivating coffee from Ethiopian wild plants for religious devotion	Created global coffee culture; coffeehouses became centers of intellectual and political discourse
ce-coffee-europe	Coffee to Europe	coffee	Arabian Peninsula	[44.21,15.35]	Western Europe	[2.35,48.86]	1615	trade		Venetian merchants introduced coffee to Europe; first European coffeehouse opened in Venice	Coffeehouses became centers of Enlightenment discourse; displaced beer as morning beverage in many cultures
ce-coffee-americas	Coffee to the Americas	coffee	Arabian Peninsula	[44.21,15.35]	Brazil	[-43.17,-22.91]	1727	colonization	portuguese-maritime	Portuguese brought coffee plants from French Guiana to Brazil	Brazil became world's largest coffee producer; shaped Brazilian economy and landscape
ce-tea-china-japan	Tea from China to Japan	tea	China	[114.11,30.60]	Japan	[135.77,35.02]	805	trade		Buddhist monk Saichō brought tea seeds from Tang Dynasty China to Japan	Developed into Japanese tea ceremony (chadō); became central to Japanese aesthetics and social ritual
ce-tea-europe	Tea to Europe	tea	China	[114.11,30.60]	Western Europe	[-0.12,51.51]	1610	trade	spice-trade	Dutch East India Company brought tea from China to Europe; became hugely popular in Britain	Drove British colonialism in India and China; Opium Wars; created global tea industry; afternoon tea culture
ce-tea-india	Tea Cultivation in India	tea	China	[114.11,30.60]	India	[91.75,26.18]	1836	colonization		British established tea plantations in Assam using Chinese plants and techniques	India became major tea producer; chai culture; plantation labor systems shaped demographics of Northeast India
ce-silk-road-spices	Silk Road Spice Trade	spices	South and Southeast Asia	[80.27,13.08]	Mediterranean	[29.01,41.01]	-200	trade	silk-road	Pepper, cinnamon, cloves, and nutmeg traded along the Silk Road from India and Southeast Asia to Rome and Constantinople	Spice wealth drove exploration; preserved foods before refrigeration; spice markets shaped medieval economies
ce-black-pepper	Black Pepper Trade	black pepper	India	[76.27,9.93]	Roman Empire	[12.50,41.90]	-100	trade	silk-road	Black pepper from Kerala became Rome's most valued spice import, sometimes worth more than gold	Called "black gold"; drove Indian Ocean trade networks; Malabar Coast became wealthy; motivated Age of Exploration
ce-cinnamon-trade	Cinnamon Trade	cinnamon	Sri Lanka	[79.86,6.93]	Middle East and Europe	[29.01,41.01]	-2000	trade	spice-trade	Ancient Egyptians and Phoenicians traded cinnamon from Sri Lanka via intermediaries	One of earliest long-distance luxury trades; mythologized origins to protect trade secrets
ce-nutmeg-clove	Nutmeg and Clove Trade	nutmeg and cloves	Maluku Islands	[127.37,-0.54]	Europe	[4.90,52.37]	1512	trade	spice-trade	Portuguese reached the Spice Islands; Dutch later monopolized nutmeg and clove trade	Dutch colonization of Indonesia; Run Island traded for Manhattan; monopoly drove exploitation
ce-banana-africa	Banana to Africa	banana	Southeast Asia	[110.00,2.00]	East Africa	[39.28,-6.82]	500	migration	malay-archipelago-trade	Austronesian and Arab traders introduced bananas from Southeast Asia to East Africa via Madagascar	Became staple food across tropical Africa; enabled settlement of forest regions; matoke culture in Uganda
ce-rice-africa	Rice to West Africa	rice	West Africa (indigenous) and Asia	[106.85,15.00]	West Africa	[-13.23,8.48]	-1500	migration		African rice (Oryza glaberrima) independently domesticated in West Africa; Asian rice arrived later via trade	Rice became central to West African cuisine; Jollof rice tradition; enslaved Africans brought rice knowledge to Americas
ce-rice-americas	Rice to the Americas	rice	West Africa	[-13.23,8.48]	Americas	[-79.93,32.78]	1694	colonization	atlantic-slave-trade	Enslaved West Africans brought rice cultivation knowledge to the Carolina Lowcountry	Carolina Gold rice economy; enslaved people's agricultural expertise was key to colonial wealth
ce-taro-pacific	Taro across the Pacific	taro	Southeast Asia	[110.00,2.00]	Pacific Islands	[-149.57,-17.53]	-1500	migration	austronesian-expansion	Austronesian migrants carried taro as a staple crop across the Pacific	Foundation crop of Polynesian civilization; poi in Hawaii; cultural and spiritual significance throughout Oceania
ce-breadfruit-pacific	Breadfruit across the Pacific	breadfruit	New Guinea	[147.18,-6.00]	Pacific Islands	[-149.57,-17.53]	-1000	migration	austronesian-expansion	Austronesian peoples spread breadfruit cultivation across Melanesia and Polynesia	Major caloric staple in Pacific Islands; HMS Bounty mutiny connected to breadfruit transport
ce-yam-pacific	Yam Cultivation Spread	yam	Southeast Asia	[110.00,2.00]	Melanesia and West Africa	[147.18,-6.00]	-3000	migration	austronesian-expansion	Yams spread with Austronesian expansion; also independently cultivated in West Africa	Yam festivals in West Africa and Melanesia; staple crop in tropical agriculture
ce-sorghum-spread	Sorghum Domestication and Spread	sorghum	Sahel Africa	[30.00,12.00]	India and East Asia	[78.96,20.59]	-2000	trade	trans-saharan-trade	Sorghum domesticated in the Sahel spread to India via ancient trade routes and to China	Major drought-resistant grain; became staple in arid regions worldwide
ce-millet-spread	Millet from China	millet	Northern China	[116.40,39.90]	Central and South Asia	[69.17,34.53]	-2500	trade	silk-road	Foxtail and proso millets spread from China westward along early Silk Road predecessor routes	Enabled agriculture in semiarid Central Asia; staple grain before wheat dominance
ce-olive-spread	Olive Cultivation Spread	olive	Eastern Mediterranean	[35.51,33.89]	Western Mediterranean	[-3.70,40.42]	-1000	colonization	phoenician-trade	Phoenician and Greek colonists spread olive cultivation across the Mediterranean	Foundation of Mediterranean diet; olive oil became economic cornerstone; religious symbolism
ce-grape-spread	Grape and Wine Spread	grape/wine	Caucasus	[44.79,41.72]	Mediterranean	[12.50,41.90]	-6000	trade		Viticulture spread from the Caucasus to Mesopotamia, Egypt, Greece, and Rome	Wine became central to Mediterranean culture, religion (Christianity, Judaism), and economy
ce-grape-americas	Grape to the Americas	grape/wine	Iberia	[-3.70,40.42]	Americas	[-70.64,-33.45]	1554	colonization	european-atlantic	Spanish missionaries brought wine grapes to Chile and Argentina for sacramental wine	Created major wine industries in Chile, Argentina, California; New World wines now rival European
ce-vanilla	Vanilla to the World	vanilla	Mesoamerica	[-96.13,18.45]	Indian Ocean Islands	[55.45,-4.68]	1841	colonization		Edmond Albius in Réunion discovered hand-pollination of vanilla, enabling cultivation outside Mexico	Madagascar became largest vanilla producer; flavoring industry; second most expensive spice after saffron
ce-peanut-africa	Peanut to Africa	peanut	South America	[-47.93,-15.78]	West Africa	[-17.44,14.69]	1560	colonization	portuguese-maritime	Portuguese traders brought peanuts from Brazil to West Africa	Became integral to West African cuisine (groundnut stew); major cash crop in Senegal and Nigeria
ce-cassava-africa	Cassava to Africa	cassava	South America	[-47.93,-15.78]	West Africa	[-5.55,7.54]	1558	colonization	portuguese-maritime	Portuguese introduced cassava from Brazil to West Africa as a food crop	Became primary caloric source for millions in sub-Saharan Africa; fufu; drought resilience
ce-sweet-potato-pacific	Sweet Potato to Polynesia	sweet potato	South America	[-76.00,-13.50]	Polynesia	[-109.35,-27.12]	1000	migration	polynesian-voyaging	Polynesians brought sweet potatoes from South America to Eastern Polynesia (evidence of pre-Columbian contact)	Evidence of Polynesian contact with South America; kumara became staple in New Zealand Māori diet
ce-coconut-spread	Coconut across Tropics	coconut	Southeast Asia	[110.00,2.00]	Pacific and Indian Ocean	[-149.57,-17.53]	-2000	migration	austronesian-expansion	Austronesian peoples spread coconut palm cultivation across the tropical Pacific and Indian Ocean	Foundational tropical crop; copra trade; cooking oil; building material; cultural symbol
ce-citrus-europe	Citrus Fruits to Europe	citrus fruits	South and East Asia	[110.00,23.00]	Mediterranean	[-3.70,40.42]	1000	trade	arab-expansion	Arab traders and conquests brought oranges, lemons, and limes from Asia to the Mediterranean	Transformed Mediterranean agriculture; scurvy prevention enabled long-distance sailing; orange groves
ce-turmeric-spread	Turmeric Trade	turmeric	India	[78.96,20.59]	Southeast Asia and Middle East	[100.50,13.75]	-500	trade	arab-indian-ocean	Indian turmeric spread via trade routes to Southeast Asia and the Middle East	Central to curry traditions; medicinal use; religious ceremonies; textile dye
ce-ginger-spread	Ginger Trade	ginger	South China	[113.26,23.13]	Mediterranean	[35.51,33.89]	-200	trade	silk-road	Ginger traded from China to the Roman Empire via the Silk Road	Valued as medicine and spice; gingerbread in medieval Europe; essential in Asian cuisines
ce-date-palm	Date Palm Cultivation	date palm	Mesopotamia	[44.37,33.31]	North Africa and Iberia	[-7.99,31.63]	-4000	trade	trans-saharan-trade	Date palm cultivation spread from Mesopotamia across North Africa via ancient trade	Essential food source in desert regions; oasis agriculture; cultural and religious significance
