id	name	native_name	region	coordinates	time_origin	time_end	associated_language_ids	instruments	scales	rhythmic_patterns	related_traditions	description	sources
gamelan	Gamelan	Gamelan	Southeast Asia	{"lat":-7.60,"lng":110.20}	-200	null	["javanese","sundanese","balinese"]	["gamelan-gong","bonang","saron","kendang","suling"]	["pelog","slendro"]	["colotomic"]	["indian-classical"]	Javanese and Balinese ensemble music featuring bronze percussion	["Ethnomusicological research"]
indian-classical	Indian Classical	शास्त्रीय संगीत	South Asia	{"lat":28.61,"lng":77.21}	-1500	null	["hindi","sanskrit","tamil","telugu"]	["sitar","tabla","veena","tanpura","sarangi","mridangam"]	["raga"]	["tala"]	["gamelan","persian-classical"]	Ancient tradition based on raga (melodic) and tala (rhythmic) frameworks	["Natya Shastra","Ethnomusicological research"]
persian-classical	Persian Classical Music	موسیقی سنتی ایران	Middle East	{"lat":35.69,"lng":51.39}	-500	null	["persian"]	["tar","setar","santur","kamancheh","ney","tombak"]	["dastgah","maqam"]	["usul"]	["indian-classical","arabic-maqam","ottoman-classical"]	Elaborate modal system (dastgah) with improvisation	["Historical records","Ethnomusicological research"]
arabic-maqam	Arabic Maqam	المقام العربي	Middle East	{"lat":33.31,"lng":44.37}	500	null	["arabic"]	["oud","qanun","ney","riq","darbuka"]	["maqam"]	["iqa"]	["persian-classical","ottoman-classical","andalusian"]	Modal system with quarter-tone intervals and complex rhythmic cycles	["Al-Farabi writings","Ethnomusicological research"]
chinese-classical	Chinese Classical	中國古典音樂	East Asia	{"lat":39.90,"lng":116.40}	-1000	null	["mandarin","chinese"]	["guqin","pipa","erhu","dizi","guzheng","sheng"]	["pentatonic","gong-mode"]	["ban"]	["korean-classical","japanese-gagaku"]	Ancient court and literati tradition emphasizing the guqin	["Historical records","Confucian texts"]
japanese-gagaku	Gagaku	雅楽	East Asia	{"lat":35.68,"lng":139.69}	600	null	["japanese"]	["sho","hichiriki","ryuteki","biwa","koto","taiko"]	["ryo","ritsu"]	["jo-ha-kyu"]	["chinese-classical","korean-classical"]	Japanese imperial court music, oldest surviving orchestral tradition	["Imperial court records"]
korean-classical	Korean Classical	한국 전통음악	East Asia	{"lat":37.57,"lng":126.98}	-57	null	["korean"]	["gayageum","geomungo","daegeum","haegeum","janggu"]	["pyeongjo","gyemyeonjo"]	["jangdan"]	["chinese-classical","japanese-gagaku"]	Court and folk traditions including pansori narrative singing	["Historical records"]
west-african-griot	West African Griot	Djeli/Griot	West Africa	{"lat":12.65,"lng":-8.00}	800	null	["mandinka","wolof","bambara"]	["kora","balafon","djembe","ngoni","talking-drum"]	["pentatonic"]	["polyrhythmic"]	["blues","jazz"]	Hereditary musician-historian tradition of the Mande peoples	["Oral tradition","Ethnomusicological research"]
andean	Andean Music	Música andina	South America	{"lat":-13.53,"lng":-71.97}	-1000	null	["quechua","aymara"]	["siku","quena","charango","bombo"]	["pentatonic"]	["huayno"]	["peruvian-criolla"]	Indigenous highland music tradition with panpipes and flutes	["Archaeological evidence","Ethnomusicological research"]
flamenco	Flamenco	Flamenco	Southern Europe	{"lat":37.39,"lng":-5.98}	1500	null	["spanish","romani"]	["flamenco-guitar","cajon","palmas","castanets"]	["phrygian","flamenco-mode"]	["compás"]	["arabic-maqam","andalusian","romani-music"]	Andalusian art form blending Romani, Moorish, and Spanish elements	["Historical records"]
celtic	Celtic Music	Ceol Ceilteach	Western Europe	{"lat":53.35,"lng":-6.26}	-500	null	["irish","scottish-gaelic","welsh","breton"]	["irish-harp","uilleann-pipes","fiddle","bodhran","tin-whistle"]	["mixolydian","dorian"]	["jig","reel","hornpipe"]	["bluegrass"]	Ancient musical tradition of Celtic-speaking peoples	["Historical records","Oral tradition"]
ottoman-classical	Ottoman Classical	Osmanlı klasik müziği	Middle East	{"lat":41.01,"lng":28.98}	1300	1922	["turkish","ottoman-turkish"]	["oud","ney","kanun","kemence","kudüm"]	["makam"]	["usul"]	["persian-classical","arabic-maqam"]	Courtly tradition synthesizing Persian, Arabic, and Byzantine elements	["Ottoman court records"]
gregorian-chant	Gregorian Chant	Cantus Gregorianus	Western Europe	{"lat":41.90,"lng":12.50}	600	null	["latin"]	["organ","voice"]	["church-modes"]	["free-rhythm"]	["polyphony"]	Medieval monophonic sacred singing of the Roman Catholic Church	["Liturgical manuscripts"]
polyphony-georgian	Georgian Polyphony	ქართული მრავალხმიანობა	Caucasus	{"lat":41.72,"lng":44.79}	-700	null	["georgian"]	["panduri","chonguri","salamuri","voice"]	["georgian-modes"]	["free-polyphonic"]	[]	UNESCO-recognized three-part vocal polyphony, one of the oldest	["UNESCO","Ethnomusicological research"]
blues	Blues	Blues	North America	{"lat":33.52,"lng":-90.18}	1860	null	["english"]	["guitar","harmonica","piano","voice"]	["blues-scale","pentatonic-minor"]	["shuffle","12-bar"]	["west-african-griot","jazz","rock-and-roll"]	African American music from the Deep South Delta region	["Historical records","Sound recordings"]
mesoamerican	Mesoamerican Music	Música mesoamericana	North America	{"lat":19.43,"lng":-99.13}	-2000	null	["nahuatl","maya"]	["huehuetl","teponaztli","clay-flute","conch-trumpet","bone-rasp"]	["pentatonic"]	["ceremonial"]	["andean"]	Pre-Columbian ritual and ceremonial music tradition	["Archaeological evidence","Codices"]
aboriginal-australian	Aboriginal Australian	Aboriginal Music	Oceania	{"lat":-25.27,"lng":131.04}	-40000	null	["pama-nyungan"]	["didgeridoo","clapsticks","voice"]	["drone-based"]	["cyclic"]	[]	World's oldest continuous musical tradition, tied to Dreamtime	["Ethnomusicological research","Oral tradition"]
sufi	Sufi Music	موسیقی صوفیانه	Middle East	{"lat":37.87,"lng":32.48}	1200	null	["persian","turkish","arabic","urdu"]	["ney","rebab","daf","voice"]	["maqam"]	["sama"]	["persian-classical","ottoman-classical"]	Devotional music tradition used in Sufi whirling ceremonies	["Rumi writings","Historical records"]
throat-singing	Throat Singing	Хөөмей	Central Asia	{"lat":51.72,"lng":94.45}	-1000	null	["tuvan","mongolian"]	["igil","morin-khuur","voice"]	["overtone-series"]	["continuous-drone"]	[]	Multiphonic vocal technique producing simultaneous harmonics	["Ethnomusicological research","UNESCO"]
pygmy-polyphony	Pygmy Polyphony	Polyphonie pygmée	Central Africa	{"lat":1.50,"lng":25.00}	-10000	null	["baka","mbuti","aka"]	["voice","water-drum","bow-harp"]	["pentatonic"]	["hocket","yodel"]	[]	Ancient interlocking vocal tradition of Central African forest peoples	["Ethnomusicological research"]
