id	language_id	family_id	geometry	range_type	time_period_start	time_period_end	time_period_label	confidence	sources	notes
lrp-latin-peak	latin	indo-european	{"type":"Polygon","coordinates":[[[-9.5,36],[-5,43],[0,46],[3,48],[7,50],[10,48],[13,47],[15,46],[18,45],[22,44],[28,42],[33,38],[36,35],[36,32],[33,30],[25,30],[20,31],[15,32],[10,33],[5,35],[0,37],[-5,37],[-9.5,36]]]}	historical	-100	400	Peak Roman Empire (100 BCE - 400 CE)	92	["Clackson & Horrocks 2007","Adams 2003"]	Latin at maximum extent during Roman Empire
lrp-latin-early	latin	indo-european	{"type":"Polygon","coordinates":[[[10,40],[10,44],[16,44],[16,40],[10,40]]]}	historical	-753	-250	Early Latin (753-250 BCE)	80	["Palmer 1954"]	Latin confined to Latium and central Italy
lrp-greek-classical	ancient-greek	indo-european	{"type":"Polygon","coordinates":[[[19,34],[20,39],[22,41],[26,42],[30,41],[32,38],[30,35],[27,34],[23,34],[19,34]]]}	historical	-800	-146	Classical Greek (800-146 BCE)	88	["Horrocks 2010","Colvin 2007"]	Greek mainland, Aegean islands, western Anatolia
lrp-greek-colonies	ancient-greek	indo-european	{"type":"MultiPolygon","coordinates":[[[[12,37],[13,39],[16,40],[18,38],[15,37],[12,37]]],[[[25,40],[27,42],[30,42],[30,40],[25,40]]]]}	historical	-750	-300	Greek Colonial Period (750-300 BCE)	75	["Tsetskhladze 2006"]	Magna Graecia and Black Sea colonies
lrp-arabic-classical	arabic	afro-asiatic	{"type":"Polygon","coordinates":[[[32,12],[35,15],[40,20],[45,25],[50,30],[55,33],[60,35],[65,32],[60,25],[55,18],[50,15],[45,12],[40,10],[35,10],[32,12]]]}	historical	632	1258	Classical Arabic Expansion (632-1258 CE)	90	["Versteegh 2014","Holes 2004"]	Arabic spread during early Islamic conquests
lrp-arabic-modern	arabic	afro-asiatic	{"type":"Polygon","coordinates":[[[-17,15],[-10,20],[-5,30],[0,33],[5,35],[12,35],[15,33],[25,32],[33,35],[36,33],[40,30],[45,25],[50,20],[55,15],[50,12],[40,10],[30,10],[20,12],[10,15],[0,18],[-10,18],[-17,15]]]}	current	1900	null	Modern Arabic (1900 CE - Present)	95	["Ethnologue","Holes 2004"]	Modern Standard Arabic and dialect continuum
lrp-mandarin-modern	mandarin	sino-tibetan	{"type":"Polygon","coordinates":[[[98,22],[100,28],[103,33],[108,38],[112,42],[118,45],[122,42],[125,38],[123,32],[118,28],[115,24],[112,22],[108,20],[103,20],[98,22]]]}	current	1400	null	Modern Mandarin (1400 CE - Present)	93	["Norman 1988","Ethnologue"]	Mandarin dialect group across northern and central China
lrp-mandarin-historical	mandarin	sino-tibetan	{"type":"Polygon","coordinates":[[[105,30],[108,35],[114,40],[118,38],[116,33],[112,30],[108,28],[105,30]]]}	historical	-200	600	Middle Chinese Core (200 BCE - 600 CE)	70	["Norman 1988","Pulleyblank 1984"]	Proto-Mandarin heartland in North China Plain
lrp-sanskrit	sanskrit	indo-european	{"type":"Polygon","coordinates":[[[68,20],[70,25],[75,30],[80,32],[85,30],[88,27],[85,22],[80,18],[75,18],[70,18],[68,20]]]}	historical	-1500	-200	Vedic/Classical Sanskrit (1500-200 BCE)	78	["Cardona 2003","Masica 1991"]	Sanskrit-speaking regions of ancient South Asia
lrp-old-english	old-english	indo-european	{"type":"Polygon","coordinates":[[[-6,50],[-5,53],[-3,55],[0,56],[2,55],[2,52],[1,50],[-2,50],[-6,50]]]}	historical	450	1100	Old English Period (450-1100 CE)	85	["Hogg & Denison 2006"]	Anglo-Saxon England
lrp-english-modern	english	indo-european	{"type":"MultiPolygon","coordinates":[[[[-8,50],[-6,54],[-3,58],[0,58],[2,55],[2,51],[0,50],[-4,50],[-8,50]]],[[[-130,25],[-125,48],[-70,48],[-65,25],[-80,24],[-100,25],[-130,25]]]]}	current	1600	null	Modern English (1600 CE - Present)	96	["Crystal 2003","Ethnologue"]	English in Britain and North America
lrp-quechua-inca	quechua	quechuan	{"type":"Polygon","coordinates":[[[-80,-2],[-78,0],[-76,-2],[-72,-8],[-70,-14],[-68,-18],[-70,-22],[-72,-20],[-76,-16],[-78,-10],[-80,-2]]]}	historical	1400	1533	Quechua under Inca Empire (1400-1533 CE)	82	["Cerrón-Palomino 2003"]	Quechua as lingua franca of Tawantinsuyu
lrp-quechua-modern	quechua	quechuan	{"type":"MultiPolygon","coordinates":[[[[-78,-1],[-76,-3],[-75,-6],[-77,-8],[-79,-5],[-78,-1]]],[[[-72,-12],[-70,-14],[-68,-18],[-70,-20],[-73,-17],[-74,-14],[-72,-12]]]]}	current	1533	null	Modern Quechua (1533 CE - Present)	88	["Ethnologue","Cerrón-Palomino 2003"]	Modern Quechua communities in Peru, Bolivia, Ecuador
lrp-nahuatl-aztec	nahuatl	uto-aztecan	{"type":"Polygon","coordinates":[[[-104,17],[-100,20],[-97,21],[-96,19],[-97,17],[-99,16],[-102,16],[-104,17]]]}	historical	1325	1521	Aztec Empire Nahuatl (1325-1521 CE)	84	["Karttunen 1983","Lockhart 2001"]	Classical Nahuatl in the Aztec Triple Alliance
lrp-swahili	swahili	niger-congo	{"type":"Polygon","coordinates":[[[29,-12],[32,-10],[35,-8],[40,-5],[42,-2],[41,0],[40,2],[38,1],[36,-2],[34,-5],[32,-7],[30,-10],[29,-12]]]}	current	800	null	Swahili Coast (800 CE - Present)	86	["Nurse & Hinnebusch 1993"]	Swahili-speaking East African coast and interior
lrp-bantu-expansion	proto-bantu	niger-congo	{"type":"Polygon","coordinates":[[[8,5],[10,7],[12,5],[15,0],[20,-5],[25,-10],[30,-15],[35,-20],[35,-25],[30,-30],[25,-28],[20,-22],[15,-15],[10,-8],[8,0],[8,5]]]}	historical	-1000	500	Bantu Expansion (1000 BCE - 500 CE)	72	["Phillipson 2005","Ehret 2015"]	Approximate extent of Bantu language spread
lrp-old-norse	old-norse	indo-european	{"type":"Polygon","coordinates":[[[4,55],[5,58],[8,62],[12,66],[18,70],[25,68],[30,65],[25,60],[18,55],[12,54],[8,54],[4,55]]]}	historical	700	1350	Old Norse Period (700-1350 CE)	83	["Gordon & Taylor 1957"]	Scandinavia and Norse settlements
lrp-japanese-modern	japanese	japonic	{"type":"Polygon","coordinates":[[[129,30],[130,33],[132,35],[135,36],[138,37],[140,39],[142,42],[145,44],[146,42],[144,38],[142,35],[140,33],[138,31],[135,30],[132,29],[129,30]]]}	current	-300	null	Japanese (300 BCE - Present)	94	["Shibatani 1990","Ethnologue"]	Japanese archipelago
