id	name	route_type	waypoints	start_date	end_date	peoples	associated_languages	description	consequences	confidence	sources	wikidata_qid	source_url	retrieved_at
alan-migration	Alan Migration	migration	{"type":"LineString","coordinates":[[45,44],[35,46],[20,47],[5,45],[-4,40]]}	370	409	["Alans"]	[]	Westward migration of the Iranian-speaking Alans, driven by the Huns, across Europe with the Vandals into Gaul and Iberia.	Alanic settlement in Iberia and Gaul; contribution to later Iberian populations	0.8	["Wikidata","Wikipedia"]	Q178054	http://www.wikidata.org/entity/Q178054	2026-07-08T00:00:00Z
amorite-migration	Amorite Migration	migration	{"type":"LineString","coordinates":[[37,34],[40,35],[44,33],[45,32]]}	-2100	-1900	["Amorites"]	[]	Movement of the Semitic-speaking Amorites from the Levant and Syria into Mesopotamia at the end of the third millennium BCE.	Amorite dynasties across Mesopotamia, including Old Babylon under Hammurabi	0.8	["Wikidata","Wikipedia"]	Q203507	http://www.wikidata.org/entity/Q203507	2026-07-08T00:00:00Z
anglo-saxon-settlement	Anglo-Saxon Settlement of Britain	invasion	{"type":"LineString","coordinates":[[8,54],[5,53],[1,52],[-1,51.5],[-2,52]]}	450	600	["Angles","Saxons","Jutes"]	["ang"]	Migration and settlement of Angles, Saxons, and Jutes from the North Sea coast into lowland Britain after Roman withdrawal.	Emergence of the Anglo-Saxon kingdoms and the English language	0.8	["Wikidata","Wikipedia"]	Q3435247	http://www.wikidata.org/entity/Q3435247	2026-07-08T00:00:00Z
aramean-migration	Aramean Migration	migration	{"type":"LineString","coordinates":[[42,34],[40,35],[38,35],[36,36]]}	-1200	-900	["Arameans"]	["arc"]	Spread of the Semitic-speaking Arameans out of the Syrian steppe into the Levant and Mesopotamia.	Aramaic became the lingua franca of the Near East	0.8	["Wikidata","Wikipedia"]	Q175064	http://www.wikidata.org/entity/Q175064	2026-07-08T00:00:00Z
avar-migration	Avar Migration	invasion	{"type":"LineString","coordinates":[[60,45],[45,46],[30,47],[19,47]]}	557	568	["Pannonian Avars"]	[]	Migration of the Pannonian Avars from the Eurasian steppe into the Carpathian Basin, where they established the Avar Khaganate.	Reshaped Central European politics; pressure on Byzantium and the Franks	0.8	["Wikidata","Wikipedia"]	Q68962	http://www.wikidata.org/entity/Q68962	2026-07-08T00:00:00Z
bell-beaker-spread	Bell Beaker Diffusion	migration	{"type":"LineString","coordinates":[[-6,40],[2,45],[7,49],[0,52],[-2,52]]}	-2800	-2300	["Beaker people"]	[]	Spread of the Bell Beaker cultural package across Western Europe, reaching Britain with substantial population replacement.	Near-complete genetic turnover in Britain; wide distribution of Beaker material culture	0.8	["Wikidata","Wikipedia"]	Q470867	http://www.wikidata.org/entity/Q470867	2026-07-08T00:00:00Z
bracero-migration	Bracero Program Migration	labor	{"type":"LineString","coordinates":[[-103,20],[-106,28],[-110,32],[-118,34]]}	1942	1964	["Mexicans"]	["spa"]	Managed labour migration of millions of Mexican farm workers (braceros) to the United States between 1942 and 1964.	Entrenched patterns of Mexican migration to US agriculture	0.8	["Wikidata","Wikipedia"]	Q979772	http://www.wikidata.org/entity/Q979772	2026-07-08T00:00:00Z
bulgar-migration	Bulgar Migration	migration	{"type":"LineString","coordinates":[[45,47],[37,46],[30,45],[25,43]]}	630	681	["Bulgars"]	[]	Dispersal of the Turkic Bulgars from Old Great Bulgaria on the Pontic steppe into the Balkans and the Volga region.	Foundation of the First Bulgarian Empire and Volga Bulgaria	0.8	["Wikidata","Wikipedia"]	Q110117	http://www.wikidata.org/entity/Q110117	2026-07-08T00:00:00Z
burgundian-migration	Burgundian Migration	invasion	{"type":"LineString","coordinates":[[15,54],[8,49],[6,47],[5,45]]}	406	457	["Burgundians"]	[]	Migration of the Burgundians from the Baltic and Central Europe into the Rhône valley, founding the Kingdom of the Burgundians.	Burgundian settlement giving its name to the Burgundy region	0.8	["Wikidata","Wikipedia"]	Q150412	http://www.wikidata.org/entity/Q150412	2026-07-08T00:00:00Z
california-gold-rush	California Gold Rush Migration	migration	{"type":"LineString","coordinates":[[-90,38],[-100,39],[-115,37],[-121,38.5]]}	1848	1855	["prospectors"]	["eng","cmn"]	Mass migration of prospectors from across the world to the goldfields of northern California.	Explosive growth of San Francisco; California statehood; devastation of Native Californians	0.8	["Wikidata","Wikipedia"]	Q17550	http://www.wikidata.org/entity/Q17550	2026-07-08T00:00:00Z
