id	title	author	tradition_id	language_id	date_composed	date_published	genre	form	description	significance	original_script	coordinates
lw-001	Mahabharata	Vyasa	lit-trad-001	sanskrit	-400	null	epic	verse	Ancient Indian epic of the Kurukshetra War and the fates of the Kaurava and Pandava princes	One of the longest epic poems ever composed; foundational text of Hindu philosophy	Devanagari	{"lat":28.61,"lng":77.21}
lw-002	Ramayana	Valmiki	lit-trad-001	sanskrit	-500	null	epic	verse	Epic poem narrating the life of Prince Rama and his quest to rescue his wife Sita	Foundational epic of Indian civilization; influenced literature across Southeast Asia	Devanagari	{"lat":26.45,"lng":80.33}
lw-003	Iliad	Homer	lit-trad-002	grc	-750	null	epic	verse	Epic poem set during the Trojan War, focusing on the wrath of Achilles	Foundation of Western literature; established conventions of the epic genre	Greek	{"lat":38.42,"lng":26.17}
lw-004	Odyssey	Homer	lit-trad-002	grc	-725	null	epic	verse	Epic poem following Odysseus's journey home after the Trojan War	Archetypal journey narrative; foundation of Western storytelling	Greek	{"lat":38.42,"lng":26.17}
lw-005	Oedipus Rex	Sophocles	lit-trad-002	grc	-429	null	tragedy	drama	Tragedy of King Oedipus who fulfills a prophecy that he would kill his father and marry his mother	Considered the perfect tragedy by Aristotle; foundational work of dramatic irony	Greek	{"lat":37.97,"lng":23.72}
lw-006	Aeneid	Virgil	lit-trad-003	lat	-29	null	epic	verse	Epic poem telling the story of Aeneas's journey from Troy to Italy	Rome's national epic; bridge between Greek and Latin literary traditions	Latin	{"lat":41.90,"lng":12.50}
lw-007	Metamorphoses	Ovid	lit-trad-003	lat	8	null	mythology	verse	Mythological narrative poem covering transformations from the creation of the world to Julius Caesar	Most influential source of classical mythology in Western literature	Latin	{"lat":41.90,"lng":12.50}
lw-008	Journey to the West	Wu Cheng'en	lit-trad-004	lzh	1592	1592	novel	prose	Novel following the monk Xuanzang's pilgrimage to obtain Buddhist sutras, accompanied by Sun Wukong	One of the Four Great Classical Novels of Chinese literature	Chinese	{"lat":32.06,"lng":118.80}
lw-009	Dream of the Red Chamber	Cao Xueqin	lit-trad-004	lzh	1760	1791	novel	prose	Novel depicting the rise and decline of a great aristocratic family during the Qing dynasty	Considered the greatest Chinese novel; pinnacle of Chinese fiction	Chinese	{"lat":39.90,"lng":116.40}
lw-010	The Mu'allaqat	Various	lit-trad-005	arb	550	null	poetry	verse	Collection of seven pre-Islamic Arabic poems considered the finest of their era	Foundational works of Arabic literary tradition; hung in the Kaaba	Arabic	{"lat":21.42,"lng":39.83}
lw-011	One Thousand and One Nights	Various	lit-trad-005	arb	800	null	frame narrative	prose	Collection of tales told by Scheherazade to delay her execution	One of the most influential works of world literature; introduced frame narrative	Arabic	{"lat":33.31,"lng":44.37}
lw-012	The Tale of Genji	Murasaki Shikibu	lit-trad-006	jpn	1010	null	novel	prose	Narrative of the life of Hikaru Genji, son of an ancient Japanese emperor	Often considered the world's first novel; masterwork of Japanese prose	Japanese	{"lat":35.01,"lng":135.77}
lw-013	The Pillow Book	Sei Shonagon	lit-trad-006	jpn	1002	null	miscellany	prose	Collection of observations, lists, and reflections by a court lady during the Heian period	Pioneered the zuihitsu (essay) genre; vivid portrait of Heian court life	Japanese	{"lat":35.01,"lng":135.77}
lw-014	Beowulf	Anonymous	lit-trad-007	ang	900	null	epic	verse	Epic poem about the hero Beowulf's battles against monsters Grendel and a dragon	Longest surviving Old English poem; cornerstone of English literary heritage	Anglo-Saxon	{"lat":51.75,"lng":-1.25}
lw-015	Shahnameh	Ferdowsi	lit-trad-008	fas	1010	null	epic	verse	Epic poem recounting the mythical and historical past of the Persian Empire	National epic of Iran; preserved Persian language and identity	Persian	{"lat":36.30,"lng":59.60}
lw-016	Masnavi	Rumi	lit-trad-008	fas	1258	null	mystical poetry	verse	Six-volume poem of spiritual teaching through stories and allegories	One of the most influential works of Sufi literature; widely read globally	Persian	{"lat":37.87,"lng":32.49}
lw-017	Divine Comedy	Dante Alighieri	lit-trad-009	ita	1320	null	allegory	verse	Epic poem describing the author's journey through Hell, Purgatory, and Paradise	Established Italian as a literary language; pinnacle of medieval literature	Italian	{"lat":43.77,"lng":11.25}
lw-018	Canterbury Tales	Geoffrey Chaucer	lit-trad-009	eng	1400	null	frame narrative	verse	Collection of stories told by pilgrims on their way to Canterbury Cathedral	Established English as a literary language; vivid portrait of medieval society	Middle English	{"lat":51.28,"lng":1.08}
lw-019	Tirukkural	Thiruvalluvar	lit-trad-010	tam	-100	null	ethics	verse	Collection of 1,330 couplets covering virtue, wealth, and love	Foundational Tamil text; translated into over 40 languages	Tamil	{"lat":13.08,"lng":80.27}
lw-020	War and Peace	Leo Tolstoy	lit-trad-011	rus	1869	1869	novel	prose	Epic novel interweaving the stories of five aristocratic families during the Napoleonic Wars	Often called the greatest novel ever written; redefined the scope of the novel	Cyrillic	{"lat":55.75,"lng":37.62}
lw-021	The Brothers Karamazov	Fyodor Dostoevsky	lit-trad-011	rus	1880	1880	novel	prose	Philosophical novel about the moral struggles of three brothers after their father's murder	Considered a pinnacle of world literature; profound exploration of faith and doubt	Cyrillic	{"lat":55.75,"lng":37.62}
lw-022	Epic of Sundiata	Griots	lit-trad-012	bam	1235	null	epic	oral	Epic of Sundiata Keita, founder of the Mali Empire, transmitted orally by griots	Foundational narrative of the Mandé peoples; exemplar of oral epic tradition	Oral	{"lat":12.65,"lng":-8.00}
