id	name	type	direction	parent_system_id	language_ids	origin_date	origin_region	character_count	sample_characters	unicode_block	is_active	wikidata_qid	source_url	retrieved_at	confidence	sources
ws_001	Latin	alphabet	LTR	ws_046	["eng","fra","deu","spa","ita","por","ron","cat","nld","swe","dan","nor","fin","hun","pol","ces","slk","hrv","lit","lav","ekk","mlt","tgl","ind","msa","jav","vie","tur"]	-700	Italy	26	A B C D E F G H I J K L M	Basic Latin	true					
ws_002	Cyrillic	alphabet	LTR	ws_003	["rus","ukr","bel","bul","srb","khk"]	900	Bulgaria	33	А Б В Г Д Е Ж З И К Л М	Cyrillic	true					
ws_003	Greek	alphabet	LTR	ws_044	["ell","grc"]	-800	Greece	24	Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ	Greek and Coptic	true					
ws_004	Arabic	abjad	RTL	ws_048	["arb"]	400	Arabian Peninsula	28	ا ب ت ث ج ح خ د ذ ر ز س	Arabic	true					
ws_005	Hebrew	abjad	RTL	ws_045	["heb"]	-200	Levant	22	א ב ג ד ה ו ז ח ט י כ ל	Hebrew	true					
ws_006	Devanagari	abugida	LTR	ws_042	["hin","san","pli"]	1200	India	47	अ आ इ ई उ ऊ ए ऐ ओ औ क ख	Devanagari	true	Q38592	https://www.wikidata.org/entity/Q38592	2026-07-13	0.9	Wikidata Q38592 (exact-label reconciliation, US-003)
ws_007	Chinese (Hanzi)	logographic	LTR	ws_052	["cmn"]	-1200	China	50000	人 大 中 国 学 生 一 二 三 四	CJK Unified Ideographs	true					
ws_008	Hiragana	syllabary	LTR	ws_007	["jpn"]	800	Japan	46	あ い う え お か き く け こ	Hiragana	true					
ws_009	Katakana	syllabary	LTR	ws_007	["jpn"]	900	Japan	48	ア イ ウ エ オ カ キ ク ケ コ	Katakana	true					
ws_010	Hangul	featural	LTR	null	["kor"]	1443	Korea	11172	가 나 다 라 마 바 사 아 자 차	Hangul Syllables	true	Q8222	https://www.wikidata.org/entity/Q8222	2026-07-13	0.9	Wikidata Q8222 (exact-label reconciliation, US-003)
ws_011	Thai	abugida	LTR	ws_049	["tha"]	1283	Thailand	44	ก ข ค ง จ ฉ ช ซ ฌ ญ ฎ ฏ	Thai	true					
ws_012	Ge'ez (Ethiopic)	abugida	LTR	ws_050	["amh","tir"]	500	Ethiopia	231	ሀ ሁ ሂ ሃ ሄ ህ ሆ ለ ሉ ሊ	Ethiopic	true					
ws_013	Armenian	alphabet	LTR	null	["hye"]	405	Armenia	38	Ա Բ Գ Դ Ե Զ Է Ը Թ Ժ Ի Լ	Armenian	true					
ws_014	Georgian (Mkhedruli)	alphabet	LTR	null	["kat"]	430	Georgia	33	ა ბ გ დ ე ვ ზ თ ი კ ლ მ	Georgian	true					
ws_015	Tibetan	abugida	LTR	ws_042	["bod"]	650	Tibet	30	ཀ ཁ ག ང ཅ ཆ ཇ ཉ ཏ ཐ ད ན	Tibetan	true					
ws_016	Myanmar (Burmese)	abugida	LTR	ws_042	["mya"]	1050	Myanmar	33	က ခ ဂ ဃ င စ ဆ ဇ ဈ ဉ ည	Myanmar	true					
ws_017	Tamil	abugida	LTR	ws_042	["tam"]	300	South India	247	அ ஆ இ ஈ உ ஊ எ ஏ ஐ ஒ ஓ ஔ	Tamil	true					
ws_018	Telugu	abugida	LTR	ws_042	["tel"]	1100	South India	96	అ ఆ ఇ ఈ ఉ ఊ ఎ ఏ ఐ ఒ ఓ ఔ	Telugu	true					
ws_019	Khmer	abugida	LTR	ws_042	["khm"]	611	Cambodia	74	ក ខ គ ឃ ង ច ឆ ជ ឈ ញ ដ ឋ	Khmer	true					
ws_020	Traditional Mongolian	alphabet	TTB	ws_051	["khk"]	1204	Mongolia	26	ᠠ ᠡ ᠢ ᠣ ᠤ ᠥ ᠦ ᠧ ᠨ ᠩ ᠪ ᠫ	Mongolian	true					
ws_021	Cherokee	syllabary	LTR	null	["chr"]	1821	Southeastern US	85	Ꭰ Ꭱ Ꭲ Ꭳ Ꭴ Ꭵ Ꭶ Ꭷ Ꭸ Ꭹ	Cherokee	true					
ws_022	Runic (Elder Futhark)	alphabet	LTR	ws_053	["non","ang","got"]	100	Scandinavia	24	ᚠ ᚢ ᚦ ᚨ ᚱ ᚲ ᚷ ᚹ ᚺ ᚾ ᛁ ᛃ	Runic	false					
ws_023	Ogham	alphabet	LTR	null	["gle"]	400	Ireland	20	ᚁ ᚂ ᚃ ᚄ ᚅ ᚆ ᚇ ᚈ ᚉ ᚊ	Ogham	false	Q184661	https://www.wikidata.org/entity/Q184661	2026-07-13	0.9	Wikidata Q184661 (exact-label reconciliation, US-003)
ws_024	Linear A	syllabary	LTR	null	[]	-1800	Crete	302		Aegean Numbers	false	Q30972	https://www.wikidata.org/entity/Q30972	2026-07-13	0.9	Wikidata Q30972 (exact-label reconciliation, US-003)
ws_025	Linear B	syllabary	LTR	ws_024	["grc"]	-1400	Crete	87		Aegean Numbers	false	Q190102	https://www.wikidata.org/entity/Q190102	2026-07-13	0.9	Wikidata Q190102 (exact-label reconciliation, US-003)
ws_026	Cuneiform (Sumero-Akkadian)	logographic	LTR	null	["sux","akk","hit"]	-3400	Mesopotamia	1000	𒀀 𒀁 𒀂 𒀃 𒀄 𒀅 𒀆 𒀇 𒀈 𒀉	Cuneiform	false					
ws_027	Egyptian Hieroglyphs	logographic	LTR	null	["egy"]	-3200	Egypt	1071	𓀀 𓁀 𓂀 𓃀 𓄀 𓅀 𓆀 𓇀 𓈀 𓉀	Egyptian Hieroglyphs	false					
