id	name	native_name	religion_type	origin_region	coordinates	time_origin	time_end	sacred_texts	associated_language_ids	deity_pantheon	ritual_practices	description	sources
hinduism	Hinduism	सनातन धर्म	polytheistic	South Asia	{"lat":25.32,"lng":82.99}	-1500	null	["Vedas","Upanishads","Bhagavad Gita","Ramayana","Mahabharata"]	["sanskrit","hindi","tamil","telugu","bengali"]	["Brahma","Vishnu","Shiva","Devi","Ganesha","Krishna"]	["puja","yajna","meditation","yoga","pilgrimage"]	World's oldest living religion, originating in the Indus Valley	["Historical records","Sacred texts"]
buddhism	Buddhism	बौद्ध धर्म	nontheistic	South Asia	{"lat":25.27,"lng":83.01}	-500	null	["Tripitaka","Dhammapada","Heart Sutra","Lotus Sutra"]	["pali","sanskrit","tibetan","chinese","japanese"]	[]	["meditation","chanting","pilgrimage","dana","monasticism"]	Founded by Siddhartha Gautama, emphasizing the Four Noble Truths	["Sacred texts","Historical records"]
judaism	Judaism	יהדות	monotheistic	Middle East	{"lat":31.77,"lng":35.23}	-1800	null	["Torah","Talmud","Tanakh","Mishnah"]	["hebrew","aramaic","yiddish","ladino"]	["YHWH"]	["prayer","Shabbat","kosher-laws","circumcision","bar-mitzvah"]	Oldest Abrahamic religion, covenant between God and Abraham	["Torah","Historical records"]
christianity	Christianity	Χριστιανισμός	monotheistic	Middle East	{"lat":31.78,"lng":35.24}	30	null	["Bible","New Testament","Gospels"]	["greek","latin","aramaic","coptic","ge'ez"]	["God","Jesus Christ","Holy Spirit"]	["prayer","Eucharist","baptism","confession","pilgrimage"]	World's largest religion, based on the teachings of Jesus	["New Testament","Historical records"]
islam	Islam	الإسلام	monotheistic	Middle East	{"lat":21.42,"lng":39.83}	622	null	["Quran","Hadith","Sunnah"]	["arabic","persian","turkish","urdu","malay"]	["Allah"]	["salat","zakat","sawm","hajj","shahada"]	Second-largest religion, founded by Prophet Muhammad	["Quran","Historical records"]
zoroastrianism	Zoroastrianism	مزدیسنا	dualistic	Middle East	{"lat":32.65,"lng":51.68}	-1500	null	["Avesta","Gathas"]	["avestan","persian"]	["Ahura Mazda","Angra Mainyu"]	["fire-worship","navjote","prayers","tower-of-silence"]	Ancient Persian religion founded by Zoroaster	["Avesta","Historical records"]
jainism	Jainism	जैन धर्म	nontheistic	South Asia	{"lat":25.44,"lng":81.85}	-600	null	["Agamas","Tattvartha Sutra"]	["prakrit","sanskrit","hindi","gujarati"]	["Tirthankaras"]	["ahimsa","meditation","fasting","pilgrimage","monasticism"]	Ancient Indian religion emphasizing non-violence and asceticism	["Sacred texts","Historical records"]
sikhism	Sikhism	ਸਿੱਖੀ	monotheistic	South Asia	{"lat":31.62,"lng":74.88}	1500	null	["Guru Granth Sahib"]	["punjabi","gurmukhi"]	["Waheguru"]	["prayer","langar","kirtan","amrit-sanskar"]	Founded by Guru Nanak in Punjab, emphasizing equality and service	["Guru Granth Sahib","Historical records"]
shinto	Shinto	神道	animistic	East Asia	{"lat":34.77,"lng":135.77}	-300	null	["Kojiki","Nihon Shoki"]	["japanese"]	["Amaterasu","Susanoo","Inari","kami"]	["shrine-worship","purification","matsuri","kagura"]	Indigenous Japanese religion centered on kami (spirits)	["Kojiki","Historical records"]
taoism	Taoism	道教	philosophical	East Asia	{"lat":36.06,"lng":103.83}	-400	null	["Tao Te Ching","Zhuangzi","I Ching"]	["chinese","mandarin"]	["Jade Emperor","Three Pure Ones","Eight Immortals"]	["meditation","tai-chi","feng-shui","divination","alchemy"]	Chinese philosophical and religious tradition founded by Laozi	["Tao Te Ching","Historical records"]
confucianism	Confucianism	儒教	philosophical	East Asia	{"lat":35.60,"lng":116.99}	-500	null	["Analects","Five Classics","Four Books"]	["chinese","mandarin"]	[]	["ancestor-worship","ritual-propriety","filial-piety","education"]	Chinese ethical system founded by Confucius	["Analects","Historical records"]
ancient-egyptian	Ancient Egyptian Religion	𓂋𓏤𓊪𓏏	polytheistic	North Africa	{"lat":25.74,"lng":32.60}	-3100	395	["Book of the Dead","Pyramid Texts","Coffin Texts"]	["egyptian","coptic"]	["Ra","Osiris","Isis","Horus","Anubis","Thoth"]	["mummification","temple-worship","offerings","festivals"]	Polytheistic religion of ancient Egypt spanning 3000+ years	["Archaeological evidence","Texts"]
ancient-greek-religion	Ancient Greek Religion	Ἑλληνικὴ θρησκεία	polytheistic	Southern Europe	{"lat":37.97,"lng":23.73}	-800	400	["Iliad","Odyssey","Theogony","Orphic Hymns"]	["ancient-greek"]	["Zeus","Athena","Apollo","Poseidon","Aphrodite","Hermes"]	["sacrifice","oracle","mystery-cults","athletic-games","theater"]	Pantheon-based religion of ancient Greek city-states	["Homer","Hesiod","Archaeological evidence"]
