id	settlement_id	culture_profile_id	layout_type	key_features	street_pattern	water_management	fortification_type	estimated_area_hectares	description	reconstruction_notes	sources
cl-001	settle-ur	cp-sumerian	canal-based	temple_precinct|palace|market|granary|harbor|residential_quarter|walls|gates	irregular with main processional way	canals|wells	mudbrick walls with towers	60	Ur featured a massive ziggurat complex at its center, with dense residential neighborhoods connected by narrow winding streets. The harbor district provided access to trade via the Euphrates.	Extensively excavated by Woolley in the 1920s-30s. Ziggurat partially reconstructed.	Woolley 1934; Crawford 2015
cl-002	settle-mohenjodaro	cp-indus	grid	bathhouse|granary|walls|residential_quarter|industrial_quarter|sewers	orthogonal grid with main east-west and north-south avenues	wells|sewers	fired brick perimeter wall	250	Mohenjo-daro exemplifies Indus Valley urban planning with its strict grid layout, advanced drainage system, and the Great Bath. The citadel mound and lower city show clear functional zoning.	UNESCO World Heritage site. Great Bath and granary well-preserved.	Kenoyer 1998; Possehl 2002
cl-003	settle-teotihuacan	cp-teotihuacan	grid	temple_precinct|palace|market|residential_quarter|necropolis	strict grid aligned 15.5 degrees east of north	canals|cisterns	no formal fortifications	20000	Teotihuacan's Avenue of the Dead served as the central axis, flanked by the Pyramids of the Sun and Moon. Apartment compounds housed multi-family units in a planned residential system.	Avenue of the Dead and major pyramids excavated. Many apartment compounds mapped.	Millon 1973; Cowgill 2015
cl-004	settle-athens	cp-greek-classical	organic	agora|temple_precinct|amphitheater|walls|gates|residential_quarter|market	organic with agora as focal point	aqueducts|fountains|cisterns	Long Walls connecting to Piraeus	215	Classical Athens grew organically around the Acropolis and Agora. The Long Walls to Piraeus ensured maritime access. Residential areas featured courtyard houses along narrow streets.	Extensive archaeological record. Agora excavated by American School.	Camp 2001; Travlos 1971
cl-005	settle-rome	cp-roman	radial	forum|temple_precinct|amphitheater|bathhouse|aqueduct|sewers|walls|gates|market|residential_quarter|industrial_quarter	radiating from Forum with grid in newer districts	aqueducts|sewers|fountains	Servian and later Aurelian walls	1783	Rome evolved from a hilltop settlement to a vast metropolis. The Forum served as political and commercial center. Elaborate infrastructure included 11 aqueducts, the Cloaca Maxima sewer, and extensive road network.	Continuous habitation complicates archaeology. Forum and Colosseum extensively studied.	Stambaugh 1988; Claridge 2010
cl-006	settle-changan	cp-tang-chinese	grid	palace|temple_precinct|market|walls|gates|residential_quarter|garden	rigid grid with 108 walled wards	canals|wells	massive rammed-earth walls	84000	Chang'an under the Tang dynasty was the world's largest city, with a strict grid of walled wards, two major markets, and the imperial palace complex at the north. The city plan reflected cosmological principles.	Modern Xi'an overlies most of the Tang city. Some walls and gates excavated.	Xiong 2000; Steinhardt 1990
cl-007	settle-angkor	cp-khmer	canal-based	temple_precinct|palace|residential_quarter|walls|harbor|garden	grid-like with canals as organizing axes	canals|cisterns	moat and laterite walls around Angkor Thom	1000	Angkor's urban landscape centered on temple-mountains like Angkor Wat and the Bayon. An elaborate hydraulic system of barays (reservoirs) and canals supported rice agriculture and urban life.	LIDAR surveys revealed vast low-density urban sprawl. Temple restorations ongoing.	Fletcher 2009; Coe 2003
cl-008	settle-tenochtitlan	cp-aztec	canal-based	temple_precinct|palace|market|residential_quarter|garden|walls|aqueduct	grid with canals as streets and causeways	canals|aqueducts	lake location served as natural defense	1350	Tenochtitlan was built on an island in Lake Texcoco, connected by causeways. Chinampas (floating gardens) extended the city. The Templo Mayor dominated the sacred precinct at the center.	Templo Mayor excavated in 1978. Colonial accounts by Cortes and Diaz provide details.	Smith 2012; Matos Moctezuma 2003
cl-009	settle-great-zimbabwe	cp-shona	citadel	walls|palace|residential_quarter	organic with stone-walled enclosures	none	massive dry-stone walls up to 11m high	722	Great Zimbabwe featured the Great Enclosure with its iconic conical tower, the Hill Complex (royal residence), and the Valley Ruins. Dry-stone construction without mortar demonstrates sophisticated masonry.	Extensively studied since 1890s. Great Enclosure and Hill Complex well-documented.	Pikirayi 2001; Huffman 2007
cl-010	settle-timbuktu	cp-songhai	organic	temple_precinct|market|residential_quarter|walls	organic with mosque and market as anchors	wells	mud-brick walls	undetermined	Timbuktu served as a major center of Islamic scholarship and trans-Saharan trade. The Djinguereber, Sankore, and Sidi Yahia mosques anchored distinct quarters. The city's wealth derived from gold and salt trade.	Three great mosques still standing. Many manuscripts preserved in private libraries.	Hunwick 1999; Insoll 2003
cl-011	settle-cusco	cp-inca	radial	temple_precinct|palace|walls|residential_quarter|garden|market	radial from central plaza with roads to four suyus	canals|fountains	megalithic walls at Sacsayhuaman	40	Cusco was planned in the shape of a puma, with Sacsayhuaman as the head. The Coricancha (Temple of the Sun) was the religious center. Four main roads led to the four quarters of Tawantinsuyu.	Spanish colonial city built over Inca foundations. Coricancha partially preserved beneath Santo Domingo.	Gasparini and Margolies 1980; Bauer 2004
