id	language_id	title	text	transliteration	translation_en	source	date_composed	genre	script
st001	eng	Opening of Paradise Lost	Of Man's first disobedience, and the fruit / Of that forbidden tree whose mortal taste / Brought death into the World, and all our woe, / With loss of Eden, till one greater Man / Restore us, and regain the blissful seat.	 	Of Man's first disobedience, and the fruit of that forbidden tree whose mortal taste brought death into the World, and all our woe, with loss of Eden, till one greater Man restore us, and regain the blissful seat.	John Milton, Paradise Lost	1667	poetry	Latin
st002	eng	Opening of A Tale of Two Cities	It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity.	 	It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity.	Charles Dickens, A Tale of Two Cities	1859	prose	Latin
st003	eng	English Proverb Collection	A stitch in time saves nine. The early bird catches the worm. Actions speak louder than words. All that glitters is not gold. Better late than never.	 	A stitch in time saves nine. The early bird catches the worm. Actions speak louder than words. All that glitters is not gold. Better late than never.	Traditional English Proverbs		conversational	Latin
st004	spa	Opening of Don Quixote	En un lugar de la Mancha, de cuyo nombre no quiero acordarme, no ha mucho tiempo que vivía un hidalgo de los de lanza en astillero, adarga antigua, rocín flaco y galgo corredor.	 	In a village of La Mancha, the name of which I have no desire to call to mind, there lived not long since one of those gentlemen that keep a lance in the lance-rack, an old buckler, a lean hack, and a greyhound for coursing.	Miguel de Cervantes, Don Quixote	1605	prose	Latin
st005	spa	Neruda - Poema 20	Puedo escribir los versos más tristes esta noche. Escribir, por ejemplo: La noche está estrellada, y tiritan, azules, los astros, a lo lejos.	 	I can write the saddest verses tonight. Write, for example: The night is starry, and the blue stars shiver in the distance.	Pablo Neruda, Veinte poemas de amor	1924	poetry	Latin
st006	spa	Spanish Proverbs	No hay mal que por bien no venga. Más vale tarde que nunca. Dime con quién andas y te diré quién eres. El que mucho abarca poco aprieta.	 	Every cloud has a silver lining. Better late than never. Tell me who you walk with and I'll tell you who you are. He who grasps much holds little.	Traditional Spanish Proverbs		conversational	Latin
st007	fra	Opening of The Stranger	Aujourd'hui, maman est morte. Ou peut-être hier, je ne sais pas. J'ai reçu un télégramme de l'asile: «Mère décédée. Enterrement demain. Sentiments distingués.» Cela ne veut rien dire.	 	Today, mother died. Or maybe yesterday, I don't know. I received a telegram from the home: "Mother deceased. Funeral tomorrow. Faithfully yours." That doesn't mean anything.	Albert Camus, L'Étranger	1942	prose	Latin
st008	fra	Baudelaire - L'Albatros	Souvent, pour s'amuser, les hommes d'équipage / Prennent des albatros, vastes oiseaux des mers, / Qui suivent, indolents compagnons de voyage, / Le navire glissant sur les gouffres amers.	 	Often, to amuse themselves, the men of a crew catch albatrosses, vast sea birds, that follow, indolent companions of the voyage, the ship gliding over the bitter depths.	Charles Baudelaire, Les Fleurs du mal	1857	poetry	Latin
st009	fra	French Proverbs	L'habit ne fait pas le moine. Petit à petit, l'oiseau fait son nid. Qui vivra verra. Il ne faut pas vendre la peau de l'ours avant de l'avoir tué.	 	The habit does not make the monk. Little by little, the bird builds its nest. Who lives will see. Don't sell the bear's skin before you've killed it.	Traditional French Proverbs		conversational	Latin
st010	deu	Opening of The Metamorphosis	Als Gregor Samsa eines Morgens aus unruhigen Träumen erwachte, fand er sich in seinem Bett zu einem ungeheueren Ungeziefer verwandelt.	 	When Gregor Samsa awoke one morning from troubled dreams, he found himself transformed in his bed into a monstrous vermin.	Franz Kafka, Die Verwandlung	1915	prose	Latin
