rule_id	layer	head	clause_prolog	clause_souffle	depends	source	source_url	retrieved_at	confidence	version	status
curated-ancestor	curated	ancestor	ancestor(X, Y) :- descends_from(X, Y). ancestor(X, Y) :- descends_from(X, Z), ancestor(Z, Y).	ancestor(X, Y) :- descends_from(X, Y). ancestor(X, Y) :- descends_from(X, Z), ancestor(Z, Y).	descends_from	curated	docs/datalog.md		1.0	1.0.0	active
curated-component_of	curated	component_of	component_of(X, Y) :- part_of(X, Y). component_of(X, Y) :- part_of(X, Z), component_of(Z, Y).	component_of(X, Y) :- part_of(X, Y). component_of(X, Y) :- part_of(X, Z), component_of(Z, Y).	part_of	curated	docs/datalog.md		1.0	1.0.0	active
curated-contemporary	curated	contemporary	contemporary(X, Y) :- time_start(X, Sx), time_end(X, Ex), time_start(Y, Sy), time_end(Y, Ey), Ex >= Sy, Ey >= Sx. contemporary(X, Y) :- contemporary_with(X, Y). contemporary(X, Y) :- contemporary_with(Y, X).	contemporary(X, Y) :- time_start(X, Sx), time_end(X, Ex), time_start(Y, Sy), time_end(Y, Ey), Ex >= Sy, Ey >= Sx. contemporary(X, Y) :- contemporary_with(X, Y). contemporary(X, Y) :- contemporary_with(Y, X).	time_start;time_end;contemporary_with	curated	docs/datalog.md		1.0	1.0.0	active
curated-follows	curated	follows	follows(X, Y) :- precedes(Y, X).	follows(X, Y) :- precedes(Y, X).	precedes	curated	docs/datalog.md		1.0	1.0.0	active
curated-genetic_linguistic_correlation	curated	genetic_linguistic_correlation	genetic_linguistic_correlation(X, Y) :- originates_from(X, R), spoken_in(Y, R).	genetic_linguistic_correlation(X, Y) :- originates_from(X, R), spoken_in(Y, R).	originates_from;spoken_in	curated	docs/datalog.md		1.0	1.0.0	active
curated-influenced_transitively	curated	influenced_transitively	influenced_transitively(X, Y) :- derived_from(X, Y). influenced_transitively(X, Y) :- influenced_by(X, Y). influenced_transitively(X, Y) :- derived_from(X, Z), influenced_transitively(Z, Y). influenced_transitively(X, Y) :- influenced_by(X, Z), influenced_transitively(Z, Y).	influenced_transitively(X, Y) :- derived_from(X, Y). influenced_transitively(X, Y) :- influenced_by(X, Y). influenced_transitively(X, Y) :- derived_from(X, Z), influenced_transitively(Z, Y). influenced_transitively(X, Y) :- influenced_by(X, Z), influenced_transitively(Z, Y).	derived_from;influenced_by	curated	docs/datalog.md		1.0	1.0.0	active
curated-instance_of	curated	instance_of	instance_of(X, C) :- instance_of(X, D), subclass_of(D, C).	instance_of(X, C) :- instance_of(X, D), subclass_of(D, C).	instance_of;subclass_of	curated	docs/datalog.md		1.0	1.0.0	active
curated-precedes	curated	precedes	precedes(X, Y) :- time_end(X, Ex), time_start(Y, Sy), Ex < Sy.	precedes(X, Y) :- time_end(X, Ex), time_start(Y, Sy), Ex < Sy.	time_end;time_start	curated	docs/datalog.md		1.0	1.0.0	active
curated-same_region	curated	same_region	same_region(X, Y) :- within_region(X, R), within_region(Y, R).	same_region(X, Y) :- within_region(X, R), within_region(Y, R).	within_region	curated	docs/datalog.md		1.0	1.0.0	active
curated-within_region	curated	within_region	within_region(X, Y) :- located_in(X, Y). within_region(X, Y) :- located_in(X, Z), within_region(Z, Y).	within_region(X, Y) :- located_in(X, Y). within_region(X, Y) :- located_in(X, Z), within_region(Z, Y).	located_in	curated	docs/datalog.md		1.0	1.0.0	active
