id	language_family_id	hypothesis_name	proposed_region	proposed_coordinates	proposed_boundary	time_range_start	time_range_end	supporting_evidence	competing_hypotheses	scholarly_consensus_level	key_proponents	sources
ie-steppe	indo-european	Pontic-Caspian Steppe Hypothesis	Pontic-Caspian Steppe	{"lat":47.0,"lng":42.0}	{"type":"Polygon","coordinates":[[[35,45],[50,45],[50,50],[35,50],[35,45]]]}	-4500	-2500	{"linguistic":["Reconstructed PIE vocabulary for wheeled vehicles","Shared pastoral terminology","Kentum-satem isogloss"],"archaeological":["Yamnaya culture expansion","Kurgan burials","Corded Ware culture"],"genetic":["R1a and R1b Y-haplogroup dispersal","Yamnaya ancestry in modern Europeans","Ancient DNA from steppe burials"]}	["ie-anatolian","ie-armenian-highland","ie-balkans"]	0.85	["Marija Gimbutas","David Anthony","J.P. Mallory"]	["Anthony 2007 The Horse the Wheel and Language","Gimbutas 1970 Proto-Indo-European Culture","Mallory 1989 In Search of the Indo-Europeans"]
ie-anatolian	indo-european	Anatolian Hypothesis	Anatolia	{"lat":39.0,"lng":33.0}	{"type":"Polygon","coordinates":[[[28,36],[40,36],[40,42],[28,42],[28,36]]]}	-7000	-5000	{"linguistic":["Anatolian branch as earliest divergence","Agricultural vocabulary in PIE","Glottochronological dating"],"archaeological":["Neolithic farming expansion from Anatolia","Catalhoyuk cultural complex","Linear Pottery culture spread"],"genetic":["Early farmer DNA spreading to Europe","G2a haplogroup in early farmers","Admixture models support farming dispersal"]}	["ie-steppe","ie-armenian-highland","ie-balkans"]	0.35	["Colin Renfrew","Russell Gray","Quentin Atkinson"]	["Renfrew 1987 Archaeology and Language","Bouckaert et al 2012 Mapping the Origins","Gray and Atkinson 2003 Language-tree divergence"]
ie-armenian-highland	indo-european	Armenian Highland Hypothesis	Armenian Highland	{"lat":39.5,"lng":43.5}	{"type":"Polygon","coordinates":[[[40,37],[47,37],[47,42],[40,42],[40,37]]]}	-5000	-3000	{"linguistic":["Glottalic theory consonant system","Armenian conservatism in PIE phonology","Semitic and Kartvelian loanwords in PIE"],"archaeological":["Kura-Araxes culture connections","Shulaveri-Shomu culture","Early metallurgy in the region"],"genetic":["Ancient DNA from Caucasus populations","Genetic continuity in Armenian populations","CHG ancestry component"]}	["ie-steppe","ie-anatolian"]	0.15	["Tamaz Gamkrelidze","Vyacheslav Ivanov"]	["Gamkrelidze and Ivanov 1995 Indo-European and the Indo-Europeans","Bomhard 2019 A Comprehensive Introduction"]
ie-balkans	indo-european	Balkans Hypothesis	Balkans	{"lat":42.5,"lng":23.0}	{"type":"Polygon","coordinates":[[[19,39],[28,39],[28,46],[19,46],[19,39]]]}	-5500	-4000	{"linguistic":["Substrate influences in Balkan IE languages","Early IE dialect differentiation patterns"],"archaeological":["Vinca culture sophistication","Karanovo culture","Early copper metallurgy"],"genetic":["Diverse Y-haplogroup lineages in Balkans","Ancient DNA showing population continuity"]}	["ie-steppe","ie-anatolian"]	0.1	["Lothar Kilian","I.M. Diakonoff"]	["Kilian 1983 Zum Ursprung der Indogermanen","Diakonoff 1985 On the Original Home"]
aa-levant	afro-asiatic	Levantine Hypothesis	Levant	{"lat":33.0,"lng":36.0}	{"type":"Polygon","coordinates":[[[34,30],[38,30],[38,36],[34,36],[34,30]]]}	-10000	-7000	{"linguistic":["Semitic homeland in Levant","Shared agricultural vocabulary","Lexicostatistical dating"],"archaeological":["Natufian culture as proto-Afroasiatic","Early agriculture in Fertile Crescent","Pre-Pottery Neolithic connections"],"genetic":["Basal Eurasian ancestry","E1b1b haplogroup distributions","Ancient Levantine DNA"]}	["aa-africa","aa-sahara"]	0.4	["Alexander Militarev","Orin Gensler"]	["Militarev 2002 The Prehistory of a Dispersal","Diakonoff 1998 Afro-Asiatic Languages"]
aa-africa	afro-asiatic	African Hypothesis	Northeast Africa	{"lat":12.0,"lng":38.0}	{"type":"Polygon","coordinates":[[[32,8],[45,8],[45,16],[32,16],[32,8]]]}	-12000	-8000	{"linguistic":["Greatest diversity of branches in Africa","Omotic and Cushitic deep branching","Linguistic paleontology of African flora/fauna"],"archaeological":["Halfan and Mushabian cultures","African origin of domesticates","Nile Valley cultural sequence"],"genetic":["E1b1b haplogroup origin in Africa","Deep genetic diversity in Horn of Africa","Ancient DNA from East African pastoralists"]}	["aa-levant","aa-sahara"]	0.45	["Christopher Ehret","Igor Diakonoff","Roger Blench"]	["Ehret 1995 Reconstructing Proto-Afroasiatic","Blench 2006 Archaeology Language and the African Past"]
aa-sahara	afro-asiatic	Saharan Hypothesis	Green Sahara	{"lat":22.0,"lng":15.0}	{"type":"Polygon","coordinates":[[[5,18],[25,18],[25,26],[5,26],[5,18]]]}	-9000	-6000	{"linguistic":["Berber-Chadic connections across Sahara","Pastoral vocabulary reconstructions","Green Sahara linguistic corridor"],"archaeological":["Green Sahara habitation sites","Rock art depicting pastoralism","Nabta Playa ceremonial complex"],"genetic":["Trans-Saharan genetic connections","R1b-V88 haplogroup distribution","Ancient DNA from Saharan burials"]}	["aa-levant","aa-africa"]	0.15	["Roger Blench"]	["Blench 2006 Archaeology Language and the African Past","Drake et al 2011 Ancient watercourses and biogeography"]
an-taiwan	austronesian	Taiwan Hypothesis	Taiwan	{"lat":23.5,"lng":121.0}	{"type":"Polygon","coordinates":[[[119,21],[123,21],[123,26],[119,26],[119,21]]]}	-4000	-3000	{"linguistic":["Greatest Austronesian diversity in Taiwan","Formosan branches as deepest splits","Regular sound correspondences from Taiwan"],"archaeological":["Dapenkeng culture as proto-Austronesian","Jade trade networks from Taiwan","Outrigger canoe technology"],"genetic":["O1a haplogroup dispersal from Taiwan","Ancient DNA from Pacific islanders","Genetic cline from Taiwan to Polynesia"]}	["an-sundaland"]	0.9	["Robert Blust","Peter Bellwood","Jared Diamond"]	["Blust 1999 Subgrouping Circularity and Extinction","Bellwood 2005 First Farmers","Diamond 2000 Taiwan's Gift to the World"]
an-sundaland	austronesian	Sundaland Hypothesis	Sundaland	{"lat":2.0,"lng":110.0}	{"type":"Polygon","coordinates":[[[100,-5],[120,-5],[120,8],[100,8],[100,-5]]]}	-8000	-5000	{"linguistic":["Malay-Polynesian diversity in island Southeast Asia","Alternative subgrouping proposals"],"archaeological":["Hoabinhian culture connections","Sea level rise and population displacement","Maritime adaptation evidence"],"genetic":["Genetic diversity in island Southeast Asia","Denisovan admixture patterns","Mitochondrial DNA diversity"]}	["an-taiwan"]	0.05	["Wilhelm Solheim","Stephen Oppenheimer"]	["Solheim 2006 Archaeology and Culture in Southeast Asia","Oppenheimer 2004 Out of Eden"]
bantu-cameroon	niger-congo	Cameroon-Nigeria Border Hypothesis	Cameroon-Nigeria Border	{"lat":6.5,"lng":9.0}	{"type":"Polygon","coordinates":[[[7,4],[12,4],[12,9],[7,9],[7,4]]]}	-3000	-1000	{"linguistic":["Bantu branch nested within Bantoid","Greatest Bantu diversity near Grassfields","Regular sound correspondences tracing to proto-Bantu"],"archaeological":["Iron-working sites in Cameroon","Nok culture connections","Forest clearance evidence"],"genetic":["E1b1a haplogroup dispersal","Bantu expansion genetic signature","Ancient DNA from Iron Age southern Africa"]}	[]	0.9	["Malcolm Guthrie","Jan Vansina","Christopher Ehret"]	["Guthrie 1967 Comparative Bantu","Vansina 1995 New Linguistic Evidence","Ehret 2001 Bantu Expansions"]
