id	name	alternate_names	civilization_id	archaeological_culture_id	time_period_start	time_period_end	region	summary_description	social_organization	subsistence_type	urbanism_level	population_estimate	technology_level	associated_language_ids	associated_religion_ids	associated_writing_system_ids	associated_art_tradition_ids	associated_music_tradition_ids	associated_cuisine_id	associated_architectural_style_ids	associated_literary_tradition_ids	notable_settlements	image_gallery_tags	sources
cp-sumerian	Sumerian Culture	["Kengir"]	sumerian		-4500	-2000	Mesopotamia	The earliest urban civilization in southern Mesopotamia, known for inventing cuneiform writing, developing irrigation agriculture, and building monumental ziggurats. Sumerians created the first known legal codes and literary works.	state	agricultural	city-state	500000	bronze	["sumerian"]	[]	["ws_026"]	[]	[]		["arch-001"]	[]	["ur","uruk","eridu","lagash","nippur"]	["sumerian","mesopotamia","ziggurat","cuneiform"]	["Kramer 1963","Crawford 2004"]
cp-akkadian	Akkadian Culture	["Agade"]	akkadian-empire		-2334	-2154	Mesopotamia	The first empire in Mesopotamia under Sargon the Great, unifying Sumerian city-states and spreading Akkadian language and culture across the region. Known for naturalistic bronze sculpture and imperial administration.	empire	agricultural	city-state	1000000	bronze	["akkadian"]	[]	["ws_026"]	[]	[]		["arch-001"]	[]	["akkad","sippar"]	["akkadian","sargon","mesopotamia"]	["Foster 2016","Westenholz 1999"]
cp-babylonian	Babylonian Culture	["Babili"]	babylonian-empire		-1894	-539	Mesopotamia	A major Mesopotamian civilization centered on Babylon, known for Hammurabi's law code, advanced astronomy and mathematics, and the Hanging Gardens. Babylonian culture synthesized Sumerian and Akkadian traditions.	empire	agricultural	metropolis	1500000	bronze	["akkadian"]	[]	["ws_026"]	[]	[]		["arch-001"]	[]	["babylon"]	["babylonian","hammurabi","hanging-gardens"]	["Van De Mieroop 2005","Saggs 2000"]
cp-assyrian	Assyrian Culture	["Ashur"]	assyrian-empire		-2500	-609	Mesopotamia	A militaristic Mesopotamian empire known for its powerful army, monumental palace reliefs, and vast library at Nineveh. Assyrians developed advanced siege warfare and imperial road systems.	empire	agricultural	metropolis	4000000	iron	["akkadian"]	[]	["ws_026"]	[]	[]		["arch-001"]	[]	["nineveh","assur","nimrud"]	["assyrian","lamassu","relief"]	["Radner 2015","Frahm 2017"]
cp-ancient-egypt	Ancient Egyptian Culture	["Kemet"]	ancient-egypt		-3100	-30	North Africa	One of the longest-lasting civilizations, famous for pyramids, hieroglyphic writing, elaborate burial practices, and monumental temple complexes along the Nile. Egyptian culture profoundly influenced the ancient Mediterranean world.	state	agricultural	metropolis	5000000	bronze	["egyptian-ancient"]	["ancient-egyptian"]	["ws_027"]	["art-001"]	[]		["arch-001"]	[]	["memphis","thebes-egypt","alexandria"]	["egypt","pyramid","pharaoh","hieroglyph"]	["Shaw 2003","Kemp 2018"]
cp-phoenician	Phoenician Culture	["Canaan","Kena'ani"]	phoenicia		-1500	-300	Eastern Mediterranean	Maritime traders who developed the alphabet that became the ancestor of most modern scripts. Phoenicians established a vast trading network and founded colonies across the Mediterranean including Carthage.	state	maritime	city-state	500000	iron	["phoenician"]	[]	["ws_028"]	[]	[]		[]	[]	["tyre","sidon","byblos"]	["phoenician","alphabet","maritime","purple-dye"]	["Aubet 2001","Markoe 2000"]
cp-carthaginian	Carthaginian Culture	["Punic"]	carthage		-814	-146	North Africa	A powerful maritime and mercantile civilization founded by Phoenician colonists, Carthage dominated western Mediterranean trade. Known for naval innovation, the Tophet sanctuary, and the Punic Wars against Rome.	state	maritime	metropolis	700000	iron	["phoenician"]	[]	["ws_028"]	[]	[]		[]	[]	["carthage-city"]	["carthage","punic","hannibal","maritime"]	["Miles 2010","Hoyos 2010"]
cp-ancient-greek	Ancient Greek Culture	["Hellas","Hellenic"]	ancient-greece		-800	-146	Mediterranean	The cradle of Western philosophy, democracy, theater, and the Olympic Games. Greek culture produced foundational works in literature, mathematics, science, and art that continue to shape civilization.	state	mixed	city-state	3000000	iron	["greek-ancient"]	["ancient-greek-religion"]	["ws_003"]	["art-002"]	[]	greek	["arch-002"]	["lit-trad-002"]	["athens","sparta","corinth"]	["greek","parthenon","philosophy","olympics"]	["Osborne 2009","Cartledge 2011"]
cp-roman	Roman Culture	["Roma","Latin"]	roman-empire		-753	476	Mediterranean	An empire that unified much of the known world under Roman law, engineering, and administration. Romans built an extensive road network, aqueducts, and monumental architecture that defined urban civilization for centuries.	empire	agricultural	metropolis	60000000	iron	["latin"]	["ancient-greek-religion"]	["ws_001"]	["art-003"]	[]	italian	["arch-003"]	["lit-trad-003"]	["rome","pompeii","constantinople"]	["roman","colosseum","aqueduct","forum"]	["Beard 2015","Woolf 2012"]
cp-byzantine	Byzantine Culture	["Eastern Roman","Romaioi"]	byzantine-empire		330	1453	Eastern Mediterranean	The continuation of the Roman Empire in the east, centered on Constantinople. Byzantine culture blended Roman governance, Greek learning, and Orthodox Christianity, producing iconic art including mosaics and icons.	empire	agricultural	metropolis	12000000	iron	["greek-medieval"]	["christianity"]	["ws_003"]	["art-004"]	[]	greek	["arch-004"]	[]	["constantinople","thessaloniki","ravenna"]	["byzantine","mosaic","icon","hagia-sophia"]	["Herrin 2008","Cameron 2006"]
