id	name	category	origin_region	origin_coordinates	trade_routes	time_period	economic_significance	associated_languages
tg-001	Silk	textile	China	{"lat":34.26,"lng":108.94}	["silk-road","malay-archipelago-trade"]	-3000 to 1500	Luxury textile that drove transcontinental trade; basis of the Silk Road economy	["cmn","fas","arb","grc","lat"]
tg-002	Black Pepper	spice	India (Malabar Coast)	{"lat":10.85,"lng":76.27}	["spice-trade","arab-indian-ocean","malay-archipelago-trade"]	-2000 to present	Called "black gold"; most traded spice in history; drove European Age of Exploration	["mal","tam","arb","por","nld"]
tg-003	Cinnamon	spice	Sri Lanka	{"lat":7.87,"lng":80.77}	["spice-trade","arab-indian-ocean","portuguese-maritime"]	-2000 to present	One of the earliest traded spices; highly valued in ancient Egypt and Rome	["sin","tam","arb","por","nld"]
tg-004	Clove	spice	Maluku Islands	{"lat":-0.79,"lng":127.38}	["spice-trade","malay-archipelago-trade","portuguese-maritime"]	-200 to present	Extremely valuable spice monopolized by successive colonial powers	["msa","por","nld","eng"]
tg-005	Nutmeg	spice	Banda Islands	{"lat":-4.52,"lng":129.89}	["spice-trade","malay-archipelago-trade","portuguese-maritime"]	100 to present	Once worth more than gold by weight; cause of colonial wars over Banda Islands	["msa","por","nld","eng"]
tg-006	Gold	metal	Multiple origins	{"lat":6.69,"lng":-1.62}	["trans-saharan-trade","phoenician-trade","silk-road","portuguese-maritime"]	-5000 to present	Universal store of value; primary driver of trans-Saharan and colonial trade	["arb","hau","aka","por","spa","lat"]
tg-007	Silver	metal	Laurion/Potosí	{"lat":37.73,"lng":24.05}	["phoenician-trade","silk-road","european-atlantic"]	-3000 to present	Primary currency metal; Spanish silver from Americas transformed global economy	["grc","lat","spa","cmn","jpn"]
tg-008	Tin	metal	Cornwall/Southeast Asia	{"lat":50.27,"lng":-5.05}	["phoenician-trade","amber-road"]	-3000 to -500	Essential for bronze production; scarcity drove long-distance trade networks	["cor","grc","lat","msa"]
tg-009	Copper	metal	Cyprus/Andes	{"lat":35.13,"lng":33.43}	["phoenician-trade","silk-road"]	-5000 to present	Foundation of Bronze Age economy; Cyprus named for copper (cuprum)	["grc","lat","arb","tur"]
tg-010	Amber	luxury	Baltic Coast	{"lat":54.70,"lng":20.51}	["amber-road","viking-expansion"]	-3000 to present	Precious resin traded from Baltic to Mediterranean; defined the Amber Road	["lit","lav","deu","lat","grc"]
tg-011	Frankincense	spice	Southern Arabia/Horn of Africa	{"lat":15.36,"lng":44.19}	["incense-route","arab-indian-ocean"]	-3000 to present	Sacred resin central to religious rituals across civilizations; drove Arabian wealth	["arb","som","amh","grc","lat"]
tg-012	Myrrh	spice	Southern Arabia/Horn of Africa	{"lat":12.78,"lng":45.04}	["incense-route","arab-indian-ocean"]	-3000 to present	Aromatic resin used in medicine, embalming, and religious ceremonies	["arb","som","amh","grc","lat","heb"]
tg-013	Ivory	luxury	Sub-Saharan Africa/India	{"lat":-1.29,"lng":36.82}	["trans-saharan-trade","arab-indian-ocean","atlantic-slave-trade"]	-3000 to 1900	High-value luxury material; trade linked closely to slave trade routes	["swa","arb","hin","por","eng"]
tg-014	Salt	grain	Sahara/Mediterranean	{"lat":20.46,"lng":-0.05}	["trans-saharan-trade","phoenician-trade"]	-6000 to present	Essential commodity; "worth its weight in gold" in sub-Saharan Africa	["arb","hau","bam","lat","ber"]
tg-015	Tea	grain	China (Yunnan)	{"lat":25.04,"lng":102.71}	["silk-road","malay-archipelago-trade","european-atlantic"]	-2700 to present	World's most consumed beverage after water; drove British colonial expansion	["cmn","jpn","hin","eng","por"]
