id	culture_profile_id	category	title	description	social_class	gender_context	age_group	season	time_period_start	time_period_end	sources
dl-001	cp-sumerian	housing	Mudbrick Courtyard Houses	Sumerian commoners lived in mudbrick houses arranged around a central courtyard, with rooms opening inward for privacy and shade.	common	all	all	all	-3500	-2000	["Crawford, Harriet. Sumer and the Sumerians"]
dl-002	cp-sumerian	diet	Barley Bread and Beer	Barley bread and beer were the dietary staples of Sumerian life, with beer consumed daily by all social classes through reed straws from communal vessels.	all	all	all	all	-3500	-2000	["Nemet-Nejat, Karen. Daily Life in Ancient Mesopotamia"]
dl-003	cp-sumerian	clothing	Kaunakes Wool Garments	Sumerians wore kaunakes, tufted wool skirts, with elites wearing longer garments and commoners wearing shorter ones belted at the waist.	all	all	adult	all	-3500	-2000	["Postgate, J.N. Early Mesopotamia"]
dl-004	cp-sumerian	education	Edubba Scribal Schools	Boys from prosperous families attended the edubba (tablet house) where they learned cuneiform writing by copying texts onto clay tablets.	elite	male	child	all	-3000	-2000	["Kramer, Samuel Noah. The Sumerians"]
dl-005	cp-sumerian	occupation	Irrigation Canal Maintenance	Common Sumerian men were required to perform corvee labor maintaining irrigation canals that sustained agriculture in the alluvial plain.	common	male	adult	spring	-3500	-2000	["Postgate, J.N. Early Mesopotamia"]
dl-006	cp-sumerian	commerce	Temple Redistribution Economy	Sumerian temples served as economic centers, collecting agricultural surplus and redistributing goods including rations of barley, oil, and wool to workers.	all	all	all	all	-3500	-2000	["Van De Mieroop, Marc. The Ancient Mesopotamian City"]
dl-007	cp-sumerian	social_customs	Funerary Offerings	Sumerians placed food, drink, and personal items in graves alongside the deceased, believing the dead required sustenance in the netherworld.	all	all	all	all	-3500	-2000	["Woolley, Leonard. Ur of the Chaldees"]
dl-008	cp-sumerian	hygiene	Ritual Bathing	Sumerians practiced ritual bathing before entering temples and after contact with the dead, using water and sometimes sesame oil for cleansing.	all	all	all	all	-3500	-2000	["Nemet-Nejat, Karen. Daily Life in Ancient Mesopotamia"]
dl-009	cp-sumerian	law	Ur-Nammu Legal Code	Under the code of Ur-Nammu, disputes were settled through monetary fines rather than physical punishment, with standardized penalties for injuries.	all	all	adult	all	-2100	-2000	["Kramer, Samuel Noah. The Sumerians"]
dl-010	cp-sumerian	recreation	Board Games and Music	Sumerians played the Royal Game of Ur using dice and game boards, and enjoyed music performed on lyres and harps at banquets.	all	all	all	all	-3000	-2000	["Woolley, Leonard. Ur of the Chaldees"]
dl-011	cp-sumerian	transportation	Reed Boats on Canals	Sumerians used boats made of bundled reeds and bitumen to navigate the extensive canal network for trade and daily transport.	all	all	adult	all	-3500	-2000	["Crawford, Harriet. Sumer and the Sumerians"]
dl-012	cp-sumerian	timekeeping	Lunar Calendar System	Sumerians used a lunar calendar of twelve months, with an intercalary month added periodically to align with the solar year and agricultural seasons.	priestly	all	adult	all	-3500	-2000	["Brack-Bernsen, Lis. The Path of the Moon"]
dl-013	cp-sumerian	diet	Fish from Marshlands	Fresh and dried fish from the southern marshlands formed a critical protein source in the Sumerian diet, consumed at all social levels.	all	all	all	all	-3500	-2000	["Nemet-Nejat, Karen. Daily Life in Ancient Mesopotamia"]
dl-014	cp-sumerian	occupation	Weaving Workshops	Women worked in large temple and palace weaving workshops producing textiles from wool, which served as a primary form of currency.	common	female	adult	all	-3500	-2000	["Waetzoldt, Hartmut. Untersuchungen zur neusumerischen Textilindustrie"]
dl-015	cp-sumerian	social_customs	Marriage Contracts	Sumerian marriages were formalized through written contracts specifying bride price, dowry, and conditions for divorce, witnessed by family members and officials.	all	all	adult	all	-3000	-2000	["Kramer, Samuel Noah. The Sumerians"]
dl-016	cp-sumerian	housing	Temple Ziggurat Complexes	The ziggurat served as the religious and administrative center of each city, with the temple at its summit accessible only to priests.	priestly	all	adult	all	-3000	-2000	["Crawford, Harriet. Sumer and the Sumerians"]
dl-017	cp-egyptian	housing	Whitewashed Mudbrick Homes	Egyptian commoners lived in whitewashed mudbrick houses with flat roofs used as additional living space in the cool evening hours.	common	all	all	all	-3000	-30	["Kemp, Barry. Ancient Egypt: Anatomy of a Civilization"]
dl-018	cp-egyptian	diet	Bread and Onion Diet	The daily diet of Egyptian workers centered on bread, onions, garlic, and beer, with bread baked in conical molds from emmer wheat.	common	all	all	all	-3000	-30	["Darby, William. Food: The Gift of Osiris"]
dl-019	cp-egyptian	clothing	Linen Garments	Egyptians wore garments of white linen, with men in kilts and women in sheath dresses, the fineness of the fabric indicating social status.	all	all	adult	all	-3000	-30	["Vogelsang-Eastwood, Gillian. Pharaonic Egyptian Clothing"]
dl-020	cp-egyptian	occupation	Agricultural Cycle of the Nile	Egyptian farmers organized their year around the Nile flood cycle: inundation for rest, emergence for plowing and sowing, and harvest for reaping.	common	male	adult	all	-3000	-30	["Bowman, Alan. Egypt After the Pharaohs"]
dl-021	cp-egyptian	education	Scribal Training	Boys training as scribes spent years copying hieratic texts, learning mathematics, and practicing calligraphy under strict schoolmasters who used corporal punishment.	elite	male	child	all	-2500	-30	["Williams, Ronald. The Sage in Egyptian Literature"]
dl-022	cp-egyptian	hygiene	Natron Cleansing	Egyptians used natron, a naturally occurring mineral salt, for cleaning teeth, washing the body, and as a deodorant in daily hygiene routines.	all	all	all	all	-3000	-30	["Manniche, Lise. An Ancient Egyptian Herbal"]
dl-023	cp-egyptian	social_customs	Festival of Opet	During the annual Opet festival at Thebes, common Egyptians received free bread and beer distributed from the temples while celebrating with music and dance.	all	all	all	summer	-1500	-30	["Bell, Lanny. The New Kingdom Divine Temple"]
