id	name	style_period	origin_date	end_date	origin_coordinates	region	description	associated_civilizations	associated_languages	key_features	notable_examples	building_types	wikidata_qid	source_url	retrieved_at	confidence	sources
academic-art	academic art						style of painting and sculpture produced under the influence of European academies of art						Q189458	http://www.wikidata.org/entity/Q189458	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ancient-egyptian-style	ancient Egyptian						aspect of architecture						Q842352	http://www.wikidata.org/entity/Q842352	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ancient-greek	ancient Greek						era of architecture						Q331273	http://www.wikidata.org/entity/Q331273	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
ancient-roman-style	ancient Roman						architecture of the ancient Romans						Q223750	http://www.wikidata.org/entity/Q223750	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
arts-and-crafts-movement	Arts and Crafts movement						international design movement						Q330369	http://www.wikidata.org/entity/Q330369	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
baroque-revival	baroque revival						architectural movement						Q911397	http://www.wikidata.org/entity/Q911397	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
bauhaus	Bauhaus		1919				school in Germany that combined crafts and the fine arts						Q124354	http://www.wikidata.org/entity/Q124354	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
beaux-arts	Beaux-Arts						19th century architectural style						Q1268134	http://www.wikidata.org/entity/Q1268134	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
biedermeier	Biedermeier						Era in Central Europe between 1815 and 1848						Q154432	http://www.wikidata.org/entity/Q154432	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
brick-gothic	Brick Gothic						architectural style of Northern Europe						Q695863	http://www.wikidata.org/entity/Q695863	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
brutalist	brutalist						20th century style of architecture						Q994776	http://www.wikidata.org/entity/Q994776	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
bungalow	bungalow						house that is either single-storey or has a second storey built into a sloping roof, popular in North America						Q850107	http://www.wikidata.org/entity/Q850107	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
byzantine-revival	Byzantine Revival						architectural revival movement						Q966571	http://www.wikidata.org/entity/Q966571	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
chicago-school	Chicago School				{"lat":39.828175,"lng":-98.5795}	United States	American architectural style						Q1072060	http://www.wikidata.org/entity/Q1072060	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
chinese-style	Chinese						style of architecture						Q957904	http://www.wikidata.org/entity/Q957904	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
classicism	Classicism						art movement; architectural style						Q170292	http://www.wikidata.org/entity/Q170292	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
constructivism	Constructivism						artistic and architectural philosophy						Q207103	http://www.wikidata.org/entity/Q207103	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
corinthian-order	Corinthian order						latest of the three principal classical orders of ancient Greek and Roman architecture						Q54124	http://www.wikidata.org/entity/Q54124	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
de-stijl	De Stijl		1917				Dutch artistic movement						Q207445	http://www.wikidata.org/entity/Q207445	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
deconstructivism	deconstructivism						architectural movement						Q238255	http://www.wikidata.org/entity/Q238255	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
doric-order	Doric order						ancient Greek architectural order						Q192664	http://www.wikidata.org/entity/Q192664	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
eclectic	eclectic						architectural style						Q2479493	http://www.wikidata.org/entity/Q2479493	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
empire-style	Empire style						19th-century art movement and style of architecture and interior design						Q191105	http://www.wikidata.org/entity/Q191105	2026-07-08T11:19:39.028Z	0.8	["Wikidata"]
