Cuisine,Item Number,Food Item,Food Type
Chinese,1,Peking Duck,Main Dish
Chinese,2,Sweet and Sour Pork,Main Dish
Chinese,3,Mapo Tofu,Main Dish
Chinese,4,General Tso's Chicken,Main Dish
Chinese,5,Orange Chicken,Main Dish
Chinese,6,Mongolian Beef,Main Dish
Chinese,7,Moo Shu Pork,Main Dish
Chinese,8,Twice Cooked Pork,Main Dish
Chinese,9,Dongpo Pork,Main Dish
Chinese,10,Steamed Fish,Main Dish
Chinese,11,Braised Abalone,Main Dish
Chinese,12,Sea Cucumber,Main Dish
Ethiopian,1,Kitfo,Main Dish
Ethiopian,2,Fitfit,Main Dish
Ethiopian,3,Dulet,Main Dish
Ethiopian,4,Quanta Firfir,Main Dish
Ethiopian,5,Gored Gored,Main Dish
Ethiopian,6,Tire Siga,Main Dish
Ethiopian,7,Kurt,Main Dish
Ethiopian,8,Tere Sega,Main Dish
Ethiopian,9,Gomen Kitfo,Main Dish
Ethiopian,10,Fosolia with Rice,Main Dish
Ethiopian,11,Pasta Bolognese Ethiopian,Main Dish
French,1,Coq au Vin,Main Dish
French,2,Confit de Canard,Main Dish
French,3,Magret de Canard,Main Dish
French,4,Steak Frites,Main Dish
French,5,Steak Tartare,Main Dish
French,6,Gigot d'Agneau,Main Dish
French,7,Choucroute Garnie,Main Dish
French,8,Raclette,Main Dish
French,9,Fondue Savoyarde,Main Dish
French,10,Tartiflette,Main Dish
French,11,Hachis Parmentier,Main Dish
French,12,Brandade de Morue,Main Dish
French,13,Moules Marinières,Main Dish
French,14,Moules Frites,Main Dish
French,15,Coquilles Saint-Jacques,Main Dish
French,16,Sole Meunière,Main Dish
French,17,Truite aux Amandes,Main Dish
French,18,Saumon à l'Oseille,Main Dish
Georgian,1,Shkmeruli,Main Dish
Georgian,2,Borano,Main Dish
Georgian,3,Elarji with Sulguni,Main Dish
German,1,Schnitzel,Main Dish
German,2,Sauerbraten,Main Dish
German,3,Rouladen,Main Dish
German,4,Schweinshaxe,Main Dish
German,5,Kassler,Main Dish
German,6,Eisbein,Main Dish
German,7,Königsberger Klopse,Main Dish
German,8,Käsespätzle,Main Dish
German,9,Labskaus,Main Dish
German,10,Forelle Müllerin,Main Dish
German,11,Aal,Main Dish
German,12,Karpfen,Main Dish
German,13,Grünkohl mit Pinkel,Main Dish
German,14,Himmel und Erde,Main Dish
German,15,Hoppel Poppel,Main Dish
German,16,Frikadellen,Main Dish
German,17,Hackbraten,Main Dish
German,18,Falscher Hase,Main Dish
German,19,Jägerschnitzel,Main Dish
German,20,Zigeunerschnitzel,Main Dish
German,21,Rahmschnitzel,Main Dish
German,22,Cordon Bleu,Main Dish
German,23,Saumagen,Main Dish
Greek,1,Moussaka,Main Dish
Greek,2,Pastitsio,Main Dish
Greek,3,Melitzanes Imam,Main Dish
Greek,4,Kleftiko,Main Dish
Greek,5,Arni Psito,Main Dish
Greek,6,Bifteki,Main Dish
Greek,7,Soutzoukakia,Main Dish
Greek,8,Gemista,Main Dish
Greek,9,Fakorizo,Main Dish
Greek,10,Papoutsakia,Main Dish
Greek,11,Octopus Grilled,Main Dish
Greek,12,Bakaliaros Skordalia,Main Dish
Greek,13,Splinantero,Main Dish
Greek,14,Exohiko,Main Dish
Hungarian,1,Chicken Paprikash,Main Dish
Hungarian,2,Stuffed Cabbage,Main Dish
Hungarian,3,Breaded Pork,Main Dish
Hungarian,4,Veal Paprikash,Main Dish
Hungarian,5,Töltött Káposzta,Main Dish
Hungarian,6,Töltött Paprika,Main Dish
Hungarian,7,Hortobágyi Palacsinta,Main Dish
Hungarian,8,Túrós Csusza,Main Dish
Hungarian,9,Káposztás Kocka,Main Dish
Hungarian,10,Slambuc,Main Dish
Hungarian,11,Brassói Aprópecsenye,Main Dish
Hungarian,12,Cigánypecsenye,Main Dish
Hungarian,13,Tatárbeefsteak,Main Dish
Hungarian,14,Csirkepaprikás,Main Dish
Hungarian,15,Rác Ponty,Main Dish
Hungarian,16,Lecsós Hús,Main Dish
Hungarian,17,Flekken,Main Dish
Indian,1,Butter Chicken,Main Dish
Indian,2,Tikka Masala,Main Dish
Indian,3,Tandoori Chicken,Main Dish
Indian,4,Palak Paneer,Main Dish
Indian,5,Rogan Josh,Main Dish
Indian,6,Masala Dosa,Main Dish
Indian,7,Baingan Bharta,Main Dish
Indian,8,Bhindi Masala,Main Dish
Indian,9,Malai Kofta,Main Dish
Indian,10,Kadai Paneer,Main Dish
Indian,11,Matar Paneer,Main Dish
Indian,12,Shahi Paneer,Main Dish
Indian,13,Keema,Main Dish
Indonesian,1,Lontong Sayur,Main Dish
Indonesian,2,Ketoprak,Main Dish
Indonesian,3,Kupat Tahu,Main Dish
Indonesian,4,Tahu Tek,Main Dish
Italian,1,Osso Buco,Main Dish
Italian,2,Saltimbocca,Main Dish
Italian,3,Piccata,Main Dish
Italian,4,Vitello Tonnato,Main Dish
Italian,5,Bistecca alla Fiorentina,Main Dish
Italian,6,Tagliata,Main Dish
Italian,7,Porchetta,Main Dish
Italian,8,Cotoletta alla Milanese,Main Dish
Italian,9,Bollito Misto,Main Dish
Italian,10,Brasato al Barolo,Main Dish
Italian,11,Cacciatore,Main Dish
Italian,12,Parmigiana di Melanzane,Main Dish
Italian,13,Fritto Misto,Main Dish
Italian,14,Acqua Pazza,Main Dish
Japanese,1,Tonkatsu,Main Dish
Japanese,2,Teriyaki Chicken,Main Dish
Japanese,3,Tofu Steak,Main Dish
Japanese,4,Japanese Curry,Main Dish
Japanese,5,Hayashi Rice,Main Dish
