id	name	route_type	waypoints	start_date	end_date	peoples	associated_languages	description	consequences
out-of-africa	Out of Africa Migration	migration	{"type":"LineString","coordinates":[[36,-2],[42,12],[45,15],[50,25],[55,25],[70,25],[80,20],[95,15],[105,10],[110,0],[120,-5],[130,-10],[140,-20],[145,-30]]}	-70000	-40000	["Homo sapiens"]	[]	The initial dispersal of anatomically modern humans from East Africa through the Levant and into Asia, Oceania, and eventually all continents	Colonization of all habitable continents; foundation of all subsequent human genetic and linguistic diversity
indo-european-expansion	Indo-European Expansion	migration	{"type":"LineString","coordinates":[[45,48],[40,45],[35,42],[30,40],[25,45],[20,48],[15,50],[10,48],[5,46],[0,48],[-5,52],[-10,53]]}	-4000	-1000	["Proto-Indo-Europeans","Yamnaya"]	["san","grc","lat","got","ang","non"]	Migration of Indo-European speaking peoples from the Pontic-Caspian steppe westward into Europe and southeastward into Iran and India	Spread of Indo-European language family; displacement/assimilation of pre-IE languages; foundation of most European and many Asian languages
bantu-expansion	Bantu Expansion	migration	{"type":"LineString","coordinates":[[10,5],[12,3],[15,0],[18,-2],[20,-5],[25,-8],[28,-10],[30,-15],[32,-20],[35,-25],[28,-30],[25,-28]]}	-3000	500	["Bantu peoples"]	["swa","zul","xho","yor","ibo","hau","lug"]	The migration of Bantu-speaking peoples from West-Central Africa across sub-Saharan Africa over several millennia	Spread of Bantu languages across most of sub-Saharan Africa; spread of iron-working and agriculture; displacement of Khoisan and Pygmy populations
austronesian-expansion	Austronesian Expansion	migration	{"type":"LineString","coordinates":[[120,25],[118,18],[115,10],[110,5],[105,0],[100,-5],[115,-8],[125,-5],[135,-3],[140,-5],[150,-10],[160,-15],[170,-18],[175,-20],[-175,-15],[-170,-20],[-155,20]]}	-3000	1000	["Austronesian peoples","Lapita"]	["ind","msa","tgl","jav","mri","smo","ton","fij","haw"]	Maritime expansion from Taiwan through Island Southeast Asia, Melanesia, and into Polynesia	Colonization of the Pacific Islands; development of advanced navigation techniques; spread of Austronesian languages to become the most geographically widespread language family
polynesian-voyaging	Polynesian Voyaging	migration	{"type":"LineString","coordinates":[[170,-18],[175,-20],[-175,-15],[-170,-12],[-160,-10],[-155,20],[-150,-15],[-140,-20],[-130,-25],[-110,-27]]}	200	1300	["Polynesians"]	["mri","smo","ton","haw"]	Long-distance oceanic voyaging that settled the Polynesian Triangle from Samoa/Tonga to Hawaii, Easter Island, and New Zealand	Settlement of the most remote inhabited islands on Earth; development of stellar navigation; cultural diversification across the Pacific
silk-road	Silk Road	trade	{"type":"LineString","coordinates":[[116,40],[105,36],[95,38],[85,40],[75,39],[68,39],[60,37],[52,35],[45,38],[40,38],[35,37],[30,40],[28,41]]}	-200	1450	["Chinese","Sogdians","Persians","Turks","Arabs","Mongols"]	["cmn","tur","uzb","kaz","arb"]	The ancient network of trade routes connecting East Asia with the Mediterranean, facilitating exchange of goods, ideas, religions, and technologies	Spread of Buddhism, Islam, and Christianity; transmission of papermaking, gunpowder, and printing; cultural exchange between civilizations; spread of plague
trans-saharan-trade	Trans-Saharan Trade Routes	trade	{"type":"LineString","coordinates":[[3,36],[2,32],[0,28],[-2,24],[-4,20],[-6,16],[-8,14],[-6,12],[-4,10],[0,12],[2,14]]}	-500	1800	["Berbers","Tuareg","Hausa","Songhai","Mande"]	["hau","arb"]	Trade routes crossing the Sahara Desert connecting North Africa with West Africa, exchanging gold, salt, slaves, and ideas	Spread of Islam to West Africa; growth of wealthy West African empires (Ghana, Mali, Songhai); trans-continental economic integration
amber-road	Amber Road	trade	{"type":"LineString","coordinates":[[18,55],[18,52],[17,50],[16,48],[15,47],[14,46],[13,45]]}	-3000	500	["Germanic peoples","Romans","Celts"]	["lat","got","goh"]	Ancient trade route connecting the Baltic Sea coast to the Mediterranean, primarily trading amber	Cultural exchange between Northern and Southern Europe; spread of Roman goods and influence northward; economic interconnection of European regions
incense-route	Incense Route	trade	{"type":"LineString","coordinates":[[50,15],[48,18],[46,20],[44,22],[42,24],[40,28],[38,30],[36,32],[35,33]]}	-1000	200	["Nabataeans","South Arabians","Romans"]	["arb","lat"]	Trade route carrying frankincense and myrrh from southern Arabia to the Mediterranean via the Nabataean kingdom	Rise of wealthy trading kingdoms in Arabia; cultural exchange between Arabia and the Mediterranean; growth of Petra and other trading cities
viking-expansion	Viking Expansion	conquest	{"type":"LineString","coordinates":[[10,60],[5,58],[0,55],[-5,52],[-10,53],[-15,55],[-20,63],[-25,65],[-45,60],[-55,50]]}	793	1100	["Norse","Vikings","Varangians"]	["non","isl","dan","swe"]	Norse seafaring expansion from Scandinavia to Britain, Iceland, Greenland, and briefly North America (Vinland)	Settlement of Iceland and Greenland; brief contact with Americas; Norse cultural and linguistic influence on English; establishment of Danelaw; Varangian Guard in Byzantium
viking-east	Viking Eastern Route	trade	{"type":"LineString","coordinates":[[18,59],[20,58],[24,57],[28,56],[30,55],[33,53],[36,50],[40,48],[42,45],[44,42],[48,40]]}	800	1100	["Varangians","Rus"]	["non","rus"]	Norse trade and settlement route from Scandinavia through Russia to Constantinople and the Caspian	Foundation of Kievan Rus; establishment of trade networks connecting Scandinavia to Byzantium and the Islamic world; cultural fusion of Norse and Slavic traditions
arab-expansion	Arab-Islamic Expansion	conquest	{"type":"LineString","coordinates":[[40,25],[42,30],[45,33],[48,35],[52,35],[55,32],[60,30],[65,28],[70,25],[45,35],[38,34],[35,33],[30,32],[25,30],[15,33],[10,35],[5,35],[0,34],[-5,35],[-10,32]]}	632	750	["Arabs","Umayyads","Abbasids"]	["arb"]	Rapid military and religious expansion from the Arabian Peninsula across the Middle East, North Africa, Central Asia, and Iberia	Spread of Islam and Arabic language; creation of vast caliphates; transmission of Greek knowledge; golden age of Islamic science; arabization of North Africa
mongol-conquests	Mongol Conquests	conquest	{"type":"LineString","coordinates":[[105,47],[100,45],[95,43],[90,42],[85,40],[80,38],[75,37],[70,35],[65,35],[60,38],[55,40],[50,42],[45,40],[40,38],[35,37],[30,35]]}	1206	1294	["Mongols","Tatars"]	["khk","tur","cmn","rus"]	The largest contiguous land empire in history, conquering from China to Eastern Europe under Genghis Khan and his successors	Pax Mongolica enabling trade; destruction of many cities; demographic catastrophe in Central Asia and Persia; fall of Abbasid Caliphate; connection of East and West; spread of plague
