id	title	description	steps
sugar_journey	The Journey of the Word Sugar	Trace the word 'sugar' from ancient Sanskrit across trade routes through Persian, Arabic, and into European languages — revealing how a single commodity reshaped global vocabulary.	[{"text":"The story begins in ancient India, where sugarcane was first cultivated in the Indus Valley and Ganges Plain. The Sanskrit word 'śarkarā' (शर्करा) originally meant 'ground or candied sugar', derived from a root meaning 'gravel' or 'grit'.","map_center":[25.0,82.0],"map_zoom":5,"time_point":-500,"highlighted_entities":["san"],"layer_config":{"layers":["languages"]}},{"text":"As trade routes connected India to Persia, the word traveled westward. Old Persian adopted it as 'šakar', and Middle Persian refined it to 'shakar'. The Sassanid Empire became a key node in sugar production and linguistic transmission.","map_center":[32.0,53.0],"map_zoom":5,"time_point":300,"highlighted_entities":["pes"],"layer_config":{"layers":["languages","trade_routes"]}},{"text":"With the Islamic conquests and the flourishing of Arab trade networks, Arabic adopted the word as 'sukkar' (سكر). Arab merchants spread both the commodity and its name across the Mediterranean world during the Golden Age.","map_center":[30.0,45.0],"map_zoom":4,"time_point":800,"highlighted_entities":["arb"],"layer_config":{"layers":["languages","trade_routes"]}},{"text":"Medieval Latin borrowed the Arabic term as 'succarum', which then branched into Old French 'sucre', Italian 'zucchero', and Spanish 'azúcar' (with the Arabic article 'al-' prefix). Each Romance language adapted the word to its phonological system.","map_center":[43.0,10.0],"map_zoom":4,"time_point":1200,"highlighted_entities":["fra","ita","spa"],"layer_config":{"layers":["languages"]}},{"text":"Middle English borrowed 'sucre' from Anglo-Norman French, eventually becoming modern English 'sugar'. Meanwhile, German adopted 'Zucker' through Italian trade contacts, and Russian borrowed 'сахар' (sakhar) through a separate eastern route.","map_center":[52.0,0.0],"map_zoom":4,"time_point":1400,"highlighted_entities":["eng","deu","rus"],"layer_config":{"layers":["languages"]}},{"text":"By the colonial era, sugar plantations in the Caribbean and Americas drove the Atlantic slave trade, making 'sugar' one of history's most consequential loanwords — a single word connecting ancient India to the modern global economy.","map_center":[18.0,-66.0],"map_zoom":3,"time_point":1700,"highlighted_entities":["eng","spa","fra","por"],"layer_config":{"layers":["languages","trade_routes"]}}]
silk_road_languages	How the Silk Road Changed Languages	Discover how the ancient Silk Road created a linguistic melting pot, facilitating the exchange of words, writing systems, and entire language families across Eurasia.	[{"text":"The Silk Road begins at Chang'an (modern Xi'an), capital of the Han Dynasty. Chinese traders set out westward, carrying silk, paper, and words that would influence dozens of languages along the route.","map_center":[34.3,108.9],"map_zoom":5,"time_point":-200,"highlighted_entities":["cmn"],"layer_config":{"layers":["languages","trade_routes"]}},{"text":"In the Tarim Basin oases, Tocharian languages (now extinct Indo-European languages spoken in western China) served as intermediaries. The word 'honey' (Tocharian B 'mit') shows deep Indo-European roots thriving far to the east of their expected range.","map_center":[40.5,80.0],"map_zoom":5,"time_point":200,"highlighted_entities":[],"layer_config":{"layers":["languages","archaeological_sites"]}},{"text":"Sogdian merchants from Samarkand became the Silk Road's great lingua franca speakers. Their Iranian language served as the trade language from China to Persia, leaving loanwords in Chinese, Turkic, and Mongolian languages.","map_center":[39.6,66.9],"map_zoom":5,"time_point":500,"highlighted_entities":[],"layer_config":{"layers":["languages","trade_routes"]}},{"text":"The spread of Buddhism along the Silk Road carried Sanskrit terminology into Chinese, Tibetan, Mongolian, and Southeast Asian languages. Words like 'Buddha', 'nirvana', and 'dharma' became global vocabulary through these trade networks.","map_center":[30.0,78.0],"map_zoom":4,"time_point":400,"highlighted_entities":["san"],"layer_config":{"layers":["languages","religions"]}},{"text":"Turkic languages spread along the Silk Road corridors as Turkic peoples migrated westward. Words for trade goods, animals, and governance passed between Turkic, Persian, Chinese, and Mongolian, creating a rich web of shared vocabulary.","map_center":[42.0,65.0],"map_zoom":4,"time_point":700,"highlighted_entities":["tur","uzb","kaz"],"layer_config":{"layers":["languages","migrations"]}},{"text":"By the Mongol Empire era, the Silk Road reached peak connectivity. Persian became the administrative language of much of the route, while Mongolian words entered Russian, Turkish, and even Korean — a testament to the road's linguistic legacy.","map_center":[47.0,100.0],"map_zoom":3,"time_point":1250,"highlighted_entities":["pes","mon","rus"],"layer_config":{"layers":["languages","trade_routes","civilizations"]}}]
indo_european_expansion	The Indo-European Expansion	Follow the most successful language family in history as it spread from the Pontic Steppe to dominate Europe, Iran, and India over thousands of years.	[{"text":"Around 4500 BCE on the Pontic-Caspian Steppe (modern Ukraine/southern Russia), speakers of Proto-Indo-European herded cattle, domesticated horses, and developed a language that would become the ancestor of nearly half the world's spoken languages.","map_center":[48.0,38.0],"map_zoom":5,"time_point":-4500,"highlighted_entities":[],"layer_config":{"layers":["archaeological_sites","migrations"]}},{"text":"The Yamnaya culture (c. 3300-2600 BCE) spread westward into Europe and eastward toward Central Asia. Their mastery of horse-drawn wheeled vehicles gave them unprecedented mobility. DNA evidence confirms massive population replacements across Europe.","map_center":[47.0,40.0],"map_zoom":4,"time_point":-3000,"highlighted_entities":[],"layer_config":{"layers":["migrations","archaeological_sites","haplogroups"]}},{"text":"The Anatolian branch (including Hittite) was the first to diverge, establishing the Hittite Empire in modern Turkey by 1600 BCE. Hittite, written in cuneiform, is the oldest attested Indo-European language.","map_center":[39.5,34.0],"map_zoom":5,"time_point":-1600,"highlighted_entities":[],"layer_config":{"layers":["languages","civilizations"]}},{"text":"Indo-Iranian speakers moved southeast, splitting into Iranian (ancestors of Persian, Kurdish, Pashto) and Indo-Aryan (ancestors of Sanskrit, Hindi, Bengali). The Rigveda, composed c. 1500-1200 BCE, preserves archaic Indo-European mythology and vocabulary.","map_center":[30.0,70.0],"map_zoom":4,"time_point":-1500,"highlighted_entities":["san","hin","fas"],"layer_config":{"layers":["languages","migrations"]}},{"text":"Celtic, Italic, Germanic, Slavic, and Baltic branches diversified across Europe. Latin spread through Roman conquest, later fracturing into the Romance languages — the linguistic heirs of an empire.","map_center":[45.0,12.0],"map_zoom":4,"time_point":-200,"highlighted_entities":["lat","fra","spa","por","ita"],"layer_config":{"layers":["languages","civilizations"]}},{"text":"Today, Indo-European languages are spoken by over 3.2 billion people as a first language. From Icelandic to Bengali, from Portuguese to Tajik — this single family's 6,500-year journey represents humanity's greatest linguistic expansion.","map_center":[40.0,30.0],"map_zoom":2,"time_point":2000,"highlighted_entities":["eng","hin","spa","por","ben","rus"],"layer_config":{"layers":["languages"]}}]
columbian_exchange	The Columbian Exchange	Explore how the collision of Old and New World languages after 1492 created pidgins, creoles, and a torrent of loanwords that transformed vocabularies on every continent.	[{"text":"Before Columbus, the Americas hosted extraordinary linguistic diversity — over 1,000 languages across hundreds of families. The Aztec capital Tenochtitlan alone was a multilingual hub where Nahuatl served as the lingua franca of Mesoamerica.","map_center":[19.4,-99.1],"map_zoom":5,"time_point":1490,"highlighted_entities":[],"layer_config":{"layers":["languages","civilizations"]}},{"text":"Spanish conquistadors in the Caribbean created the first sustained contact. Taíno words entered Spanish and then spread globally: 'hurricane' (hurakán), 'canoe' (canoa), 'hammock' (hamaca), 'barbecue' (barbacoa), and 'tobacco' (tabaco).","map_center":[19.0,-70.0],"map_zoom":5,"time_point":1500,"highlighted_entities":["spa"],"layer_config":{"layers":["languages","trade_routes"]}},{"text":"From Mexico, Nahuatl contributed 'chocolate' (chocolātl), 'tomato' (tomatl), 'avocado' (ahuacatl), and 'coyote' (coyōtl). These words traveled through Spanish into English, French, and dozens of other languages — food words following the food itself.","map_center":[19.4,-99.1],"map_zoom":5,"time_point":1550,"highlighted_entities":["spa","eng","fra"],"layer_config":{"layers":["languages"]}},{"text":"Quechua, the language of the Inca Empire, gave us 'condor' (kuntur), 'llama', 'quinoa' (kinwa), and 'jerky' (ch'arki). Portuguese carried these into global trade networks, while Quechua itself absorbed Spanish words and survived as a living language.","map_center":[-13.5,-72.0],"map_zoom":5,"time_point":1540,"highlighted_entities":["que","spa","por"],"layer_config":{"layers":["languages","civilizations"]}},{"text":"In the Caribbean and Americas, the collision of African, European, and Indigenous languages birthed creole languages — Haitian Creole, Papiamentu, Sranan Tongo — entirely new linguistic systems forged in the crucible of colonialism and slavery.","map_center":[18.5,-72.3],"map_zoom":5,"time_point":1700,"highlighted_entities":["fra","spa","por"],"layer_config":{"layers":["languages"]}},{"text":"The Columbian Exchange made 'chocolate', 'potato', 'maize', and 'tobacco' universal vocabulary. No event in history has transferred more words between more languages in so short a time — a linguistic big bang still reverberating today.","map_center":[20.0,-30.0],"map_zoom":2,"time_point":1800,"highlighted_entities":["eng","spa","fra","por","deu","nld"],"layer_config":{"layers":["languages","trade_routes"]}}]
spread_of_writing	The Spread of Writing	Follow the invention and transmission of writing systems — from Sumerian cuneiform to the smartphone keyboard — and see how literacy reshaped language itself.	[{"text":"Around 3400 BCE in Uruk (southern Mesopotamia), Sumerians developed cuneiform — pressing wedge-shaped marks into clay tablets. Initially for accounting, it evolved into the first full writing system, capable of recording literature, law, and language.","map_center":[31.3,45.6],"map_zoom":6,"time_point":-3400,"highlighted_entities":[],"layer_config":{"layers":["archaeological_sites","civilizations"]}},{"text":"Independently, Egyptian hieroglyphs emerged around 3200 BCE. Meanwhile, cuneiform was adopted by Akkadians, Babylonians, Hittites, and Persians — each adapting the script to their own language, proving writing systems could be borrowed and modified.","map_center":[29.9,31.1],"map_zoom":5,"time_point":-3200,"highlighted_entities":[],"layer_config":{"layers":["civilizations","archaeological_sites"]}},{"text":"Around 1050 BCE, Phoenician traders developed the first alphabet — a revolutionary simplification reducing hundreds of cuneiform signs to ~22 letters. From ports like Byblos and Tyre, this alphabet spread across the Mediterranean world.","map_center":[34.1,35.6],"map_zoom":6,"time_point":-1050,"highlighted_entities":[],"layer_config":{"layers":["trade_routes","civilizations"]}},{"text":"The Greeks adapted the Phoenician alphabet (~800 BCE), crucially adding vowel letters. This Greek alphabet became the ancestor of Latin (and thus all Western European scripts), Cyrillic (used across Slavic-speaking lands), and Coptic.","map_center":[37.9,23.7],"map_zoom":5,"time_point":-800,"highlighted_entities":["grc"],"layer_config":{"layers":["languages","civilizations"]}},{"text":"In South and Southeast Asia, the Brahmi script (c. 300 BCE) gave rise to Devanagari, Tamil, Thai, Tibetan, Khmer, and dozens more. A single Indian writing tradition birthed scripts used from Sri Lanka to Mongolia.","map_center":[25.0,80.0],"map_zoom":4,"time_point":-300,"highlighted_entities":["san","hin","tam"],"layer_config":{"layers":["languages"]}},{"text":"Chinese characters, developed independently, spread to Japan (kanji), Korea (hanja), and Vietnam (chữ Hán). Today, writing has gone digital — but every text message traces its lineage to clay tablets pressed in ancient Sumer 5,400 years ago.","map_center":[35.0,110.0],"map_zoom":3,"time_point":100,"highlighted_entities":["cmn","jpn","kor","vie"],"layer_config":{"layers":["languages"]}}]
bantu_migration	Bantu Migration and Language Diversification	Follow one of history's great migrations as Bantu-speaking peoples expanded across sub-Saharan Africa over 3,000 years, carrying iron-working, agriculture, and a language family now spoken by 350 million people.	[{"text":"Around 3000 BCE, Proto-Bantu speakers lived in the Cameroon-Nigeria borderlands. They were farmers who cultivated yams and oil palms. Their language would become the ancestor of over 500 languages spanning half a continent.","map_center":[6.0,10.0],"map_zoom":5,"time_point":-3000,"highlighted_entities":[],"layer_config":{"layers":["languages","migrations"]}},{"text":"The first wave moved south and east through the Congo rainforest (c. 2000-1000 BCE), adapting to new environments. As groups separated by dense forest, their languages began to diverge — the first splits in what would become a vast language family.","map_center":[0.0,20.0],"map_zoom":5,"time_point":-1500,"highlighted_entities":[],"layer_config":{"layers":["migrations","languages"]}},{"text":"Emerging from the forest into the Great Lakes region (c. 1000 BCE), Bantu speakers encountered pastoralist Nilotic and Cushitic peoples. Languages mixed and borrowed: cattle terminology from Nilotic languages entered Bantu vocabularies, while Bantu farming words influenced neighbors.","map_center":[-2.0,32.0],"map_zoom":5,"time_point":-1000,"highlighted_entities":[],"layer_config":{"layers":["languages","migrations"]}},{"text":"Iron-working technology (possibly acquired from Nok culture contacts) accelerated the expansion. By 500 CE, Bantu speakers had reached southern Africa. Zulu, Xhosa, Sotho, and Shona all descend from these migrants — sister languages separated by centuries of divergence.","map_center":[-15.0,28.0],"map_zoom":4,"time_point":500,"highlighted_entities":["zul","xho","sot","sna"],"layer_config":{"layers":["languages","migrations"]}},{"text":"The Swahili coast (c. 800 CE) shows Bantu languages meeting the Indian Ocean world. Swahili, a Bantu language, absorbed massive Arabic vocabulary through trade — words for 'book' (kitabu), 'time' (wakati), and 'number' (nambari) all have Arabic origins.","map_center":[-6.8,39.3],"map_zoom":5,"time_point":800,"highlighted_entities":["swh","arb"],"layer_config":{"layers":["languages","trade_routes"]}},{"text":"Today, Bantu languages are spoken by ~350 million people across 24 countries. From Zulu click consonants (borrowed from Khoisan neighbors) to Swahili's Arabic loanwords, this family illustrates how migration and contact continuously reshape languages.","map_center":[-5.0,25.0],"map_zoom":3,"time_point":2000,"highlighted_entities":["swh","zul","sna","lin","nya"],"layer_config":{"layers":["languages"]}}]
norman_conquest_english	The Norman Conquest and English	See how the Battle of Hastings in 1066 split English into two — the language of the conquered and the language of the court — and how their merger created the rich hybrid tongue we speak today.	[{"text":"Before 1066, Old English was a fully Germanic language — closer to modern Dutch or German than to modern English. Words like 'house', 'bread', 'water', 'good', and 'friend' come from this Anglo-Saxon core that has survived a thousand years.","map_center":[52.0,-1.0],"map_zoom":6,"time_point":1050,"highlighted_entities":["eng"],"layer_config":{"layers":["languages"]}},{"text":"On October 14, 1066, William of Normandy defeated King Harold at the Battle of Hastings. The Norman French-speaking elite replaced the English aristocracy virtually overnight. French became the language of law, court, government, and prestige.","map_center":[50.9,0.5],"map_zoom":7,"time_point":1066,"highlighted_entities":["eng","fra"],"layer_config":{"layers":["languages","battles"]}},{"text":"For nearly 300 years, England was linguistically stratified: peasants spoke English, nobles spoke French, and the church used Latin. This created famous doublets: English 'cow' vs. French 'beef', 'sheep' vs. 'mutton', 'pig' vs. 'pork' — the animal in the field vs. the meat on the table.","map_center":[51.5,-0.1],"map_zoom":6,"time_point":1200,"highlighted_entities":["eng","fra"],"layer_config":{"layers":["languages"]}},{"text":"The Hundred Years' War (1337-1453) and the Black Death (1348) paradoxically revived English. French became the enemy's language; labor shortages empowered English-speaking workers. By 1362, English was officially used in Parliament for the first time since the Conquest.","map_center":[51.5,-0.1],"map_zoom":5,"time_point":1362,"highlighted_entities":["eng"],"layer_config":{"layers":["languages"]}},{"text":"Middle English emerged as a true hybrid: Germanic grammar and core vocabulary fused with thousands of French loanwords. Chaucer's Canterbury Tales (c. 1390) showcases this new language — unmistakably English, yet saturated with French-origin words for law, art, food, and fashion.","map_center":[51.3,1.1],"map_zoom":6,"time_point":1390,"highlighted_entities":["eng"],"layer_config":{"layers":["languages"]}},{"text":"Modern English vocabulary is roughly 29% French-origin, 29% Latin, and 26% Germanic. The Norman Conquest gave English its extraordinary synonym richness: 'begin/commence', 'ask/demand', 'freedom/liberty' — Germanic and Romance twins expressing subtle shades of meaning.","map_center":[51.5,-0.1],"map_zoom":5,"time_point":1500,"highlighted_entities":["eng"],"layer_config":{"layers":["languages"]}}]
austronesian_voyagers	Austronesian Voyagers	Follow the greatest maritime expansion in human history — Austronesian-speaking peoples who colonized half the planet's longitude, from Madagascar to Easter Island, guided by stars and language.	[{"text":"Around 3000 BCE, Austronesian-speaking peoples from Taiwan began the most remarkable maritime expansion in human history. These Neolithic farmers and master sailors would eventually settle islands spanning more than half the Earth's circumference.","map_center":[23.5,121.0],"map_zoom":6,"time_point":-3000,"highlighted_entities":[],"layer_config":{"layers":["languages","migrations"]}},{"text":"By 2000 BCE, Austronesians had reached the Philippines and Indonesia, establishing the languages that would become Tagalog, Malay, Javanese, and hundreds more. Shared words for 'outrigger canoe', 'sail', and 'navigate' reveal their maritime focus.","map_center":[5.0,120.0],"map_zoom":4,"time_point":-2000,"highlighted_entities":["tgl","msa","jav"],"layer_config":{"layers":["languages","migrations"]}},{"text":"The Lapita culture carried Austronesian languages into Oceania (c. 1500 BCE), reaching Fiji, Tonga, and Samoa. These became the Polynesian homeland — 'Hawaiki' in their oral traditions — where the Polynesian branch of languages crystallized.","map_center":[-15.0,175.0],"map_zoom":4,"time_point":-1500,"highlighted_entities":["ton","smo"],"layer_config":{"layers":["languages","migrations","archaeological_sites"]}},{"text":"In an astonishing western voyage, Austronesians crossed the entire Indian Ocean to settle Madagascar (c. 500 CE). Malagasy, the island's language, is not African but Austronesian — more closely related to languages in Borneo than to any language on mainland Africa.","map_center":[-18.9,47.5],"map_zoom":5,"time_point":500,"highlighted_entities":["mlg"],"layer_config":{"layers":["languages","migrations"]}},{"text":"Polynesians reached Hawai'i (c. 800 CE), Aotearoa/New Zealand (c. 1250 CE), and Rapa Nui/Easter Island (c. 1200 CE), completing a triangle spanning thousands of miles of open ocean. Hawaiian, Māori, and Rapanui remain mutually recognizable to trained linguists.","map_center":[-10.0,-160.0],"map_zoom":3,"time_point":1200,"highlighted_entities":["haw","mri"],"layer_config":{"layers":["languages","migrations"]}},{"text":"Today, over 1,200 Austronesian languages are spoken by 400 million people — the second-largest language family by number of languages. From Madagascar to Easter Island, a single family's voyaging legacy spans 206 degrees of longitude.","map_center":[0.0,140.0],"map_zoom":2,"time_point":2000,"highlighted_entities":["msa","tgl","jav","mlg","mri","haw"],"layer_config":{"layers":["languages"]}}]
arabic_golden_age	The Arabic Golden Age	Explore how Arabic became the language of science, philosophy, and innovation during the Islamic Golden Age, preserving Greek knowledge and transmitting it — with Arabic vocabulary — to medieval Europe.	[{"text":"After the rise of Islam in the 7th century, Arabic rapidly expanded from a regional language of the Arabian Peninsula to become the lingua franca of an empire stretching from Spain to Central Asia. The Quran's language became a unifying force.","map_center":[24.5,39.6],"map_zoom":5,"time_point":650,"highlighted_entities":["arb"],"layer_config":{"layers":["languages","civilizations"]}},{"text":"The Abbasid Caliphate's House of Wisdom in Baghdad (c. 800-1258 CE) became the world's greatest center of learning. Scholars translated Greek, Persian, and Indian texts into Arabic — Aristotle, Ptolemy, Galen, and the Indian numeral system all passed through Arabic.","map_center":[33.3,44.4],"map_zoom":6,"time_point":830,"highlighted_entities":["arb"],"layer_config":{"layers":["languages","civilizations"]}},{"text":"Arabic scientific terminology spread globally. 'Algebra' (al-jabr), 'algorithm' (al-Khwarizmi), 'alchemy' (al-kīmiyā), 'alcohol' (al-kuḥl), 'zenith' (samt), 'nadir' (naẓīr) — these Arabic-origin words reveal who was doing cutting-edge science.","map_center":[33.3,44.4],"map_zoom":5,"time_point":900,"highlighted_entities":["arb"],"layer_config":{"layers":["languages"]}},{"text":"In Al-Andalus (Islamic Spain), Arabic coexisted with Romance languages for centuries. The result: Spanish absorbed ~4,000 Arabic loanwords — 'almohada' (pillow), 'aceite' (oil), 'aldea' (village). The 'al-' prefix marks Arabic's fingerprint on Spanish.","map_center":[37.4,-5.0],"map_zoom":5,"time_point":1000,"highlighted_entities":["arb","spa"],"layer_config":{"layers":["languages","civilizations"]}},{"text":"The Toledo School of Translators (12th-13th century) translated Arabic scientific texts into Latin, transmitting centuries of Arabic scholarship to medieval Europe. This was the funnel through which Greek philosophy — preserved and enriched by Arabic scholars — re-entered Western thought.","map_center":[39.9,-4.0],"map_zoom":6,"time_point":1175,"highlighted_entities":["arb","spa","lat"],"layer_config":{"layers":["languages"]}},{"text":"Arabic's legacy in global vocabulary is immense: English 'cotton', 'magazine', 'tariff', 'admiral', 'zero', and 'coffee' all trace to Arabic. The language of the Golden Age didn't just preserve ancient knowledge — it created new knowledge and the words to describe it.","map_center":[30.0,35.0],"map_zoom":3,"time_point":1300,"highlighted_entities":["arb","eng","spa","fra","por"],"layer_config":{"layers":["languages","trade_routes"]}}]
spice_trade	The Spice Trade	Follow the spice routes that connected the Moluccas to Venice, spreading not just pepper and cinnamon but the words for them — a story of how commerce creates shared vocabulary across unrelated languages.	[{"text":"The Spice Islands (Maluku, eastern Indonesia) were the world's only source of cloves, nutmeg, and mace. Malay traders created a maritime trade network spanning Southeast Asia, establishing Malay as the region's trade lingua franca long before European contact.","map_center":[-1.5,128.0],"map_zoom":6,"time_point":100,"highlighted_entities":["msa"],"layer_config":{"layers":["languages","trade_routes"]}},{"text":"Indian Ocean monsoon winds connected Southeast Asia to India, Arabia, and East Africa. Tamil, Arabic, and Malay merchants met at entrepôts like Calicut and Malacca. The Malay word 'kampung' (village) entered English as 'compound'; Tamil 'kari' became 'curry'.","map_center":[10.0,76.0],"map_zoom":4,"time_point":800,"highlighted_entities":["tam","msa","arb"],"layer_config":{"layers":["languages","trade_routes"]}},{"text":"Arabic merchants dominated the western Indian Ocean spice trade for centuries. Arabic 'qirfa' (cinnamon), 'qaranful' (clove), and 'za'faran' (saffron) influenced trade vocabulary across the Mediterranean. 'Saffron' entered English via Arabic from Persian.","map_center":[23.0,55.0],"map_zoom":4,"time_point":1100,"highlighted_entities":["arb","pes"],"layer_config":{"layers":["languages","trade_routes"]}},{"text":"Venice and Genoa monopolized Europe's spice access through Alexandria. Italian commercial vocabulary spread: 'traffic' (from Arabic tafriq via Italian traffico), 'risk' (Italian risco, possibly from Arabic rizq). The spice trade was literally building the language of commerce.","map_center":[45.4,12.3],"map_zoom":5,"time_point":1300,"highlighted_entities":["ita","arb"],"layer_config":{"layers":["languages","trade_routes"]}},{"text":"Portuguese navigator Vasco da Gama reached Calicut in 1498, breaking the Arab-Venetian spice monopoly. Portuguese traders established forts from Goa to Malacca to the Moluccas, and Portuguese pidgin became the first global trade language — ancestor of several Asian creoles.","map_center":[10.0,76.0],"map_zoom":4,"time_point":1500,"highlighted_entities":["por","msa"],"layer_config":{"layers":["languages","trade_routes"]}},{"text":"The Dutch VOC (founded 1602) seized the spice trade, making Malay an administrative language and borrowing terms like 'bamboo' (bambu), 'gong', and 'orangutan' (orang utan, 'forest person'). The quest for spices drove European colonialism and permanently reshaped world languages.","map_center":[0.0,110.0],"map_zoom":3,"time_point":1650,"highlighted_entities":["nld","msa","eng"],"layer_config":{"layers":["languages","trade_routes"]}}]
