id	language_id	verb_concept	infinitive_form	conjugation_table	irregular	complexity_score	notes
vp001	eng	to be	be	{"present":{"1sg":"am","2sg":"are","3sg":"is","1pl":"are","2pl":"are","3pl":"are"},"past":{"1sg":"was","2sg":"were","3sg":"was","1pl":"were","2pl":"were","3pl":"were"},"future":{"1sg":"will be","2sg":"will be","3sg":"will be","1pl":"will be","2pl":"will be","3pl":"will be"},"subjunctive":{"1sg":"be","2sg":"be","3sg":"be","1pl":"be","2pl":"be","3pl":"be"}}	true	8	Highly suppletive: am/is/are/was/were from different roots
vp002	eng	to go	go	{"present":{"1sg":"go","2sg":"go","3sg":"goes","1pl":"go","2pl":"go","3pl":"go"},"past":{"1sg":"went","2sg":"went","3sg":"went","1pl":"went","2pl":"went","3pl":"went"},"future":{"1sg":"will go","2sg":"will go","3sg":"will go","1pl":"will go","2pl":"will go","3pl":"will go"}}	true	4	Suppletive past tense: go/went from different roots
vp003	eng	to give	give	{"present":{"1sg":"give","2sg":"give","3sg":"gives","1pl":"give","2pl":"give","3pl":"give"},"past":{"1sg":"gave","2sg":"gave","3sg":"gave","1pl":"gave","2pl":"gave","3pl":"gave"},"future":{"1sg":"will give","2sg":"will give","3sg":"will give","1pl":"will give","2pl":"will give","3pl":"will give"}}	true	4	Strong verb with ablaut: give/gave/given
vp004	spa	to be	ser	{"present":{"1sg":"soy","2sg":"eres","3sg":"es","1pl":"somos","2pl":"sois","3pl":"son"},"preterite":{"1sg":"fui","2sg":"fuiste","3sg":"fue","1pl":"fuimos","2pl":"fuisteis","3pl":"fueron"},"imperfect":{"1sg":"era","2sg":"eras","3sg":"era","1pl":"éramos","2pl":"erais","3pl":"eran"},"future":{"1sg":"seré","2sg":"serás","3sg":"será","1pl":"seremos","2pl":"seréis","3pl":"serán"},"subjunctive_present":{"1sg":"sea","2sg":"seas","3sg":"sea","1pl":"seamos","2pl":"seáis","3pl":"sean"}}	true	30	Highly suppletive; Spanish has two copulas: ser (permanent) and estar (temporary)
vp005	spa	to go	ir	{"present":{"1sg":"voy","2sg":"vas","3sg":"va","1pl":"vamos","2pl":"vais","3pl":"van"},"preterite":{"1sg":"fui","2sg":"fuiste","3sg":"fue","1pl":"fuimos","2pl":"fuisteis","3pl":"fueron"},"imperfect":{"1sg":"iba","2sg":"ibas","3sg":"iba","1pl":"íbamos","2pl":"ibais","3pl":"iban"},"future":{"1sg":"iré","2sg":"irás","3sg":"irá","1pl":"iremos","2pl":"iréis","3pl":"irán"}}	true	24	Preterite forms identical to ser; suppletive: ir/voy/fui from three different roots
vp006	spa	to give	dar	{"present":{"1sg":"doy","2sg":"das","3sg":"da","1pl":"damos","2pl":"dais","3pl":"dan"},"preterite":{"1sg":"di","2sg":"diste","3sg":"dio","1pl":"dimos","2pl":"disteis","3pl":"dieron"},"imperfect":{"1sg":"daba","2sg":"dabas","3sg":"daba","1pl":"dábamos","2pl":"dabais","3pl":"daban"},"future":{"1sg":"daré","2sg":"darás","3sg":"dará","1pl":"daremos","2pl":"daréis","3pl":"darán"}}	true	24	Irregular in preterite; short monosyllabic forms unusual for -ar verbs
vp007	fra	to be	être	{"present":{"1sg":"suis","2sg":"es","3sg":"est","1pl":"sommes","2pl":"êtes","3pl":"sont"},"imparfait":{"1sg":"étais","2sg":"étais","3sg":"était","1pl":"étions","2pl":"étiez","3pl":"étaient"},"passé_simple":{"1sg":"fus","2sg":"fus","3sg":"fut","1pl":"fûmes","2pl":"fûtes","3pl":"furent"},"futur":{"1sg":"serai","2sg":"seras","3sg":"sera","1pl":"serons","2pl":"serez","3pl":"seront"},"subjonctif":{"1sg":"sois","2sg":"sois","3sg":"soit","1pl":"soyons","2pl":"soyez","3pl":"soient"}}	true	30	Most irregular French verb; suppletive stems: suis/est/sommes/étais/fus/ser-
vp008	fra	to go	aller	{"present":{"1sg":"vais","2sg":"vas","3sg":"va","1pl":"allons","2pl":"allez","3pl":"vont"},"imparfait":{"1sg":"allais","2sg":"allais","3sg":"allait","1pl":"allions","2pl":"alliez","3pl":"allaient"},"futur":{"1sg":"irai","2sg":"iras","3sg":"ira","1pl":"irons","2pl":"irez","3pl":"iront"},"subjonctif":{"1sg":"aille","2sg":"ailles","3sg":"aille","1pl":"allions","2pl":"alliez","3pl":"aillent"}}	true	24	Three suppletive stems: va-/all-/ir-; also used to form near future
vp009	fra	to give	donner	{"present":{"1sg":"donne","2sg":"donnes","3sg":"donne","1pl":"donnons","2pl":"donnez","3pl":"donnent"},"imparfait":{"1sg":"donnais","2sg":"donnais","3sg":"donnait","1pl":"donnions","2pl":"donniez","3pl":"donnaient"},"passé_simple":{"1sg":"donnai","2sg":"donnas","3sg":"donna","1pl":"donnâmes","2pl":"donnâtes","3pl":"donnèrent"},"futur":{"1sg":"donnerai","2sg":"donneras","3sg":"donnera","1pl":"donnerons","2pl":"donnerez","3pl":"donneront"}}	false	24	Regular -er verb; representative of the most common French conjugation class
vp010	ita	to be	essere	{"present":{"1sg":"sono","2sg":"sei","3sg":"è","1pl":"siamo","2pl":"siete","3pl":"sono"},"imperfetto":{"1sg":"ero","2sg":"eri","3sg":"era","1pl":"eravamo","2pl":"eravate","3pl":"erano"},"passato_remoto":{"1sg":"fui","2sg":"fosti","3sg":"fu","1pl":"fummo","2pl":"foste","3pl":"furono"},"futuro":{"1sg":"sarò","2sg":"sarai","3sg":"sarà","1pl":"saremo","2pl":"sarete","3pl":"saranno"}}	true	28	Suppletive: sono/sei/è/ero/fui/sar-; auxiliary for compound tenses
