id	name	category	style_period	origin_date	end_date	origin_coordinates	description	associated_civilizations	associated_languages	key_features	notable_examples
art-001	Egyptian Monumental	architecture	Ancient Egyptian	-3100	-30	{"lat":29.98,"lng":31.13}	Massive stone architecture and sculpture characterized by geometric precision, symbolic proportions, and enduring monumentality	Egyptian	["egy","cop","arb"]	["colossal scale","hieroglyphic decoration","post-and-lintel construction","precise geometric alignment","symbolic proportions"]	["Great Pyramid of Giza","Temple of Karnak","Abu Simbel","Luxor Temple"]
art-002	Greek Classical	sculpture	Classical	-500	-323	{"lat":37.97,"lng":23.72}	Idealized naturalistic sculpture and architecture emphasizing balance, proportion, and human beauty	Greek	["grc","ell"]	["contrapposto pose","idealized human form","mathematical proportions","marble medium","anatomical accuracy"]	["Parthenon Marbles","Discobolus","Venus de Milo","Doryphoros"]
art-003	Roman Art	architecture	Roman Imperial	-27	476	{"lat":41.90,"lng":12.50}	Eclectic artistic tradition combining Greek idealism with Roman pragmatism, known for portraiture, engineering, and monumental building	Roman	["lat","ita"]	["realistic portraiture","concrete construction","arches and vaults","mosaic floors","triumphal monuments"]	["Colosseum","Pantheon","Trajan Column","Pompeii frescoes"]
art-004	Byzantine Art	painting	Byzantine	330	1453	{"lat":41.01,"lng":28.98}	Religious art tradition characterized by iconic imagery, gold backgrounds, and spiritual symbolism in mosaic, fresco, and panel painting	Byzantine	["grc","ell"]	["gold leaf backgrounds","frontal iconic figures","hierarchical scaling","mosaic technique","rich jewel-tone colors"]	["Hagia Sophia mosaics","Christ Pantocrator","Ravenna mosaics","Theotokos of Vladimir"]
art-005	Romanesque	architecture	Medieval	1000	1200	{"lat":46.23,"lng":2.21}	European architectural and decorative style featuring rounded arches, thick walls, and sculptural programs on church portals	Western European	["lat","fra","deu","ita","spa"]	["rounded arches","barrel vaults","massive walls","tympanum sculpture","decorative arcading"]	["Cluny Abbey","Santiago de Compostela","Durham Cathedral","Pisa Cathedral"]
art-006	Gothic	architecture	Medieval	1140	1500	{"lat":49.22,"lng":2.55}	European architectural style defined by pointed arches, ribbed vaults, flying buttresses, and luminous stained glass windows	Western European	["fra","deu","eng","ita","spa"]	["pointed arches","ribbed vaults","flying buttresses","stained glass windows","verticality"]	["Notre-Dame de Paris","Chartres Cathedral","Cologne Cathedral","Sainte-Chapelle"]
art-007	Renaissance	painting	Renaissance	1400	1600	{"lat":43.77,"lng":11.26}	Revival of Classical forms and humanist ideals in art, emphasizing perspective, anatomical accuracy, and individual genius	Italian	["ita","lat"]	["linear perspective","chiaroscuro","oil painting technique","classical subject matter","anatomical precision"]	["Mona Lisa","Sistine Chapel ceiling","Birth of Venus","School of Athens"]
art-008	Baroque	painting	Baroque	1600	1750	{"lat":41.90,"lng":12.50}	Dramatic, emotionally charged art style featuring dynamic compositions, rich color, and theatrical lighting	European	["ita","spa","fra","nld","deu"]	["dramatic lighting","dynamic composition","emotional intensity","rich color palette","trompe-l'oeil"]	["Ecstasy of Saint Teresa","Night Watch","Las Meninas","Calling of Saint Matthew"]
art-009	Islamic Geometric Art	architecture	Islamic Golden Age	700	1700	{"lat":33.31,"lng":44.37}	Decorative tradition featuring complex geometric patterns, arabesques, and calligraphic ornamentation across architecture and objects	Islamic Caliphates	["arb","fas","tur"]	["geometric tessellation","arabesque patterns","calligraphic decoration","muqarnas vaulting","horror vacui"]	["Alhambra palace","Great Mosque of Cordoba","Isfahan mosques","Dome of the Rock"]
art-010	Chinese Landscape Painting	painting	Song Dynasty	960	1912	{"lat":34.26,"lng":108.94}	Contemplative ink-wash painting tradition depicting mountains, rivers, and mist, rooted in Daoist and Buddhist philosophy	Chinese	["cmn","lzh"]	["ink wash technique","empty space composition","mountain-water motifs","calligraphic brushwork","scroll format"]	["Travelers Among Mountains and Streams","Early Spring","Dwelling in the Fuchun Mountains","Along the River During the Qingming Festival"]
