id	name	region	origin_date	end_date	origin_coordinates	associated_language_ids	genre_focus	key_themes	description	notable_authors	influences	sources	wikidata_qid	source_url	retrieved_at	confidence
lit-trad-001	Classical Sanskrit Literature	South Asia	-1500	500	{"lat":28.61,"lng":77.21}	["sanskrit"]	["epic","drama","poetry","philosophy"]	["dharma","cosmic order","heroism","devotion","nature"]	One of the oldest literary traditions, encompassing the Vedas, epics (Mahabharata, Ramayana), and classical drama and poetry	["Valmiki","Vyasa","Kalidasa","Bhasa"]	["Vedic oral tradition"]	["A History of Sanskrit Literature, Keith"]				
lit-trad-002	Classical Greek Literature	Mediterranean	-800	-146	{"lat":37.97,"lng":23.72}	["grc"]	["epic","tragedy","comedy","philosophy","history"]	["fate","honor","hubris","democracy","heroism"]	Foundation of Western literary tradition, from Homeric epics through Athenian drama and philosophical dialogues	["Homer","Sophocles","Euripides","Aristophanes","Plato"]	["Mycenaean oral tradition","Near Eastern mythology"]	["The Cambridge History of Classical Literature"]				
lit-trad-003	Classical Latin Literature	Mediterranean	-240	476	{"lat":41.90,"lng":12.50}	["lat"]	["epic","lyric","satire","oratory","history"]	["empire","duty","love","mortality","civic virtue"]	Roman literary tradition spanning the Republic and Empire, deeply influenced by Greek models while developing distinctive genres like satire	["Virgil","Ovid","Horace","Cicero","Seneca"]	["Classical Greek Literature"]	["The Cambridge History of Classical Literature"]				
lit-trad-004	Classical Chinese Literature	East Asia	-1000	1911	{"lat":39.90,"lng":116.40}	["cmn","lzh"]	["poetry","history","philosophy","novel"]	["nature","governance","harmony","filial piety","impermanence"]	One of the longest continuous literary traditions, from the Book of Songs through Tang poetry and the Four Great Classical Novels	["Li Bai","Du Fu","Cao Xueqin","Luo Guanzhong","Sima Qian"]	["Confucian classics","Daoist philosophy"]	["The Columbia History of Chinese Literature"]				
lit-trad-005	Classical Arabic Literature	Middle East	500	1258	{"lat":24.47,"lng":39.61}	["arb"]	["poetry","prose","philosophy","history"]	["honor","love","desert","faith","knowledge"]	Rich tradition from pre-Islamic poetry through the golden age of Abbasid literature, deeply intertwined with Islamic civilization	["Al-Mutanabbi","Abu Nuwas","Al-Jahiz","Ibn Khaldun"]	["Pre-Islamic oral poetry","Persian literary tradition"]	["Arabic Literature, Nicholson"]				
lit-trad-006	Classical Japanese Literature	East Asia	700	1868	{"lat":35.01,"lng":135.77}	["jpn"]	["poetry","novel","diary","drama"]	["impermanence","nature","beauty","court life","duty"]	Distinguished by aesthetic refinement, from Man'yoshu poetry through The Tale of Genji and Noh drama	["Murasaki Shikibu","Matsuo Basho","Sei Shonagon","Chikamatsu"]	["Classical Chinese Literature","Buddhist philosophy"]	["A History of Japanese Literature, Keene"]				
lit-trad-007	Old English Literature	Northern Europe	650	1100	{"lat":51.75,"lng":-1.25}	["ang"]	["epic","elegy","riddle","chronicle"]	["fate","exile","heroism","Christian faith","transience"]	Anglo-Saxon literary tradition combining Germanic heroic verse with Christian themes	["Cynewulf"]	["Germanic oral tradition","Latin Christian literature"]	["The Cambridge Companion to Old English Literature"]				
lit-trad-008	Persian Classical Literature	Central Asia	800	1500	{"lat":32.65,"lng":51.68}	["fas"]	["epic","lyric","mystical poetry","prose"]	["love","mysticism","heroism","wisdom","beauty"]	Persian literary golden age producing some of the world's greatest epic and lyric poetry	["Ferdowsi","Rumi","Hafez","Saadi","Omar Khayyam"]	["Pre-Islamic Persian tradition","Arabic literature","Sufi philosophy"]	["Persian Literature, Rypka"]				
lit-trad-009	Medieval European Literature	Europe	1000	1500	{"lat":48.85,"lng":2.35}	["fro","pro","deu","ita"]	["romance","allegory","lyric","chronicle"]	["chivalry","courtly love","faith","quest","honor"]	Vernacular literary traditions of medieval Europe including troubadour poetry, chivalric romance, and allegory	["Chretien de Troyes","Dante Alighieri","Geoffrey Chaucer","Wolfram von Eschenbach"]	["Classical Latin Literature","Celtic mythology","Arabic literature"]	["The Cambridge History of Medieval English Literature"]				
lit-trad-010	Classical Tamil Literature	South Asia	-300	600	{"lat":10.79,"lng":78.70}	["tam"]	["poetry","grammar","ethics"]	["love","war","nature","virtue","landscape"]	Sangam literature and post-Sangam works forming one of the oldest classical literary traditions in India	["Thiruvalluvar","Ilango Adigal","Avvaiyar"]	["Dravidian oral tradition"]	["A History of Indian Literature, Zvelebil"]				
