id	name	category	culture_profile_ids	year_invented	region_of_origin	description	diffusion_path	related_innovations	associated_languages	sources
inn-001	Cuneiform Writing	writing	["cp-sumerian","cp-akkadian","cp-babylonian","cp-assyrian"]	-3200	Mesopotamia (Uruk)	The earliest known writing system, using wedge-shaped marks on clay tablets. Enabled record-keeping, literature, and administration across Mesopotamian civilizations.	["cp-sumerian","cp-akkadian","cp-babylonian","cp-hittite","cp-persian-achaemenid"]	["inn-004"]	["sumerian","akkadian"]	["Walker 1987","Cooper 2004"]
inn-002	The Wheel	transportation	["cp-sumerian","cp-akkadian"]	-3500	Mesopotamia	Solid wooden wheel used first for pottery, then adapted for chariots and carts. Revolutionized transport and warfare across Eurasia.	["cp-sumerian","cp-hittite","cp-ancient-egypt","cp-ancient-greek","cp-roman"]	["inn-011"]	["sumerian"]	["Anthony 2007"]
inn-003	Bronze Metallurgy	metallurgy	["cp-sumerian","cp-akkadian","cp-ancient-egypt","cp-minoan"]	-3300	Mesopotamia and the Near East	Alloying copper with tin (or arsenic) to produce harder, more durable tools and weapons. Defined the Bronze Age across Eurasia.	["cp-minoan","cp-mycenaean","cp-ancient-egypt","cp-hittite"]	["inn-007"]	["sumerian","akkadian"]	["Radivojevic 2013"]
inn-004	Papyrus	writing	["cp-ancient-egypt"]	-3000	Egypt (Nile Delta)	Writing surface made from pressed reed strips, lighter and more portable than clay tablets. Enabled long literary and administrative texts.	["cp-ancient-egypt","cp-phoenician","cp-ancient-greek","cp-roman"]	["inn-001"]	["egy","grc","lat"]	["Parkinson 1995"]
inn-005	Alphabet	writing	["cp-phoenician"]	-1200	Levant (Phoenicia)	The first true phonetic alphabet, consisting of 22 consonant letters. Ancestor of Greek, Latin, Hebrew, Arabic, and nearly all modern alphabets.	["cp-phoenician","cp-ancient-greek","cp-roman","cp-carthaginian"]	["inn-001","inn-004"]	["phn","grc","lat","arb"]	["Naveh 1982","Sass 1988"]
inn-006	Qanat Irrigation	water_management	["cp-persian-achaemenid","cp-sasanian"]	-1000	Persian Plateau	Underground aqueduct system tapping mountain aquifers to bring water to arid lowlands without evaporation loss. Still in use today.	["cp-persian-achaemenid","cp-parthian","cp-sasanian","cp-nabataean"]	[]	["peo","pal"]	["English 1968","Beaumont 1989"]
inn-007	Iron Smelting	metallurgy	["cp-hittite","cp-assyrian"]	-1500	Anatolia (Hittite Empire)	Smelting and working iron ore into tools and weapons, harder and cheaper than bronze. Launched the Iron Age across Eurasia.	["cp-hittite","cp-assyrian","cp-ancient-greek","cp-roman"]	["inn-003"]	["hit"]	["Muhly 1985","Yalçın 1999"]
inn-008	Concrete (Opus Caementicium)	construction	["cp-roman"]	-300	Roman Italy	Hydraulic concrete using volcanic ash (pozzolana), enabling aqueducts, domes, and harbors that endure for millennia.	["cp-roman","cp-byzantine"]	[]	["lat"]	["Lancaster 2005"]
inn-009	Zero and Decimal System	mathematics	["cp-gupta","cp-chola"]	500	India	The positional decimal numeral system including a symbol for zero. Basis of modern arithmetic, transmitted through Arabic scholars to medieval Europe.	["cp-gupta","cp-abbasid","cp-medieval-european"]	[]	["san","arb"]	["Ifrah 2000","Plofker 2009"]
inn-010	Paper	writing	["cp-han","cp-tang"]	-100	Han China	Pressed plant-fiber writing material, later refined by Cai Lun (c. 105 CE). Transformed literacy, record-keeping, and printing worldwide.	["cp-han","cp-tang","cp-abbasid","cp-al-andalus","cp-medieval-european"]	["inn-004"]	["cmn","arb"]	["Tsien 1985"]
