Cuisine,Item Number,Food Item,Food Type
Chinese,1,Peking Duck,Main Dish
Chinese,2,Kung Pao Chicken,Stir-Fry
Chinese,3,Sweet and Sour Pork,Main Dish
Chinese,4,Mapo Tofu,Main Dish
Chinese,5,Dim Sum,Appetizer
Chinese,6,Xiaolongbao,Dumpling
Chinese,7,Dumplings,Dumpling
Chinese,8,Spring Rolls,Appetizer
Chinese,9,Fried Rice,Rice Dish
Chinese,10,Chow Mein,Noodle Dish
Chinese,11,Lo Mein,Noodle Dish
Chinese,12,Dan Dan Noodles,Noodle Dish
Chinese,13,Wonton Soup,Soup
Chinese,14,Hot and Sour Soup,Soup
Chinese,15,Egg Drop Soup,Soup
Chinese,16,Congee,Rice Porridge
Chinese,17,Char Siu,Grilled Meat
Chinese,18,General Tso's Chicken,Main Dish
Chinese,19,Orange Chicken,Main Dish
Chinese,20,Mongolian Beef,Main Dish
Chinese,21,Beef and Broccoli,Stir-Fry
Chinese,22,Moo Shu Pork,Main Dish
Chinese,23,Twice Cooked Pork,Main Dish
Chinese,24,Hong Shao Rou,Stew
Chinese,25,Dongpo Pork,Main Dish
Chinese,26,Sichuan Hot Pot,Hot Pot
Chinese,27,Chongqing Chicken,Stir-Fry
Chinese,28,Fish Fragrant Eggplant,Stir-Fry
Chinese,29,Gong Bao Shrimp,Stir-Fry
Chinese,30,Salt and Pepper Squid,Fried Food
Chinese,31,Steamed Fish,Main Dish
Chinese,32,Braised Abalone,Main Dish
Chinese,33,Sea Cucumber,Main Dish
Chinese,34,Bird's Nest Soup,Soup
Chinese,35,Shark Fin Soup,Soup
Chinese,36,Buddha's Delight,Vegetable Dish
Chinese,37,Ma La Xiang Guo,Stir-Fry
Chinese,38,Chuan Chuan,Street Food
Chinese,39,Jianbing,Street Food
Chinese,40,Roujiamo,Sandwich
Chinese,41,Baozi,Steamed Bun
Chinese,42,Mantou,Steamed Bun
Chinese,43,Scallion Pancake,Flatbread
Chinese,44,Ramen (Chinese style),Noodle Soup
Chinese,45,Lanzhou Beef Noodles,Noodle Soup
Chinese,46,Guilin Rice Noodles,Noodle Dish
Chinese,47,Zhajiangmian,Noodle Dish
Chinese,48,Biang Biang Noodles,Noodle Dish
Chinese,49,Shengjianbao,Fried Bun
Chinese,50,Guotie,Dumpling
Chinese,51,Shumai,Dumpling
Chinese,52,Har Gow,Dumpling
Chinese,53,Cheung Fun,Rice Roll
Chinese,54,Turnip Cake,Dim Sum
Chinese,55,Taro Cake,Dim Sum
Chinese,56,Egg Tart,Dessert
Chinese,57,Pineapple Bun,Bread
Chinese,58,Coconut Bun,Bread
Chinese,59,BBQ Pork Bun,Steamed Bun
Chinese,60,Custard Bun,Steamed Bun
Chinese,61,Zongzi,Rice Dumpling
Chinese,62,Nian Gao,Rice Cake
Chinese,63,Tangyuan,Dessert
Chinese,64,Mooncake,Dessert
Chinese,65,Sesame Balls,Dessert
Chinese,66,Almond Cookie,Cookie
Chinese,67,Fortune Cookie,Cookie
Chinese,68,Dragon's Beard Candy,Candy
Chinese,69,White Rabbit Candy,Candy
Chinese,70,Haw Flakes,Candy
Chinese,71,Century Egg,Appetizer
Chinese,72,Tea Egg,Snack
Chinese,73,Soy Sauce Egg,Side Dish
Chinese,74,Preserved Vegetables,Pickle
Chinese,75,Pickled Cucumber,Pickle
Chinese,76,Wood Ear Mushroom,Side Dish
Chinese,77,Bok Choy,Side Dish
Chinese,78,Chinese Broccoli,Side Dish
Chinese,79,Water Spinach,Side Dish
Chinese,80,Lotus Root,Side Dish
Chinese,81,Bamboo Shoots,Side Dish
Chinese,82,Baby Corn,Side Dish
Chinese,83,Snow Peas,Side Dish
Chinese,84,Edamame,Snack
Chinese,85,Roasted Chestnuts,Snack
Chinese,86,Sunflower Seeds,Snack
