id	source_id	source_name	target_id	target_name	relationship_type	time_start	time_end	confidence	evidence_types	description	sources
cl-001	proto_indo_european	Proto-Indo-European	proto_anatolian	Proto-Anatolian	split-from	-4500	-3500	80	["linguistic","archaeological"]	Earliest attested branch split from PIE	["Anthony 2007","Ringe 2006"]
cl-002	proto_indo_european	Proto-Indo-European	proto_tocharian	Proto-Tocharian	split-from	-3500	-2500	70	["linguistic"]	Tocharian branch separation	["Mallory & Adams 2006"]
cl-003	proto_indo_european	Proto-Indo-European	proto_indo_iranian	Proto-Indo-Iranian	split-from	-2500	-2000	85	["linguistic","archaeological","genetic"]	Indo-Iranian separation from PIE via Sintashta	["Anthony 2007","Beckwith 2009"]
cl-004	proto_indo_iranian	Proto-Indo-Iranian	proto_iranian	Proto-Iranian	split-from	-2000	-1500	85	["linguistic","archaeological"]	Iranian branch separation	["Mallory & Adams 2006"]
cl-005	proto_indo_iranian	Proto-Indo-Iranian	proto_indo_aryan	Proto-Indo-Aryan	split-from	-2000	-1500	85	["linguistic","archaeological","genetic"]	Indo-Aryan migration into South Asia	["Anthony 2007","Witzel 2001"]
cl-006	proto_indo_european	Proto-Indo-European	proto_greek	Proto-Greek	split-from	-2500	-2000	80	["linguistic","archaeological"]	Greek branch separation	["Fortson 2010"]
cl-007	proto_indo_european	Proto-Indo-European	proto_italic	Proto-Italic	split-from	-2500	-2000	75	["linguistic","archaeological"]	Italic branch enters Italy	["Fortson 2010"]
cl-008	proto_indo_european	Proto-Indo-European	proto_celtic	Proto-Celtic	split-from	-2500	-2000	75	["linguistic","archaeological"]	Celtic branch separation, Hallstatt culture	["Koch 2006","Cunliffe 2003"]
cl-009	proto_indo_european	Proto-Indo-European	proto_germanic	Proto-Germanic	split-from	-2500	-1500	80	["linguistic","archaeological"]	Germanic branch separation in Scandinavia	["Ringe 2006"]
cl-010	proto_indo_european	Proto-Indo-European	proto_balto_slavic	Proto-Balto-Slavic	split-from	-2500	-1500	80	["linguistic"]	Balto-Slavic branch separation	["Fortson 2010"]
cl-011	proto_balto_slavic	Proto-Balto-Slavic	proto_slavic	Proto-Slavic	split-from	-1500	-500	80	["linguistic"]	Slavic split from Balto-Slavic	["Sussex & Cubberley 2006"]
cl-012	proto_balto_slavic	Proto-Balto-Slavic	proto_baltic	Proto-Baltic	split-from	-1500	-500	75	["linguistic"]	Baltic split from Balto-Slavic	["Dini 2014"]
cl-013	yamnaya	Yamnaya Culture	corded_ware	Corded Ware Culture	gave-rise-to	-3000	-2500	75	["archaeological","genetic"]	Yamnaya expansions into Central Europe	["Haak et al. 2015","Allentoft et al. 2015"]
cl-014	yamnaya	Yamnaya Culture	afanasievo	Afanasievo Culture	gave-rise-to	-3300	-2500	80	["archaeological","genetic"]	Eastern Yamnaya migration to Altai	["Anthony 2007"]
cl-015	corded_ware	Corded Ware Culture	bell_beaker	Bell Beaker Culture	influenced	-2800	-2200	60	["archaeological","genetic"]	Cultural exchange between Corded Ware and Bell Beaker	["Olalde et al. 2018"]
cl-016	proto_afroasiatic	Proto-Afroasiatic	proto_semitic	Proto-Semitic	split-from	-10000	-6000	70	["linguistic"]	Semitic branch separation from Afroasiatic	["Ehret 1995"]
cl-017	proto_afroasiatic	Proto-Afroasiatic	proto_berber	Proto-Berber	split-from	-8000	-5000	65	["linguistic"]	Berber branch separation	["Blench 2006"]
cl-018	proto_afroasiatic	Proto-Afroasiatic	proto_cushitic	Proto-Cushitic	split-from	-8000	-5000	65	["linguistic"]	Cushitic branch separation	["Ehret 1995"]
cl-019	proto_afroasiatic	Proto-Afroasiatic	ancient_egyptian	Ancient Egyptian	split-from	-6000	-4000	70	["linguistic","archaeological"]	Egyptian branch, oldest attested Afroasiatic	["Loprieno 1995"]
cl-020	proto_semitic	Proto-Semitic	akkadian	Akkadian	split-from	-3500	-2500	85	["linguistic","archaeological"]	Earliest attested Semitic language	["Huehnergard 2011"]
cl-021	proto_semitic	Proto-Semitic	proto_northwest_semitic	Proto-Northwest Semitic	split-from	-3000	-2000	75	["linguistic"]	Northwest Semitic branch	["Huehnergard 2011"]
cl-022	proto_semitic	Proto-Semitic	proto_south_semitic	Proto-South Semitic	split-from	-3000	-2000	70	["linguistic"]	South Semitic branch	["Hetzron 1997"]
cl-023	proto_niger_congo	Proto-Niger-Congo	proto_bantu	Proto-Bantu	split-from	-3000	-2000	75	["linguistic","archaeological"]	Bantu branch separation in West Africa	["Vansina 1995"]
cl-024	proto_bantu	Proto-Bantu	eastern_bantu	Eastern Bantu	split-from	-1000	0	70	["linguistic","archaeological","genetic"]	Eastern Bantu expansion to Great Lakes	["Phillipson 2005"]
cl-025	proto_bantu	Proto-Bantu	western_bantu	Western Bantu	split-from	-1000	0	70	["linguistic","archaeological"]	Western Bantu expansion through Congo Basin	["Vansina 1995"]
cl-026	proto_austronesian	Proto-Austronesian	proto_malayo_polynesian	Proto-Malayo-Polynesian	split-from	-3000	-2500	85	["linguistic","archaeological"]	Out of Taiwan, Austronesian expansion begins	["Bellwood 2005"]
cl-027	proto_malayo_polynesian	Proto-Malayo-Polynesian	proto_oceanic	Proto-Oceanic	split-from	-2000	-1500	80	["linguistic","archaeological"]	Oceanic branch reaches Melanesia	["Ross et al. 2016"]
