id	culture_profile_id	year	lane	event_type	title	description	magnitude	sources
ce-001	cp-sumerian	-4500	political	founding	Emergence of Sumerian City-States	Independent city-states form in southern Mesopotamia with the first urban centers.	major	["Kramer, The Sumerians"]
ce-002	cp-sumerian	-3300	technology	innovation	Invention of Cuneiform Writing	First known writing system emerges from pictographic token accounting in Uruk.	major	["Schmandt-Besserat, Before Writing"]
ce-003	cp-sumerian	-3000	urbanism	expansion	Rise of Uruk as Metropolis	Uruk grows to ~40,000 people, becoming the largest city in the world.	major	["Liverani, Uruk: The First City"]
ce-004	cp-sumerian	-2900	political	transition	Early Dynastic Period Begins	Sumerian city-states enter era of dynastic kingship and frequent warfare.	moderate	["Crawford, Sumer and the Sumerians"]
ce-005	cp-sumerian	-2500	religion	development	Ziggurat Temple Complexes	Massive stepped temples dedicated to city deities become dominant religious architecture.	moderate	["Crawford, Sumer and the Sumerians"]
ce-006	cp-sumerian	-2334	political	conquest	Akkadian Conquest	Sargon of Akkad unifies Sumerian city-states under Akkadian rule.	major	["Kuhrt, The Ancient Near East"]
ce-007	cp-sumerian	-2112	political	revival	Ur III Renaissance	Sumerian cultural and political revival under the Third Dynasty of Ur.	moderate	["Kuhrt, The Ancient Near East"]
ce-008	cp-sumerian	-2000	political	decline	Sumerian Political Extinction	Sumerian identity absorbed into Babylonian culture; language survives only in religious contexts.	major	["Kuhrt, The Ancient Near East"]
ce-009	cp-akkadian	-2334	political	founding	Sargon Founds Akkadian Empire	Sargon of Akkad establishes the world's first empire through conquest.	major	["Kuhrt, The Ancient Near East"]
ce-010	cp-akkadian	-2250	territory	expansion	Naram-Sin's Maximum Extent	Empire reaches peak territory from the Mediterranean to the Persian Gulf.	major	["Liverani, The Ancient Near East"]
ce-011	cp-akkadian	-2154	political	collapse	Gutian Invasion and Collapse	Akkadian Empire falls to Gutian invaders combined with internal decay.	major	["Liverani, The Ancient Near East"]
ce-012	cp-ancient-egypt	-3100	political	founding	Unification by Narmer	Upper and Lower Egypt unified under the first pharaoh, Narmer.	major	["Shaw, Oxford History of Ancient Egypt"]
ce-013	cp-ancient-egypt	-2686	urbanism	expansion	Old Kingdom and Pyramid Age	Memphis becomes royal capital; great pyramids of Giza constructed.	major	["Shaw, Oxford History of Ancient Egypt"]
ce-014	cp-ancient-egypt	-2181	political	decline	First Intermediate Period	Central authority collapses; regional nomarchs rule independently.	moderate	["Shaw, Oxford History of Ancient Egypt"]
ce-015	cp-ancient-egypt	-2055	political	revival	Middle Kingdom Reunification	Mentuhotep II reunifies Egypt, ushering in Middle Kingdom stability.	moderate	["Shaw, Oxford History of Ancient Egypt"]
ce-016	cp-ancient-egypt	-1550	technology	innovation	Bronze Weapons and Chariots	New Kingdom military modernizes with horse-drawn chariots and bronze arms.	moderate	["Shaw, Oxford History of Ancient Egypt"]
ce-017	cp-ancient-egypt	-1353	religion	reform	Atenist Monotheism Attempt	Akhenaten abolishes traditional polytheism in favor of sun-disk Aten worship.	major	["Hornung, Akhenaten and the Religion of Light"]
ce-018	cp-ancient-egypt	-1336	religion	restoration	Return to Traditional Religion	Tutankhamun restores polytheistic worship; Atenist revolution is erased.	moderate	["Hornung, Akhenaten and the Religion of Light"]
ce-019	cp-ancient-egypt	-525	political	conquest	Persian Conquest	Cambyses II conquers Egypt; becomes a satrapy of the Achaemenid Empire.	major	["Shaw, Oxford History of Ancient Egypt"]
ce-020	cp-ancient-egypt	-332	language	shift	Hellenization Begins	Alexander conquers Egypt; Greek becomes language of administration under Ptolemies.	major	["Bagnall, Egypt in Late Antiquity"]
ce-021	cp-ancient-greek	-800	urbanism	expansion	Rise of the Polis	Independent city-states (polis) emerge across Greece and Aegean.	major	["Hansen, Polis"]
ce-022	cp-ancient-greek	-776	religion	development	First Olympic Games	Panhellenic religious festivals consolidate Greek cultural identity.	moderate	["Hansen, Polis"]
ce-023	cp-ancient-greek	-508	political	reform	Athenian Democracy	Cleisthenes establishes the world's first democracy in Athens.	major	["Ober, Democracy and Knowledge"]
ce-024	cp-ancient-greek	-480	political	victory	Persian Wars Victory	Greek city-states repel Persian invasions at Salamis and Plataea.	major	["Herodotus, Histories"]
ce-025	cp-ancient-greek	-431	political	war	Peloponnesian War	Athens and Sparta fight devastating 27-year war ending Athenian hegemony.	major	["Thucydides, History of the Peloponnesian War"]
ce-026	cp-ancient-greek	-336	political	conquest	Alexander's Conquests Begin	Alexander the Great begins conquest of Persian Empire and spreads Greek culture.	major	["Green, Alexander of Macedon"]
ce-027	cp-ancient-greek	-146	political	conquest	Roman Conquest of Greece	Greece becomes a Roman province after sack of Corinth.	major	["Gruen, The Hellenistic World and Rome"]
ce-028	cp-roman	-509	political	founding	Roman Republic Founded	Overthrow of Tarquin the Proud establishes the Roman Republic.	major	["Livy, Ab Urbe Condita"]
ce-029	cp-roman	-264	political	war	First Punic War	Rome challenges Carthage for Mediterranean dominance.	moderate	["Goldsworthy, The Fall of Carthage"]
ce-030	cp-roman	-27	political	transition	Augustus Becomes First Emperor	Republic transitions to Empire under Octavian/Augustus.	major	["Galinsky, Augustan Culture"]
ce-031	cp-roman	117	territory	expansion	Empire Peaks Under Trajan	Maximum territorial extent from Britain to Mesopotamia.	major	["Bennett, Trajan"]
