id	name	parent_id	haplogroup_type	description	associated_language_family_ids	associated_civilization_ids	geographic_origin	time_origin	sources
a	A	null	Y-chromosome	Associated with: Khoisan, Nilo-Saharan	["khoisan","nilo-saharan"]	[]	East Africa	-275000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
b	B	null	Y-chromosome	Associated with: Nilo-Saharan, Pygmy, Hadza	["nilo-saharan","hadza"]	[]	Central Africa	-88000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
ct	CT	null	Y-chromosome	Y-chromosome haplogroup CT	[]	[]	Africa	-70000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
cf	CF	ct	Y-chromosome	Y-chromosome haplogroup CF	[]	[]	Southwest Asia	-68000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
c	C	cf	Y-chromosome	Associated with: Mongolian, Tungusic, Chukotko-Kamchatkan, Nivkh, Turkic, Ainu, Na-Dené, Algonquian, Siouan, Aboriginal Australian	["mongolian","tungusic","chukotko-kamchatkan","nivkh","turkic","ainu","na-dené","algonquian","siouan","aboriginal-australian"]	[]	Central Asia	-60000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
c-star	C-star	c	Y-chromosome	Associated with: Aboriginal Australian	["aboriginal-australian"]	[]	Central Asia	-60000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
c2	C2	c	Y-chromosome	Associated with: Mongolian, Tungusic, Chukotko-Kamchatkan, Nivkh, Turkic, Ainu, Na-Dené	["mongolian","tungusic","chukotko-kamchatkan","nivkh","turkic","ainu","na-dené"]	[]		-40000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
c-p39	C-P39	c	Y-chromosome	Associated with: Na-Dené, Algonquian, Siouan	["na-dené","algonquian","siouan"]	[]	Central Asia	-15000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
f	F	cf	Y-chromosome	Associated with: Dravidian	["dravidian"]	[]	South Asia	-48000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
g	G	f	Y-chromosome	Associated with: Hattian, Kaskian, EEF (Ötzi), ANF, Kalash, Brahui	["hattian","kaskian","eef-(ötzi)","brahui"]	[]	Caucasus	-45000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
g1	G1	g	Y-chromosome	Associated with: Madjar, Argyn	["madjar","argyn"]	[]	Central Asia	-20000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
g2	G2	g	Y-chromosome	Associated with: ANF, EEF, Northwest Caucasian, Hattian, Kaskian, South Caucasian, Ossetian, Svan, Sardinian, Corsican	["northwest-caucasian","hattian","kaskian","south-caucasian","ossetian","svan","sardinian","corsican"]	[]	Caucasus/Anatolia	-25000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
g2a	G2A	g2	Y-chromosome	Associated with: Elamite, Lurs	["elamite","lurs"]	[]	Iran	-15000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
hijk	HIJK	f	Y-chromosome	Y-chromosome haplogroup HIJK	[]	[]		-44000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
h	H	hijk	Y-chromosome	Associated with: Dravidian, Roma	["dravidian"]	[]	South Asia	-42000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
i	I	h	Y-chromosome	Associated with: Cro-Magnon, Aurignacian, Gravettian, Epi-Gravettian, Solutrean, Magdalenian, Pitted Ware, Northwest Caucasian, Northeast Caucasian	["northwest-caucasian","northeast-caucasian"]	[]	Europe	-35000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
i1	I1	i	Y-chromosome	Associated with: Scandinavian	["scandinavian"]	[]	Scandinavia	-5000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
i2	I2	i	Y-chromosome	Associated with: Balkan, Sardinian	["balkan","sardinian"]	[]	Balkans	-18000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
j	J	h	Y-chromosome	Associated with: South Caucasian, Northeast Caucasian, Semitic, Arab	["south-caucasian","northeast-caucasian","semitic","arab"]	[]	Middle East	-32000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
j1	J1	j	Y-chromosome	Associated with: Avar-Andic, Dargin, Lezgin, Lak, Semitic	["avar-andic","dargin","lezgin","lak","semitic"]	[]	Middle East	-20000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
j1-page08	J1-Page08	j1	Y-chromosome	Associated with: Sumerian, Marsh Arab	["sumerian"]	[]	Middle East	-8000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
j2	J2	j	Y-chromosome	Associated with: Elamite, Lurs, Nakh	["elamite","lurs","nakh"]	[]	Caucasus/Anatolia	-25000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
k	K	h	Y-chromosome	Associated with: Negrito, Melanesian, Micronesian, Aboriginal Australian	["melanesian","micronesian","aboriginal-australian"]	[]	Southeast Asia	-45000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
l	L	k	Y-chromosome	Associated with: Indus Valley Civilization, Dravidian	["dravidian"]	[]	South Asia	-30000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
t	T	k	Y-chromosome	Associated with: Somali (Dir, Isaaq), Yerukala, Lodha, Toubou	["somali-(dir","isaaq)","yerukala","lodha","toubou"]	[]	Middle East	-28000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
m	M	k	Y-chromosome	Associated with: Papuan, Micronesian, Melanesian	["papuan","micronesian","melanesian"]	[]	Melanesia	-40000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
no	NO	k	Y-chromosome	Y-chromosome haplogroup NO	[]	[]		-38000	["ISOGG Y-DNA Haplogroup Tree","Genetic studies"]
