id	culture_profile_id	structure_type	name	description	key_roles	inheritance_pattern	decision_making	related_kinship_system_id	time_period_start	time_period_end	sources
ss-001	cp-roman	government	Roman Republic	A republican system with elected magistrates, a senate of aristocrats, and popular assemblies. Power was distributed among consuls, praetors, and tribunes with annual terms.	Consul|Senator|Praetor|Tribune|Censor|Quaestor|Aedile	patrilineal	oligarchic	kin-029	-509	-27	Polybius, Histories; Livy, Ab Urbe Condita
ss-002	cp-roman	government	Roman Empire (Principate)	Autocratic rule disguised as restoration of the Republic. The emperor held supreme military and civil authority while maintaining senatorial institutions.	Emperor|Prefect|Legate|Proconsul|Senator	primogeniture	autocratic	kin-029	-27	284	Suetonius, Lives of the Caesars; Tacitus, Annals
ss-003	cp-roman	class_hierarchy	Roman Social Orders	A rigid hierarchy of patricians, equestrians, plebeians, freedmen, and slaves. Social mobility was possible through wealth, military service, or manumission.	Patrician|Equestrian|Plebeian|Freedman|Slave	patrilineal	oligarchic	kin-029	-753	476	Cornell, The Beginnings of Rome
ss-004	cp-roman	family_structure	Roman Patria Potestas	The male head of household (paterfamilias) held absolute legal authority over all family members including adult sons, and controlled family property.	Paterfamilias|Materfamilias|Filius|Filia	patrilineal	autocratic	kin-029	-753	476	Crook, Law and Life of Rome
ss-005	cp-roman	legal_system	Roman Law	A sophisticated legal system evolving from the Twelve Tables through juristic interpretation. Distinguished between ius civile, ius gentium, and ius naturale.	Praetor|Jurisconsult|Iudex|Advocatus	patrilineal	oligarchic	kin-029	-450	565	Watson, The Spirit of Roman Law
ss-006	cp-roman	military_organization	Roman Legion System	Professional standing army organized into legions of approximately 5,000 men. Soldiers served 20-25 year terms and received land grants upon discharge.	Legatus|Tribunus|Centurion|Optio|Legionary	patrilineal	autocratic	kin-029	-107	476	Goldsworthy, The Complete Roman Army
ss-007	cp-roman	religious_hierarchy	Roman State Religion	A polytheistic system with state-funded priesthoods. The pontifex maximus oversaw religious observance, and the emperor later absorbed this role.	Pontifex Maximus|Flamen|Augur|Vestal Virgin|Haruspex	patrilineal	autocratic	kin-029	-753	380	Beard, North & Price, Religions of Rome
ss-008	cp-roman	education_system	Roman Education	Education progressed from home tutoring to grammar schools (ludus) and rhetorical training. Greek tutors and pedagogues were common among the elite.	Litterator|Grammaticus|Rhetor|Paedagogus	patrilineal	autocratic	kin-029	-200	476	Bonner, Education in Ancient Rome
ss-009	cp-greek-athens	government	Athenian Democracy	A direct democracy where male citizens participated in the Assembly (Ekklesia). Laws were proposed by the Council of 500 (Boule) chosen by lot.	Archon|Strategos|Bouleutes|Dikastes|Rhetor	patrilineal	democratic	kin-029	-508	-322	Hansen, The Athenian Democracy in the Age of Demosthenes
ss-010	cp-greek-athens	class_hierarchy	Athenian Social Classes	Athenian society divided citizens into property classes (Solonic), with metics (resident foreigners) and slaves occupying lower social positions.	Pentakosiomedimnos|Hippeis|Zeugitai|Thetes|Metic|Slave	patrilineal	democratic	kin-029	-594	-322	Ober, Mass and Elite in Democratic Athens
ss-011	cp-greek-athens	family_structure	Athenian Oikos	The household (oikos) was the basic social unit managed by a male kyrios. Women were under guardianship of fathers, husbands, or nearest male relative.	Kyrios|Wife|Son|Daughter|Slave	patrilineal	autocratic	kin-029	-800	-322	Lacey, The Family in Classical Greece
ss-012	cp-greek-athens	legal_system	Athenian Law Courts	Popular courts (dikasteria) with large citizen juries decided cases. There was no professional judiciary; citizens prosecuted and defended cases themselves.	Dikastes|Litigant|Logographer|Archon	patrilineal	democratic	kin-029	-508	-322	Todd, The Shape of Athenian Law
ss-013	cp-greek-athens	education_system	Athenian Paideia	Boys received instruction in reading, music, and gymnastics. Higher education included rhetoric and philosophy through schools like the Academy and Lyceum.	Grammatistes|Kitharistes|Paidotribes|Philosopher	patrilineal	democratic	kin-029	-600	-322	Marrou, A History of Education in Antiquity
ss-014	cp-greek-athens	religious_hierarchy	Athenian State Religion	Civic religion centered on the polis with public festivals, sacrifices, and oracles. Priesthoods were often hereditary or filled by lot.	Hiereus|Hiereia|Oracle|Mystagogue	patrilineal	democratic	kin-029	-800	-322	Parker, Athenian Religion: A History
ss-015	cp-greek-sparta	government	Spartan Dual Monarchy	A mixed constitution with two hereditary kings, a council of elders (Gerousia), elected ephors, and a citizen assembly (Apella). The ephors held significant executive power.	King|Ephor|Geront|Spartan Citizen	patrilineal	oligarchic	kin-029	-800	-192	Cartledge, Sparta and Lakonia
ss-016	cp-greek-sparta	class_hierarchy	Spartan Social Hierarchy	Spartiate citizens (homoioi) were a warrior elite supported by perioikoi (free non-citizens) and helots (state-owned serfs tied to the land).	Spartiate|Perioikos|Helot|Mothax	patrilineal	oligarchic	kin-029	-800	-192	Hodkinson, Property and Wealth in Classical Sparta
ss-017	cp-greek-sparta	military_organization	Spartan Agoge and Army	Males entered the agoge training system at age 7 and served in the army until 60. The phalanx formation and collective mess (syssitia) defined Spartan military life.	King|Polemarch|Lochagos|Pentekoster|Enomotarch|Hoplite	patrilineal	oligarchic	kin-029	-700	-371	Lazenby, The Spartan Army
ss-018	cp-greek-sparta	gender_roles	Spartan Women's Status	Spartan women had more freedom than other Greek women, owning property, receiving physical training, and managing estates while men were at war or in barracks.	Mother|Wife|Property Owner|Trainer	patrilineal	oligarchic	kin-029	-800	-192	Pomeroy, Spartan Women
ss-019	cp-greek-sparta	education_system	Spartan Agoge	A mandatory state-run education and training program for boys from age 7 to 20. It emphasized discipline, endurance, military skills, and loyalty to Sparta.	Paidonomos|Eiren|Pais|Melliren	patrilineal	autocratic	kin-029	-700	-192	Kennell, The Gymnasium of Virtue
ss-020	cp-egypt	government	Pharaonic Government	A theocratic monarchy where the pharaoh was considered a living god. The vizier managed daily administration with regional nomarchs governing provinces.	Pharaoh|Vizier|Nomarch|High Priest|Royal Scribe	primogeniture	autocratic		-3100	-30	Kemp, Ancient Egypt: Anatomy of a Civilization
ss-021	cp-egypt	class_hierarchy	Ancient Egyptian Social Pyramid	A hierarchical society with the pharaoh at the apex, followed by priests and nobles, scribes and officials, artisans, and farmers, with slaves at the base.	Pharaoh|Priest|Noble|Scribe|Artisan|Farmer|Slave	primogeniture	autocratic		-3100	-30	Wilkinson, The Rise and Fall of Ancient Egypt
ss-022	cp-egypt	religious_hierarchy	Egyptian Priesthood	Temple priests served as intermediaries between gods and humans. The high priest of Amun at Thebes became so powerful as to rival the pharaoh in the New Kingdom.	High Priest of Amun|Lector Priest|Wab Priest|God's Wife of Amun|Sem Priest	patrilineal	theocratic		-3100	-30	Sauneron, The Priests of Ancient Egypt
ss-023	cp-egypt	family_structure	Egyptian Family	Egyptian families were relatively egalitarian compared to other ancient societies. Women could own property, initiate divorce, and serve as witnesses in legal proceedings.	Father|Mother|Son|Daughter	bilateral	autocratic		-3100	-30	Robins, Women in Ancient Egypt
ss-024	cp-egypt	education_system	Egyptian Scribal Schools	Education focused on training scribes through copying texts and learning hieratic and hieroglyphic writing. Literacy was rare and conferred high social status.	Teacher Scribe|Student Scribe|Master of Secrets	patrilineal	autocratic		-3100	-30	Williams, The Archaeology of Ancient Egyptian Education
