id	name	motif_type	atu_index	description	examples	associated_religion_ids	associated_deity_ids	geographic_distribution	time_depth	sources	wikidata_qid	source_url	retrieved_at	confidence
flood-myth	The Great Flood	cataclysm	A1010	A divine flood destroys civilization, with one righteous family or individual surviving by boat	[{"culture":"Sumerian","narrative":"Epic of Gilgamesh - Utnapishtim survives the flood"},{"culture":"Hebrew","narrative":"Noah's Ark - Genesis flood narrative"},{"culture":"Hindu","narrative":"Matsya Avatar - Manu saved by Vishnu as fish"},{"culture":"Greek","narrative":"Deucalion's Flood - Zeus destroys humanity"},{"culture":"Maya","narrative":"Popol Vuh flood destroys wooden people"}]	["judaism","christianity","islam","hinduism","ancient-greek-religion","maya-religion"]	["zeus","vishnu","enlil","viracocha"]	["Global"]	-3000	["Stith Thompson Motif-Index","Witzel 2012"]				
world-tree	The World Tree	cosmology	null	A cosmic tree connects the realms of existence - sky, earth, and underworld	[{"culture":"Norse","narrative":"Yggdrasil connects nine worlds"},{"culture":"Maya","narrative":"Wacah Chan - ceiba tree axis mundi"},{"culture":"Hindu","narrative":"Ashvattha - cosmic fig tree"},{"culture":"Siberian","narrative":"Shamanic world tree for spirit journeys"}]	["norse-religion","maya-religion","hinduism","tengrism"]	["odin","kukulkan","vishnu"]	["Northern Eurasia","Mesoamerica","South Asia"]	-5000	["Eliade 1958","Stith Thompson Motif-Index"]				
dying-rising-god	The Dying and Rising God	death-rebirth	A500	A deity dies and is resurrected, often symbolizing seasonal renewal	[{"culture":"Egyptian","narrative":"Osiris killed by Set, resurrected by Isis"},{"culture":"Greek","narrative":"Persephone's annual return from underworld"},{"culture":"Norse","narrative":"Baldr killed by mistletoe, returns after Ragnarök"},{"culture":"Sumerian","narrative":"Inanna descends to underworld and returns"}]	["ancient-egyptian","ancient-greek-religion","norse-religion","christianity"]	["osiris","isis","demeter","inanna"]	["Mediterranean","Near East","Northern Europe"]	-3000	["Frazer Golden Bough","Stith Thompson"]				
trickster	The Trickster	archetype	null	A cunning figure who breaks rules, defies conventions, and creates through deception	[{"culture":"Norse","narrative":"Loki's shapeshifting and boundary-crossing"},{"culture":"Yoruba","narrative":"Eshu at the crossroads, divine messenger"},{"culture":"Greek","narrative":"Hermes steals Apollo's cattle as infant"},{"culture":"Native American","narrative":"Coyote creates and destroys through trickery"},{"culture":"West African","narrative":"Anansi the spider outsmarts all"}]	["norse-religion","animism-west-african","ancient-greek-religion"]	["loki","eshu","hermes"]	["Global"]	-10000	["Radin 1956 The Trickster","Hyde 1998"]				
cosmic-egg	The Cosmic Egg	creation	A600	The universe hatches from a primordial egg	[{"culture":"Hindu","narrative":"Hiranyagarbha - golden cosmic egg creates Brahma"},{"culture":"Greek","narrative":"Orphic Egg births Phanes/Eros"},{"culture":"Chinese","narrative":"Pangu hatches from cosmic egg"},{"culture":"Finnish","narrative":"Kalevala - world from egg of goldeneye"}]	["hinduism","ancient-greek-religion"]	["brahma"]	["South Asia","Mediterranean","East Asia","Northern Europe"]	-3000	["Stith Thompson Motif-Index","Eliade"]				
hero-quest	The Hero's Journey	hero	null	A hero departs the ordinary world, faces trials, and returns transformed	[{"culture":"Greek","narrative":"Odysseus's ten-year journey home"},{"culture":"Sumerian","narrative":"Gilgamesh seeks immortality after Enkidu's death"},{"culture":"Hindu","narrative":"Rama's exile and quest to rescue Sita"},{"culture":"Celtic","narrative":"Cú Chulainn's warrior trials"}]	["ancient-greek-religion","hinduism","celtic-religion"]	["athena","vishnu","lugh"]	["Global"]	-3000	["Campbell 1949 Hero with a Thousand Faces"]				
divine-twins	The Divine Twins	archetype	null	Twin deities representing complementary forces - light/dark, war/peace, life/death	[{"culture":"Greek","narrative":"Apollo and Artemis - sun and moon twins"},{"culture":"Hindu","narrative":"Ashvins - twin horsemen of dawn"},{"culture":"Maya","narrative":"Hero Twins Hunahpu and Xbalanque"},{"culture":"Norse","narrative":"Freyr and Freya - fertility twins"}]	["ancient-greek-religion","hinduism","maya-religion","norse-religion"]	["apollo","artemis","freya"]	["Indo-European","Mesoamerican"]	-5000	["Puhvel 1987","Stith Thompson"]				
sky-earth-separation	Separation of Sky and Earth	creation	A600	A primordial unity of sky and earth is split apart to create the world	[{"culture":"Egyptian","narrative":"Shu separates Geb (earth) from Nut (sky)"},{"culture":"Greek","narrative":"Kronos separates Ouranos from Gaia"},{"culture":"Maori","narrative":"Tane separates Ranginui and Papatuanuku"},{"culture":"Sumerian","narrative":"Enlil separates An (sky) from Ki (earth)"}]	["ancient-egyptian","ancient-greek-religion"]	["enlil","zeus","ra"]	["Global"]	-5000	["Stith Thompson Motif-Index","Leeming 2010"]				
underworld-journey	Descent to the Underworld	death-rebirth	F80	A living being journeys to the land of the dead and returns	[{"culture":"Sumerian","narrative":"Inanna's Descent to the Underworld"},{"culture":"Greek","narrative":"Orpheus descends to retrieve Eurydice"},{"culture":"Egyptian","narrative":"Journey through the Duat in Book of the Dead"},{"culture":"Norse","narrative":"Hermod rides to Hel to retrieve Baldr"},{"culture":"Maya","narrative":"Hero Twins descend to Xibalba"}]	["ancient-greek-religion","ancient-egyptian","norse-religion","maya-religion"]	["inanna","hades","osiris","hel"]	["Global"]	-3000	["Stith Thompson F80","Eliade"]				
dragon-serpent-slayer	The Dragon/Serpent Slayer	hero	A300	A hero or deity battles and defeats a primordial serpent or dragon	[{"culture":"Norse","narrative":"Thor battles Jormungandr at Ragnarök"},{"culture":"Hindu","narrative":"Indra slays Vritra the drought serpent"},{"culture":"Greek","narrative":"Apollo slays Python at Delphi"},{"culture":"Slavic","narrative":"Perun battles Veles the serpent"},{"culture":"Japanese","narrative":"Susanoo slays Yamata no Orochi"}]	["norse-religion","hinduism","ancient-greek-religion","shinto"]	["thor","indra","apollo","perun","susanoo"]	["Indo-European","East Asian"]	-5000	["Watkins 1995","Stith Thompson A300"]				
