id	name	cuisine_id	category	coordinates	time_origin	time_end	description	wikidata_qid	source_url	retrieved_at	confidence	sources
al-dente-technique	al dente						way to cook pasta	Q181570	http://www.wikidata.org/entity/Q181570	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
baking	baking						food production method using prolonged dry heat acting by convection	Q720398	http://www.wikidata.org/entity/Q720398	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
basting	basting						This method of cooking is usually associated with roasting.	Q2425803	http://www.wikidata.org/entity/Q2425803	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
blackening	blackening						cooking technique	Q4922798	http://www.wikidata.org/entity/Q4922798	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
blind-baking	blind-baking						baking a pie crust or other pastry without the filling	Q4926488	http://www.wikidata.org/entity/Q4926488	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
boiling	boiling						cooking technique	Q20074315	http://www.wikidata.org/entity/Q20074315	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
braising	braising						combination-cooking method that uses both moist and dry heats	Q784148	http://www.wikidata.org/entity/Q784148	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
breading	breading						coating food in breadcrumbs	Q1571226	http://www.wikidata.org/entity/Q1571226	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
brining	brining						food processing: treating with brine	Q911646	http://www.wikidata.org/entity/Q911646	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
browning	browning						food process	Q2760809	http://www.wikidata.org/entity/Q2760809	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
deep-frying	deep frying						cooking method in which food is submerged in hot fat	Q854618	http://www.wikidata.org/entity/Q854618	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
deglazing	deglazing						cooking technique that dissolves browned food residue from a pan	Q322444	http://www.wikidata.org/entity/Q322444	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
dry-roasting	dry roasting						food preparation method	Q10860338	http://www.wikidata.org/entity/Q10860338	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
en-papillote	en papillote						baked in folded pouch	Q11697651	http://www.wikidata.org/entity/Q11697651	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
fermentation	fermentation						metabolic process producing energy in the absence of oxygen	Q41760	http://www.wikidata.org/entity/Q41760	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
fermented-food	fermented food						food produced by a method converting substrates to fermentation end products	Q6950796	http://www.wikidata.org/entity/Q6950796	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
flambe	flambé						cooking procedure	Q386003	http://www.wikidata.org/entity/Q386003	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
food-drying	food drying						method of food preservation in which food is dried	Q5514687	http://www.wikidata.org/entity/Q5514687	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
fricassee	fricassee						method of cooking meat	Q791790	http://www.wikidata.org/entity/Q791790	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
grilling	grilling						form of cooking that involves dry heat applied to the surface of food	Q264619	http://www.wikidata.org/entity/Q264619	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
hangi	hangi						Traditional Māori cooking method	Q1186334	http://www.wikidata.org/entity/Q1186334	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
jorim	jorim						Korean simmered dish category	Q909700	http://www.wikidata.org/entity/Q909700	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
juicing	juicing						process of extracting juice from fruit or vegetables	Q6305202	http://www.wikidata.org/entity/Q6305202	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
karaage	karaage						Japanese cooking technique	Q1104399	http://www.wikidata.org/entity/Q1104399	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
kneading	kneading						mechanical process of agitating dough in order to accelerate gluten formation	Q3089784	http://www.wikidata.org/entity/Q3089784	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
maceration	maceration						softening or breaking of food into pieces using a liquid	Q6723260	http://www.wikidata.org/entity/Q6723260	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
maggi-goreng	Maggi goreng						style of cooking instant noodles	Q45540	http://www.wikidata.org/entity/Q45540	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
marinating	marinating						process of soaking foods in a seasoned, often acidic, liquid before cooking	Q725668	http://www.wikidata.org/entity/Q725668	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
meat-carving	meat carving						cutting apart meat into individual servings	Q350990	http://www.wikidata.org/entity/Q350990	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
nimono	nimono						Japanese simmered dish	Q7037735	http://www.wikidata.org/entity/Q7037735	2026-07-08T11:08:32.444Z	0.8	["Wikidata"]
