id	name	native_name	instrument_family	origin_region	coordinates	time_origin	construction_materials	playing_technique	associated_tradition_ids	associated_language_ids	description	sources
sitar	Sitar	सितार	string	South Asia	{"lat":28.61,"lng":77.21}	1700	["gourd","teak","steel-strings"]	plucked	["indian-classical"]	["hindi","urdu"]	Long-necked lute with sympathetic strings, central to Hindustani music	["Ethnomusicological research"]
tabla	Tabla	तबला	percussion	South Asia	{"lat":28.61,"lng":77.21}	1700	["wood","goat-skin","iron-paste"]	hand-struck	["indian-classical"]	["hindi","urdu"]	Pair of hand drums producing complex tonal patterns	["Ethnomusicological research"]
veena	Veena	वीणा	string	South Asia	{"lat":13.08,"lng":80.27}	-1500	["jackwood","steel-strings","gourd"]	plucked	["indian-classical"]	["sanskrit","tamil","telugu"]	Ancient South Indian plucked string instrument	["Natya Shastra"]
oud	Oud	عود	string	Middle East	{"lat":33.31,"lng":44.37}	-3000	["walnut","spruce","nylon-strings"]	plucked	["arabic-maqam","ottoman-classical"]	["arabic","turkish"]	Short-necked fretless lute, ancestor of the European lute	["Historical records"]
ney	Ney	نای	wind	Middle East	{"lat":35.69,"lng":51.39}	-3000	["reed"]	blown	["persian-classical","arabic-maqam","ottoman-classical","sufi"]	["persian","arabic","turkish"]	Ancient end-blown reed flute used across Middle Eastern traditions	["Historical records"]
tar	Tar	تار	string	Middle East	{"lat":35.69,"lng":51.39}	-1500	["mulberry-wood","lamb-skin","steel-strings"]	plucked	["persian-classical"]	["persian"]	Double-bowled long-necked lute of Persian classical music	["Historical records"]
guqin	Guqin	古琴	string	East Asia	{"lat":39.90,"lng":116.40}	-1000	["paulownia-wood","silk-strings"]	plucked	["chinese-classical"]	["mandarin"]	Seven-string zither, instrument of Chinese literati scholars	["Confucian texts","UNESCO"]
pipa	Pipa	琵琶	string	East Asia	{"lat":39.90,"lng":116.40}	-200	["rosewood","silk-strings","nylon-strings"]	plucked	["chinese-classical"]	["mandarin"]	Four-stringed pear-shaped lute with 2000+ year history	["Historical records"]
erhu	Erhu	二胡	string	East Asia	{"lat":39.90,"lng":116.40}	900	["python-skin","bamboo","horsehair-bow"]	bowed	["chinese-classical"]	["mandarin"]	Two-stringed bowed fiddle, voice of Chinese traditional music	["Historical records"]
koto	Koto	箏	string	East Asia	{"lat":35.68,"lng":139.69}	700	["paulownia-wood","silk-strings"]	plucked	["japanese-gagaku"]	["japanese"]	Thirteen-string zither adapted from Chinese guzheng	["Imperial court records"]
sho	Sho	笙	wind	East Asia	{"lat":35.68,"lng":139.69}	700	["bamboo","brass-reeds"]	free-reed	["japanese-gagaku"]	["japanese"]	Japanese mouth organ producing ethereal chord clusters	["Imperial court records"]
gayageum	Gayageum	가야금	string	East Asia	{"lat":37.57,"lng":126.98}	500	["paulownia-wood","silk-strings"]	plucked	["korean-classical"]	["korean"]	Twelve-string zither, Korea's most representative instrument	["Historical records"]
kora	Kora	Kora	string	West Africa	{"lat":12.65,"lng":-8.00}	1300	["calabash-gourd","cowhide","nylon-strings"]	plucked	["west-african-griot"]	["mandinka"]	21-string bridge-harp of the Mande griot tradition	["Oral tradition"]
djembe	Djembe	Djembé	percussion	West Africa	{"lat":11.85,"lng":-8.78}	1200	["hardwood","goat-skin","rope"]	hand-struck	["west-african-griot"]	["mandinka","bambara"]	Goblet-shaped drum central to West African communal music	["Ethnomusicological research"]
talking-drum	Talking Drum	Dùndún	percussion	West Africa	{"lat":7.38,"lng":3.94}	-500	["wood","leather","cord"]	struck-with-stick	["west-african-griot"]	["yoruba","hausa"]	Hourglass-shaped tension drum that mimics tonal language speech	["Ethnomusicological research"]
didgeridoo	Didgeridoo	Yiḏaki	wind	Oceania	{"lat":-12.46,"lng":130.84}	-1500	["eucalyptus","beeswax"]	lip-buzzed	["aboriginal-australian"]	["yolngu"]	Termite-hollowed eucalyptus drone instrument, one of world's oldest	["Archaeological evidence"]
flamenco-guitar	Flamenco Guitar	Guitarra flamenca	string	Southern Europe	{"lat":37.39,"lng":-5.98}	1850	["cypress","spruce","nylon-strings"]	plucked-strummed	["flamenco"]	["spanish"]	Lighter Spanish guitar adapted for percussive flamenco technique	["Historical records"]
irish-harp	Irish Harp	Cláirseach	string	Western Europe	{"lat":53.35,"lng":-6.26}	-500	["willow","brass-strings"]	plucked	["celtic"]	["irish"]	Wire-strung harp, national symbol of Ireland	["Historical records","Archaeological evidence"]
uilleann-pipes	Uilleann Pipes	Píob uilleann	wind	Western Europe	{"lat":53.35,"lng":-6.26}	1700	["african-blackwood","brass","leather"]	bellows-blown	["celtic"]	["irish"]	Irish bellows-blown bagpipe with two-octave chanter range	["Historical records"]
siku	Siku	Siku	wind	South America	{"lat":-15.50,"lng":-70.01}	-2000	["bamboo","reed"]	blown	["andean"]	["aymara","quechua"]	Andean double-row panpipe played in interlocking pairs (hocket)	["Archaeological evidence"]
quena	Quena	Quena	wind	South America	{"lat":-13.53,"lng":-71.97}	-3000	["bone","bamboo","wood"]	end-blown	["andean"]	["quechua"]	Ancient Andean notched-end flute, oldest known instruments in Americas	["Archaeological evidence"]
charango	Charango	Charango	string	South America	{"lat":-19.04,"lng":-65.26}	1600	["armadillo-shell","wood","nylon-strings"]	plucked	["andean"]	["quechua","spanish"]	Small 10-string Andean lute, descended from Spanish vihuela	["Historical records"]
morin-khuur	Morin Khuur	Морин хуур	string	Central Asia	{"lat":47.92,"lng":106.91}	-200	["wood","horsehair","horse-skin"]	bowed	["throat-singing"]	["mongolian"]	Mongolian horsehead fiddle, UNESCO intangible cultural heritage	["UNESCO","Ethnomusicological research"]
huehuetl	Huehuetl	Huēhuētl	percussion	North America	{"lat":19.43,"lng":-99.13}	-1000	["wood","animal-skin"]	hand-struck	["mesoamerican"]	["nahuatl"]	Aztec upright tubular drum used in religious ceremonies	["Codices","Archaeological evidence"]
gamelan-gong	Gamelan Gong	Gong	percussion	Southeast Asia	{"lat":-8.65,"lng":115.22}	-200	["bronze"]	mallet-struck	["gamelan"]	["balinese","javanese"]	Large bronze gong marking structural cycles in gamelan ensemble	["Ethnomusicological research"]
