id	source_word	source_language	target_word	target_language	relation_type
er0001	modor	ang	mother	eng	derived_from
er0002	fæder	ang	father	eng	derived_from
er0003	sunu	ang	son	eng	derived_from
er0004	dohtor	ang	daughter	eng	derived_from
er0005	broþor	ang	brother	eng	derived_from
er0006	sweostor	ang	sister	eng	derived_from
er0007	wif	ang	wife	eng	derived_from
er0008	hus	ang	house	eng	derived_from
er0009	hund	ang	hound	eng	derived_from
er0010	fisc	ang	fish	eng	derived_from
er0011	fugol	ang	fowl	eng	derived_from
er0012	cu	ang	cow	eng	derived_from
er0013	sceap	ang	sheep	eng	derived_from
er0014	gat	ang	goat	eng	derived_from
er0015	hors	ang	horse	eng	derived_from
er0016	mūs	ang	mouse	eng	derived_from
er0017	wæter	ang	water	eng	derived_from
er0018	eorþe	ang	earth	eng	derived_from
er0019	fyr	ang	fire	eng	derived_from
er0020	wind	ang	wind	eng	derived_from
er0021	sunne	ang	sun	eng	derived_from
er0022	mona	ang	moon	eng	derived_from
er0023	steorra	ang	star	eng	derived_from
er0024	niht	ang	night	eng	derived_from
er0025	dæg	ang	day	eng	derived_from
er0026	gear	ang	year	eng	derived_from
er0027	winter	ang	winter	eng	derived_from
er0028	sumor	ang	summer	eng	derived_from
er0029	lif	ang	life	eng	derived_from
er0030	deaþ	ang	death	eng	derived_from
er0031	blod	ang	blood	eng	derived_from
er0032	ban	ang	bone	eng	derived_from
er0033	heorte	ang	heart	eng	derived_from
er0034	heafod	ang	head	eng	derived_from
er0035	hand	ang	hand	eng	derived_from
er0036	fot	ang	foot	eng	derived_from
er0037	eage	ang	eye	eng	derived_from
er0038	eare	ang	ear	eng	derived_from
er0039	tunge	ang	tongue	eng	derived_from
er0040	toþ	ang	tooth	eng	derived_from
er0041	cild	ang	child	eng	derived_from
er0042	man	ang	man	eng	derived_from
er0043	wifman	ang	woman	eng	derived_from
er0044	cyning	ang	king	eng	derived_from
er0045	cwen	ang	queen	eng	derived_from
er0046	land	ang	land	eng	derived_from
er0047	feld	ang	field	eng	derived_from
er0048	wudu	ang	wood	eng	derived_from
er0049	stan	ang	stone	eng	derived_from
er0050	brycg	ang	bridge	eng	derived_from
er0051	weg	ang	way	eng	derived_from
er0052	stream	ang	stream	eng	derived_from
er0053	hlaf	ang	loaf	eng	derived_from
er0054	mete	ang	meat	eng	derived_from
er0055	drincan	ang	drink	eng	derived_from
er0056	etan	ang	eat	eng	derived_from
er0057	slæpan	ang	sleep	eng	derived_from
er0058	gangan	ang	go	eng	derived_from
er0059	cuman	ang	come	eng	derived_from
er0060	sittan	ang	sit	eng	derived_from
er0061	standan	ang	stand	eng	derived_from
er0062	ridan	ang	ride	eng	derived_from
er0063	swimman	ang	swim	eng	derived_from
er0064	singan	ang	sing	eng	derived_from
er0065	god	ang	good	eng	derived_from
er0066	yfel	ang	evil	eng	derived_from
er0067	strang	ang	strong	eng	derived_from
er0068	lang	ang	long	eng	derived_from
er0069	bræd	ang	broad	eng	derived_from
er0070	sceort	ang	short	eng	derived_from
er0071	heard	ang	hard	eng	derived_from
er0072	scearp	ang	sharp	eng	derived_from
er0073	deopan	ang	deep	eng	derived_from
er0074	heah	ang	high	eng	derived_from
er0075	æppel	ang	apple	eng	derived_from
er0076	beore	ang	beer	eng	derived_from
er0077	hamor	ang	hammer	eng	derived_from
er0078	scield	ang	shield	eng	derived_from
er0079	sweord	ang	sword	eng	derived_from
er0080	cniht	ang	knight	eng	derived_from
er0081	dæl	ang	dale	eng	derived_from
er0082	beam	ang	beam	eng	derived_from
er0083	hring	ang	ring	eng	derived_from
er0084	clif	ang	cliff	eng	derived_from
er0085	weall	ang	wall	eng	derived_from
er0086	fenester	ang	window	eng	derived_from
er0087	duru	ang	door	eng	derived_from
er0088	flor	ang	floor	eng	derived_from
er0089	bedd	ang	bed	eng	derived_from
er0090	bord	ang	board	eng	derived_from
er0091	scip	ang	ship	eng	derived_from
er0092	bot	ang	boat	eng	derived_from
er0093	ancor	ang	anchor	eng	derived_from
er0094	mæst	ang	mast	eng	derived_from
er0095	segl	ang	sail	eng	derived_from
er0096	oar	ang	oar	eng	derived_from
er0097	þing	ang	thing	eng	derived_from
er0098	word	ang	word	eng	derived_from
er0099	boc	ang	book	eng	derived_from
er0100	spell	ang	spell	eng	derived_from
er0101	drēam	ang	dream	eng	derived_from
er0102	hwæl	ang	whale	eng	derived_from
er0103	wyrm	ang	worm	eng	derived_from
er0104	beo	ang	bee	eng	derived_from
er0105	catt	ang	cat	eng	derived_from
er0106	oxa	ang	ox	eng	derived_from
er0107	lamb	ang	lamb	eng	derived_from
er0108	hengest	ang	horse	eng	derived_from
er0109	hægl	ang	hail	eng	derived_from
er0110	snaw	ang	snow	eng	derived_from
er0111	is	ang	ice	eng	derived_from
er0112	frost	ang	frost	eng	derived_from
er0113	modor	ang	aiþei	got	cognate
er0114	modor	ang	moðir	non	cognate
er0115	modor	ang	muotar	goh	cognate
er0116	fæder	ang	fadar	got	cognate
er0117	fæder	ang	faðir	non	cognate
er0118	fæder	ang	fatar	goh	cognate
er0119	broþor	ang	broþar	got	cognate
er0120	broþor	ang	bróðir	non	cognate
er0121	broþor	ang	bruoder	goh	cognate
er0122	sweostor	ang	swistar	got	cognate
er0123	sweostor	ang	systir	non	cognate
er0124	sweostor	ang	swester	goh	cognate
er0125	sunu	ang	sunus	got	cognate
er0126	sunu	ang	sunr	non	cognate
er0127	sunu	ang	sun	goh	cognate
er0128	dohtor	ang	dauhtar	got	cognate
er0129	dohtor	ang	dóttir	non	cognate
er0130	dohtor	ang	tohter	goh	cognate
er0131	hund	ang	hunds	got	cognate
er0132	hund	ang	hundr	non	cognate
er0133	hund	ang	hunt	goh	cognate
er0134	wæter	ang	wato	got	cognate
er0135	wæter	ang	vatn	non	cognate
er0136	wæter	ang	wazzar	goh	cognate
er0137	fyr	ang	fon	got	cognate
er0138	fyr	ang	fúrr	non	cognate
er0139	fyr	ang	fiur	goh	cognate
er0140	heorte	ang	hairto	got	cognate
er0141	heorte	ang	hjarta	non	cognate
er0142	heorte	ang	herza	goh	cognate
er0143	niht	ang	nahts	got	cognate
er0144	niht	ang	nótt	non	cognate
er0145	niht	ang	naht	goh	cognate
er0146	steorra	ang	stairno	got	cognate
er0147	steorra	ang	stjarna	non	cognate
er0148	steorra	ang	sterno	goh	cognate
er0149	sunne	ang	sunno	got	cognate
er0150	sunne	ang	sól	non	cognate
er0151	sunne	ang	sunna	goh	cognate
er0152	eorþe	ang	airþa	got	cognate
er0153	eorþe	ang	jörð	non	cognate
er0154	eorþe	ang	erda	goh	cognate
er0155	wind	ang	winds	got	cognate
er0156	wind	ang	vindr	non	cognate
er0157	wind	ang	wint	goh	cognate
er0158	fisc	ang	fisks	got	cognate
er0159	fisc	ang	fiskr	non	cognate
er0160	fisc	ang	fisc	goh	cognate
er0161	cu	ang	*kus	got	cognate
er0162	cu	ang	kýr	non	cognate
er0163	cu	ang	kuo	goh	cognate
er0164	wulf	ang	wulfs	got	cognate
er0165	wulf	ang	úlfr	non	cognate
er0166	wulf	ang	wolf	goh	cognate
er0167	god	ang	goþs	got	cognate
er0168	god	ang	góðr	non	cognate
er0169	god	ang	guot	goh	cognate
er0170	strang	ang	*strangis	got	cognate
er0171	strang	ang	strangr	non	cognate
er0172	strang	ang	strang	goh	cognate
er0173	lang	ang	laggs	got	cognate
er0174	lang	ang	langr	non	cognate
er0175	lang	ang	lang	goh	cognate
er0176	hand	ang	handus	got	cognate
er0177	hand	ang	hönd	non	cognate
er0178	hand	ang	hant	goh	cognate
er0179	fot	ang	fotus	got	cognate
er0180	fot	ang	fótr	non	cognate
er0181	fot	ang	fuoz	goh	cognate
er0182	eage	ang	augo	got	cognate
er0183	eage	ang	auga	non	cognate
er0184	eage	ang	ouga	goh	cognate
er0185	eare	ang	auso	got	cognate
er0186	eare	ang	eyra	non	cognate
er0187	eare	ang	ora	goh	cognate
er0188	toþ	ang	tunþus	got	cognate
er0189	toþ	ang	tönn	non	cognate
er0190	toþ	ang	zan	goh	cognate
er0191	stan	ang	stains	got	cognate
er0192	stan	ang	steinn	non	cognate
er0193	stan	ang	stein	goh	cognate
er0194	boc	ang	boka	got	cognate
er0195	boc	ang	bók	non	cognate
