id	name	category	origin_date	origin_coordinates	spread_data	description	associated_languages	significance
mc_001	Bell Beaker pottery	pottery	-2800	[37.0,-5.0]	[{"date":-2500,"coordinates":[48.8,2.3],"associated_civilization":"Western European Neolithic"},{"date":-2400,"coordinates":[51.5,-0.1],"associated_civilization":"British Neolithic"},{"date":-2300,"coordinates":[52.5,13.4],"associated_civilization":"Central European Neolithic"}]	Distinctive bell-shaped drinking vessels associated with a widespread cultural phenomenon across Western and Central Europe	pre-Celtic, pre-Germanic, Basque	Major archaeological horizon marker; debated whether spread represents migration or cultural diffusion
mc_002	Corded Ware pottery	pottery	-2900	[52.0,20.0]	[{"date":-2800,"coordinates":[55.0,12.0],"associated_civilization":"Scandinavian Neolithic"},{"date":-2700,"coordinates":[50.0,14.0],"associated_civilization":"Central European Neolithic"},{"date":-2600,"coordinates":[57.0,25.0],"associated_civilization":"Baltic Neolithic"}]	Pottery decorated with cord impressions, associated with Proto-Indo-European expansion into Europe	Proto-Indo-European, Proto-Germanic, Proto-Baltic	Key marker of Indo-European migration into Northern Europe
mc_003	Linear Pottery (LBK)	pottery	-5500	[47.0,19.0]	[{"date":-5400,"coordinates":[49.0,16.0],"associated_civilization":"Danubian Neolithic"},{"date":-5200,"coordinates":[50.0,8.0],"associated_civilization":"Rhine Neolithic"},{"date":-5000,"coordinates":[52.0,11.0],"associated_civilization":"North European Neolithic"}]	Earliest farming culture in Central Europe, characterized by linear band decoration on pottery	Pre-Indo-European substrate	First agricultural expansion into temperate Europe
mc_004	Jomon pottery	pottery	-14000	[35.7,139.7]	[{"date":-10000,"coordinates":[38.0,140.0],"associated_civilization":"Jomon"},{"date":-5000,"coordinates":[43.0,141.0],"associated_civilization":"Hokkaido Jomon"},{"date":-3000,"coordinates":[31.0,131.0],"associated_civilization":"Kyushu Jomon"}]	Oldest known pottery tradition in the world, cord-marked ceramics from pre-agricultural Japan	Proto-Japonic, Ainu	Demonstrates pottery can predate agriculture; world's earliest ceramic tradition
mc_005	Lapita pottery	pottery	-1600	[5.0,150.0]	[{"date":-1200,"coordinates":[-6.0,155.0],"associated_civilization":"Lapita"},{"date":-1000,"coordinates":[-18.0,179.0],"associated_civilization":"Ancestral Polynesian"},{"date":-800,"coordinates":[-13.8,-172.0],"associated_civilization":"Western Polynesian"}]	Dentate-stamped pottery marking Austronesian expansion across the Pacific	Proto-Oceanic, Proto-Polynesian	Archaeological signature of Austronesian maritime expansion
mc_006	Iron smelting	metallurgy	-1800	[36.0,36.0]	[{"date":-1200,"coordinates":[40.0,32.0],"associated_civilization":"Hittite Empire"},{"date":-900,"coordinates":[37.0,22.0],"associated_civilization":"Greek Dark Age"},{"date":-700,"coordinates":[12.0,38.0],"associated_civilization":"Nok/Meroe"},{"date":-500,"coordinates":[28.6,77.2],"associated_civilization":"Gangetic Plain"},{"date":-400,"coordinates":[35.0,105.0],"associated_civilization":"Warring States China"}]	Development of iron smelting technology, initially from meteoric iron then terrestrial ores	Hittite, Akkadian, Greek	Transformed warfare, agriculture, and tool-making globally
mc_007	Bronze working	metallurgy	-3300	[33.0,44.0]	[{"date":-3000,"coordinates":[30.0,31.0],"associated_civilization":"Old Kingdom Egypt"},{"date":-2500,"coordinates":[37.0,22.0],"associated_civilization":"Aegean Bronze Age"},{"date":-2000,"coordinates":[34.0,108.0],"associated_civilization":"Erlitou/Shang"},{"date":-1500,"coordinates":[25.0,83.0],"associated_civilization":"Vedic India"}]	Alloying copper with tin to produce bronze for tools, weapons, and ceremonial objects	Sumerian, Akkadian, Egyptian, Mycenaean Greek	Defined the Bronze Age; required long-distance trade networks for tin
mc_008	Copper smelting	metallurgy	-5000	[30.0,36.0]	[{"date":-4500,"coordinates":[42.0,25.0],"associated_civilization":"Vinca culture"},{"date":-4000,"coordinates":[30.0,31.0],"associated_civilization":"Predynastic Egypt"},{"date":-3500,"coordinates":[33.0,44.0],"associated_civilization":"Ubaid Mesopotamia"}]	First extraction of metal from ore, beginning of metallurgy	Pre-Semitic, Proto-Sumerian	Marks transition from Stone Age to metal ages
mc_009	Steel production (Wootz)	metallurgy	-300	[13.0,77.0]	[{"date":100,"coordinates":[15.0,44.0],"associated_civilization":"South Arabian"},{"date":800,"coordinates":[33.0,44.0],"associated_civilization":"Abbasid Caliphate"},{"date":1100,"coordinates":[41.0,29.0],"associated_civilization":"Seljuk/Crusader States"}]	High-carbon crucible steel known for exceptional quality, basis of Damascus steel	Sanskrit, Tamil, Arabic	Pioneered advanced metallurgical techniques; legendary for blade quality
mc_010	Wheel invention	tools	-3500	[33.0,44.0]	[{"date":-3300,"coordinates":[50.0,30.0],"associated_civilization":"Tripolye culture"},{"date":-3000,"coordinates":[45.0,25.0],"associated_civilization":"Danubian cultures"},{"date":-2500,"coordinates":[30.0,31.0],"associated_civilization":"Old Kingdom Egypt"},{"date":-2000,"coordinates":[25.0,83.0],"associated_civilization":"Indus Valley"}]	Invention of the wheel for pottery and transport, transforming overland movement	Sumerian, Proto-Indo-European	Fundamental invention enabling wheeled transport and pottery production
