id	language_id	family_id	geometry	range_type	time_period_start	time_period_end	time_period_label	confidence	sources	notes
eng-modern-range	eng	indo_european__germanic	{"type":"Polygon","coordinates":[[[-8,50],[-6,54],[-3,56],[-2,58],[0,58],[2,55],[2,51],[0,50],[-5,49],[-8,50]]]}	current	1500	null	Modern English (1500 CE - Present)	95	["Census data","Ethnologue"]	English-speaking regions of England and Wales
eng-colonial-north-america	eng	indo_european__germanic	{"type":"Polygon","coordinates":[[[-125,25],[-125,50],[-65,50],[-65,25],[-125,25]]]}	current	1600	null	Colonial to Modern North America (1600 CE - Present)	90	["Census data","Historical records"]	English-speaking North America
ang-old-english-range	ang	indo_european__germanic	{"type":"Polygon","coordinates":[[[-5,50],[-2,50],[2,53],[2,56],[-2,58],[-5,56],[-5,50]]]}	historical	450	1100	Old English Period (450-1100 CE)	80	["Historical records","Manuscript evidence"]	Anglo-Saxon England
deu-modern-range	deu	indo_european__germanic	{"type":"Polygon","coordinates":[[[5,47],[5,55],[15,55],[15,47],[5,47]]]}	current	1500	null	Modern German (1500 CE - Present)	93	["Census data","Ethnologue"]	German-speaking regions of Central Europe
deu-austria-range	deu	indo_european__germanic	{"type":"Polygon","coordinates":[[[9.5,46.4],[9.5,48.8],[17,48.8],[17,46.4],[9.5,46.4]]]}	current	1500	null	Austrian German (1500 CE - Present)	92	["Census data"]	German-speaking Austria
goh-old-high-german	goh	indo_european__germanic	{"type":"Polygon","coordinates":[[[5,46],[5,52],[15,52],[15,46],[5,46]]]}	historical	600	1050	Old High German (600-1050 CE)	75	["Manuscript evidence","Historical linguistics"]	Old High German dialect area
non-viking-range	non	indo_european__germanic	{"type":"Polygon","coordinates":[[[5,55],[5,71],[30,71],[30,60],[25,55],[5,55]]]}	historical	700	1100	Viking Age Norse (700-1100 CE)	78	["Sagas","Runic inscriptions"]	Old Norse during Viking expansion
non-iceland-range	non	indo_european__germanic	{"type":"Polygon","coordinates":[[[-25,63],[-25,67],[-13,67],[-13,63],[-25,63]]]}	historical	870	1100	Norse Settlement of Iceland (870-1100 CE)	82	["Landnámabók","Sagas"]	Old Norse in Iceland
swe-modern-range	swe	indo_european__germanic	{"type":"Polygon","coordinates":[[[11,55],[11,69],[24,69],[24,55],[11,55]]]}	current	1500	null	Modern Swedish (1500 CE - Present)	94	["Census data"]	Swedish-speaking Sweden
dan-modern-range	dan	indo_european__germanic	{"type":"Polygon","coordinates":[[[8,54.5],[8,57.8],[15,57.8],[15,54.5],[8,54.5]]]}	current	1500	null	Modern Danish (1500 CE - Present)	94	["Census data"]	Danish-speaking Denmark
nor-modern-range	nor	indo_european__germanic	{"type":"Polygon","coordinates":[[[4,58],[4,71],[16,71],[16,62],[8,58],[4,58]]]}	current	1500	null	Modern Norwegian (1500 CE - Present)	94	["Census data"]	Norwegian-speaking Norway
nld-modern-range	nld	indo_european__germanic	{"type":"Polygon","coordinates":[[[3,51],[3,54],[7,54],[7,51],[3,51]]]}	current	1500	null	Modern Dutch (1500 CE - Present)	94	["Census data"]	Dutch-speaking Netherlands
isl-modern-range	isl	indo_european__germanic	{"type":"Polygon","coordinates":[[[-25,63],[-25,67],[-13,67],[-13,63],[-25,63]]]}	current	1200	null	Modern Icelandic (1200 CE - Present)	95	["Census data"]	Icelandic-speaking Iceland
got-gothic-range	got	indo_european__germanic	{"type":"Polygon","coordinates":[[[14,48],[14,58],[25,58],[25,48],[14,48]]]}	historical	200	550	Gothic Period (200-550 CE)	65	["Historical records","Wulfila Bible"]	Gothic-speaking regions in Eastern Europe
fra-modern-range	fra	indo_european__italic	{"type":"Polygon","coordinates":[[[-5,42],[-5,51],[8,51],[8,42],[-5,42]]]}	current	1500	null	Modern French (1500 CE - Present)	94	["Census data"]	French-speaking France
fra-medieval-range	fra	indo_european__italic	{"type":"Polygon","coordinates":[[[-2,46],[-2,50],[5,50],[5,46],[-2,46]]]}	historical	900	1400	Medieval French / Langue d'oïl (900-1400 CE)	80	["Historical records","Literary sources"]	Medieval French dialect area (Île-de-France core)
spa-iberia-range	spa	indo_european__italic	{"type":"Polygon","coordinates":[[[-10,36],[-10,44],[3,44],[3,36],[-10,36]]]}	current	1500	null	Modern Spanish - Iberia (1500 CE - Present)	94	["Census data"]	Spanish-speaking Iberian Peninsula
spa-mexico-range	spa	indo_european__italic	{"type":"Polygon","coordinates":[[[-118,15],[-118,33],[-86,33],[-86,15],[-118,15]]]}	current	1521	null	Mexican Spanish (1521 CE - Present)	90	["Census data","Historical records"]	Spanish-speaking Mexico
spa-south-america-range	spa	indo_european__italic	{"type":"Polygon","coordinates":[[[-82,-55],[-82,13],[-60,13],[-60,-55],[-82,-55]]]}	current	1530	null	South American Spanish (1530 CE - Present)	88	["Census data"]	Spanish-speaking South America (excluding Brazil)
por-modern-range	por	indo_european__italic	{"type":"Polygon","coordinates":[[[-10,37],[-10,42],[-6,42],[-6,37],[-10,37]]]}	current	1500	null	Modern Portuguese - Portugal (1500 CE - Present)	94	["Census data"]	Portuguese-speaking Portugal
por-brazil-range	por	indo_european__italic	{"type":"Polygon","coordinates":[[[-74,-34],[-74,5],[-35,5],[-35,-34],[-74,-34]]]}	current	1530	null	Brazilian Portuguese (1530 CE - Present)	90	["Census data"]	Portuguese-speaking Brazil
ita-modern-range	ita	indo_european__italic	{"type":"Polygon","coordinates":[[[7,37],[7,47],[18,47],[18,37],[7,37]]]}	current	1500	null	Modern Italian (1500 CE - Present)	93	["Census data"]	Italian-speaking Italy
