Cuisine,Item Number,Food Item,Food Type
Chinese,1,Wonton Soup,Soup
Chinese,2,Hot and Sour Soup,Soup
Chinese,3,Egg Drop Soup,Soup
Chinese,4,Bird's Nest Soup,Soup
Chinese,5,Shark Fin Soup,Soup
Chinese,6,Ramen (Chinese style),Noodle Soup
Chinese,7,Lanzhou Beef Noodles,Noodle Soup
Ethiopian,1,Maraq,Soup
Ethiopian,2,Shorba,Soup
French,1,Bouillabaisse,Soup/Stew
French,2,French Onion Soup,Soup
French,3,Bouillabaisse,Soup/Stew
French,4,Soupe de Poisson,Soup
French,5,Vichyssoise,Soup
French,6,Potage Saint-Germain,Soup
French,7,Velouté,Soup
French,8,Consommé,Soup
French,9,Bisque de Homard,Soup
Georgian,1,Kharcho,Soup
Georgian,2,Chikhirtma,Soup
Georgian,3,Khashi,Soup
German,1,Goulash Soup,Soup
German,2,Kartoffelsuppe,Soup
German,3,Erbsensuppe,Soup
German,4,Linsensuppe,Soup
Greek,1,Fasolada,Soup
Greek,2,Avgolemono,Soup
Greek,3,Revithia,Soup
Greek,4,Psarosoupa,Soup
Greek,5,Kakavia,Soup/Stew
Greek,6,Kotosoupa,Soup
Greek,7,Magiritsa,Soup
Greek,8,Patsas,Soup
Greek,9,Youvarlakia,Soup
Greek,10,Giouvarlakia,Soup
Hungarian,1,Fisherman's Soup,Soup
Hungarian,2,Bableves,Soup
Hungarian,3,Gulyásleves,Soup
Hungarian,4,Jókai Bableves,Soup
Hungarian,5,Újházi Tyúkhúsleves,Soup
Hungarian,6,Palócleves,Soup
Hungarian,7,Zöldbableves,Soup
Hungarian,8,Gombaleves,Soup
Hungarian,9,Gyümölcsleves,Soup
Hungarian,10,Hideg Meggyleves,Soup
Hungarian,11,Halászlé,Soup
Hungarian,12,Meggyleves,Soup
Indian,1,Rasam,Soup
Indian,2,Paya,Soup
Indonesian,1,Soto Ayam,Soup
Indonesian,2,Bakso,Soup
Indonesian,3,Sop Buntut,Soup
Indonesian,4,Rawon,Soup
Indonesian,5,Soto Betawi,Soup
Indonesian,6,Sop Konro,Soup
Indonesian,7,Coto Makassar,Soup
Indonesian,8,Tekwan,Soup
Iranian,1,Ash Reshteh,Soup
Iranian,2,Abgoosht,Soup/Stew
Iranian,3,Ash-e Anar,Soup
Iranian,4,Ash-e Sholeh Ghalamkar,Soup
Iranian,5,Ash-e Jo,Soup
Iranian,6,Eshkeneh,Soup
Iranian,7,Eshkeneh,Soup
Iranian,8,Kufteh Tabrizi,Soup
Italian,1,Minestrone,Soup
Italian,2,Ribollita,Soup
Italian,3,Pasta e Fagioli,Soup
Italian,4,Zuppa di Pesce,Soup
Italian,5,Cacciucco,Soup/Stew
Japanese,1,Ramen,Noodle Soup
Japanese,2,Miso Soup,Soup
Japanese,3,Nabeyaki Udon,Noodle Soup
Japanese,4,Kitsune Udon,Noodle Soup
Japanese,5,Tanuki Soba,Noodle Soup
Japanese,6,Shoyu Ramen,Noodle Soup
Japanese,7,Miso Ramen,Noodle Soup
Japanese,8,Tonkotsu Ramen,Noodle Soup
Japanese,9,Shio Ramen,Noodle Soup
Korean,1,Jjamppong,Noodle Soup
Korean,2,Galbitang,Soup
Korean,3,Seolleongtang,Soup
Korean,4,Samgyetang,Soup
Korean,5,Yukgaejang,Soup
Korean,6,Kongnamul Guk,Soup
Korean,7,Miyeok Guk,Soup
Korean,8,Manduguk,Soup
Korean,9,Tteokguk,Soup
Korean,10,Chueotang,Soup
Korean,11,Haejang-guk,Soup
Korean,12,Sundaeguk,Soup
Korean,13,Ttaro Gukbap,Soup
Mexican,1,Pozole,Soup/Stew
Mexican,2,Menudo,Soup
Mexican,3,Sopa de Tortilla,Soup
Mexican,4,Albondigas Soup,Soup
Mexican,5,Caldo de Res,Soup
Mexican,6,Caldo de Pollo,Soup
Mexican,7,Sopa Azteca,Soup
Mexican,8,Sopa de Lima,Soup
Mexican,9,Sopa de Fideo,Soup
Peruvian,1,Chupe de Camarones,Soup
Peruvian,2,Aguadito,Soup
Peruvian,3,Parihuela,Soup
Peruvian,4,Chilcano,Soup
Peruvian,5,Inchicapi,Soup
Peruvian,6,Caldo de Gallina,Soup
Peruvian,7,Shambar,Soup
Peruvian,8,Sancochado,Soup/Stew
Peruvian,9,Patasca,Soup
Peruvian,10,Caldo de Cabeza,Soup
Peruvian,11,Sopa de Menestrón,Soup
Peruvian,12,Sopa Teológica,Soup
Polish,1,Żurek,Soup
Polish,2,Barszcz,Soup
Polish,3,Flaki,Soup
Polish,4,Rosół,Soup
Polish,5,Krupnik,Soup
Polish,6,Ogórkowa,Soup
Polish,7,Kapuśniak,Soup
Polish,8,Grochówka,Soup
Polish,9,Czernina,Soup
Portuguese,1,Caldo Verde,Soup
Portuguese,2,Açorda,Bread Soup
Portuguese,3,Sopa da Pedra,Soup
Portuguese,4,Sopa de Peixe,Soup
Portuguese,5,Gaspacho,Soup
Portuguese,6,Sopa de Legumes,Soup
Portuguese,7,Canja,Soup
Portuguese,8,Sopa de Grão,Soup
Spanish,1,Gazpacho,Soup
Spanish,2,Salmorejo,Soup
Spanish,3,Caldo Gallego,Soup
Spanish,4,Ajo Blanco,Soup
Spanish,5,Sopa Castellana,Soup
Spanish,6,Sopa de Ajo,Soup
Spanish,7,Escudella,Soup
Spanish,8,Sopa de Picadillo,Soup
Spanish,9,Crema de Verduras,Soup
Thai,1,Tom Yum Goong,Soup
Thai,2,Tom Kha Gai,Soup
Thai,3,Khao Soi,Noodle Soup
Thai,4,Kuay Teow Reua,Noodle Soup
Thai,5,Kuay Teow Nam Tok,Noodle Soup
Thai,6,Kuay Teow Neua,Noodle Soup
Thai,7,Guay Tiew Tom Yum,Noodle Soup
Thai,8,Khao Tom,Rice Soup
Thai,9,Gaeng Jued,Soup
Thai,10,Gaeng Som,Soup
Thai,11,Tom Saep,Soup
Turkish,1,Mercimek Çorbası,Soup
Turkish,2,Ezogelin Çorbası,Soup
Turkish,3,Yayla Çorbası,Soup
Turkish,4,İşkembe Çorbası,Soup
Turkish,5,Kelle Paça,Soup
Vietnamese,1,Pho,Noodle Soup
Vietnamese,2,Hu Tieu,Noodle Soup
Vietnamese,3,Bun Bo Hue,Noodle Soup
Vietnamese,4,Bun Rieu,Noodle Soup
Vietnamese,5,Canh Chua,Soup
Vietnamese,6,Ga Tan,Soup
Vietnamese,7,Banh Canh,Noodle Soup
Vietnamese,8,Banh Da Cua,Noodle Soup
Vietnamese,9,Bun Oc,Noodle Soup
Vietnamese,10,Bun Mam,Noodle Soup
Vietnamese,11,Bun Ca,Noodle Soup
Chinese,1,Pork Rib Soup,Soup
Chinese,2,Fish Head Soup,Soup
Chinese,3,Tomato Egg Soup,Soup
Chinese,4,Cucumber Soup,Soup
Chinese,5,Corn Soup,Soup
Chinese,6,Winter Melon Soup,Soup
Chinese,7,Seaweed Soup,Soup
Chinese,8,Tofu Soup,Soup
Chinese,9,Pork Bone Soup,Soup
Chinese,10,Chicken Mushroom Soup,Soup
Chinese,11,Preserved Vegetable Soup,Soup
Chinese,12,Spinach Soup,Soup
Chinese,13,Watercress Soup,Soup
Chinese,14,Lotus Root Soup,Soup
Chinese,15,Bitter Melon Soup,Soup
Chinese,16,Radish Soup,Soup
Chinese,17,Cabbage Soup,Soup
Chinese,18,Pork Liver Soup,Soup
Chinese,19,Duck Soup,Soup
Chinese,20,Spare Rib Soup,Soup
Chinese,21,Fish Maw Soup,Soup
Chinese,22,Mushroom Soup,Soup
Chinese,23,Three Delicacies Soup,Soup
Ethiopian,1,Kolo Shorba,Soup
Ethiopian,2,Lentil Soup,Soup
Ethiopian,3,Vegetable Shorba,Soup
Ethiopian,4,Chicken Shorba,Soup
Ethiopian,5,Beef Shorba,Soup
Ethiopian,6,Tomato Soup,Soup
Ethiopian,7,Pea Soup,Soup
Ethiopian,8,Lamb Soup,Soup
Ethiopian,9,Fish Soup,Soup
Ethiopian,10,Noodle Soup,Soup
Ethiopian,11,Barley Soup,Soup
Ethiopian,12,Chickpea Soup,Soup
Ethiopian,13,Spinach Soup,Soup
Ethiopian,14,Potato Soup,Soup
Ethiopian,15,Carrot Soup,Soup
Ethiopian,16,Cabbage Soup,Soup
Ethiopian,17,Bean Soup,Soup
Ethiopian,18,Meat Soup,Soup
Ethiopian,19,Split Pea Soup,Soup
Ethiopian,20,Herb Soup,Soup
Ethiopian,21,Goat Soup,Soup
Ethiopian,22,Oxtail Soup,Soup
Ethiopian,23,Fava Bean Soup,Soup
Ethiopian,24,Green Lentil Soup,Soup
Ethiopian,25,Red Lentil Soup,Soup
Ethiopian,26,Yellow Lentil Soup,Soup
Ethiopian,27,Mixed Vegetable Soup,Soup
Ethiopian,28,Onion Soup,Soup
French,1,Potage Parmentier,Soup
French,2,Soupe à l'Oignon Gratinée,Soup
French,3,Garbure,Soup
French,4,Soupe au Pistou,Soup
French,5,Waterzooï,Soup
French,6,Tourin,Soup
French,7,Bourride,Soup
French,8,Cotriarde,Soup
French,9,Chaudrée,Soup
French,10,Potage Crécy,Soup
French,11,Potage Cultivateur,Soup
French,12,Potage Cressonnière,Soup
French,13,Potage Dubarry,Soup
French,14,Potage Solferino,Soup
French,15,Potage Esaü,Soup
French,16,Soupe de Courge,Soup
French,17,Soupe aux Choux,Soup
French,18,Soupe de Moules,Soup
French,19,Potage Germiny,Soup
French,20,Crème de Champignons,Soup
French,21,Crème d'Asperges,Soup
Georgian,1,Kharcho Soup,Soup
Georgian,2,Bean Soup,Soup
Georgian,3,Vegetable Soup,Soup
Georgian,4,Beef Soup,Soup
Georgian,5,Chicken Soup,Soup
Georgian,6,Mushroom Soup,Soup
Georgian,7,Fish Soup,Soup
Georgian,8,Pumpkin Soup,Soup
Georgian,9,Lentil Soup,Soup
Georgian,10,Tomato Soup,Soup
Georgian,11,Beet Soup,Soup
Georgian,12,Barley Soup,Soup
Georgian,13,Cabbage Soup,Soup
Georgian,14,Potato Soup,Soup
Georgian,15,Spinach Soup,Soup
Georgian,16,Lamb Soup,Soup
Georgian,17,Noodle Soup,Soup
Georgian,18,Pea Soup,Soup
Georgian,19,Herb Soup,Soup
Georgian,20,Corn Soup,Soup
Georgian,21,Kidney Bean Soup,Soup
Georgian,22,Split Pea Soup,Soup
Georgian,23,Onion Soup,Soup
Georgian,24,Carrot Soup,Soup
Georgian,25,Nettle Soup,Soup
Georgian,26,Sorrel Soup,Soup
Georgian,27,Wild Herb Soup,Soup
German,1,Leberknodelsuppe,Soup
German,2,Rindfleischsuppe,Soup
German,3,Gemüsesuppe,Soup
German,4,Nudelsuppe,Soup
German,5,Bohnensuppe,Soup
German,6,Spargelsuppe,Soup
German,7,Tomatensuppe,Soup
German,8,Champignonsuppe,Soup
German,9,Zwiebelsuppe,Soup
German,10,Möhrensuppe,Soup
German,11,Kürbissuppe,Soup
German,12,Brotsuppe,Soup
German,13,Biersuppe,Soup
German,14,Milchsuppe,Soup
German,15,Fischsuppe,Soup
German,16,Aalsuppe,Soup
German,17,Hühnersuppe,Soup
German,18,Lauchsuppe,Soup
German,19,Grießnockerlsuppe,Soup
German,20,Lebersuppe,Soup
German,21,Wirsingsuppe,Soup
German,22,Kohlsuppe,Soup
German,23,Selleriesuppe,Soup
German,24,Brokkolisuppe,Soup
German,25,Blumenkohlsuppe,Soup
German,26,Rote-Bete-Suppe,Soup
Greek,1,Fakes,Soup
Greek,2,Chickpea Soup,Soup
Greek,3,Trahanas,Soup
